"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","AL","A",2664,2508,0,156,18179,18179,812,0,1890,,1064417,4998,,,,1067,,,165342,145590,816,0,,,,,,71240,,0,1210007,5687,,,60353,,,0,1210007,5687
"2020-10-10","AL","A",2664,2508,11,156,18179,18179,792,190,1889,,1059419,6867,,,,1065,,,164526,144901,1061,0,,,,,,71240,,0,1204320,7868,,,60161,,,0,1204320,7868
"2020-10-09","AL","A",2653,2496,16,157,17989,17989,816,0,1884,,1052552,10506,,,,1063,,,163465,143900,1490,0,,,,,,71240,,0,1196452,11742,,,59957,,,0,1196452,11742
"2020-10-08","AL","A",2637,2484,36,153,17989,17989,754,74,1876,,1042046,3520,,,,1061,,,161975,142664,557,0,,,,,,71240,,0,1184710,3892,,,59685,,,0,1184710,3892
"2020-10-07","AL","A",2601,2454,21,147,17915,17915,777,216,1867,,1038526,7233,,,,1057,,,161418,142292,941,0,,,,,,67948,,0,1180818,7971,,,59483,,,0,1180818,7971
"2020-10-06","AL","A",2580,2436,21,144,17699,17699,764,0,1862,,1031293,4702,,,,1056,,,160477,141554,764,0,,,,,,67948,,0,1172847,5334,,,59331,,,0,1172847,5334
"2020-10-05","AL","A",2559,2417,1,142,17699,17699,791,279,1847,,1026591,4518,,,,1047,,,159713,140922,544,0,,,,,,67948,,0,1167513,4995,,,59283,,,0,1167513,4995
"2020-10-04","AL","A",2558,2416,0,142,17420,17420,757,0,1845,,1022073,5754,,,,1046,,,159169,140445,789,0,,,,,,67948,,0,1162518,6473,,,59243,,,0,1162518,6473
"2020-10-03","AL","A",2558,2416,8,142,17420,17420,738,0,1843,,1016319,9707,,,,1045,,,158380,139726,1682,0,,,,,,67948,,0,1156045,10444,,,59075,,,0,1156045,10444
"2020-10-02","AL","A",2550,2409,2,141,17420,17420,752,163,1840,,1006612,6042,,,,1043,,,156698,138989,954,0,,,,,,67948,,0,1145601,6869,,,58858,,,0,1145601,6869
"2020-10-01","AL","A",2548,2405,8,143,17257,17257,760,0,1832,,1000570,6095,,,,1037,,,155744,138162,1043,0,,,,,,67948,,0,1138732,6693,,,58605,,,0,1138732,6693
"2020-09-30","AL","A",2540,2399,23,141,17257,17257,776,75,1815,,994475,11312,,,,1025,,,154701,137564,1147,0,,,,,,67948,,0,1132039,12327,,,58393,,,0,1132039,12327
