"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","AK","A",60,60,0,,,,57,0,,,492311,3486,,,493071,,7,,10686,10686,258,0,,,,,9620,5789,,0,502997,3744,,,,,,0,502997,3744
"2020-10-10","AK","A",60,60,0,,,,66,0,,,488825,5931,,,489481,,10,,10428,10428,252,0,,,,,9466,5761,,0,499253,6183,,,,,,0,499253,6183
"2020-10-09","AK","A",60,60,0,,,,51,0,,,482894,1719,,,483521,,6,,10176,10176,180,0,,,,,9256,5734,,0,493070,1899,,,,,,0,493070,1899
"2020-10-08","AK","A",60,60,1,,,,46,0,,,481175,962,,,481745,,6,,9996,9996,135,0,,,,,9133,5672,,0,491171,1097,,,,,,0,491171,1097
"2020-10-07","AK","A",59,59,1,,,,46,0,,,480213,10426,,,480682,,6,,9861,9861,274,0,,,,,9099,5626,,0,490074,10700,,,,,,0,490074,10700
"2020-10-06","AK","A",58,58,0,,,,45,0,,,469787,0,,,470291,,6,,9587,9587,0,0,,,,,8790,5455,,0,479374,0,,,,,,0,479374,0
"2020-10-05","AK","A",58,58,0,,,,45,0,,,469787,2345,,,470291,,6,,9587,9587,211,0,,,,,8790,5455,,0,479374,2556,,,,,,0,479374,2556
"2020-10-04","AK","A",58,58,0,,,,51,0,,,467442,3373,,,467883,,6,,9376,9376,189,0,,,,,8642,5281,,0,476818,3562,,,,,,0,476818,3562
"2020-10-03","AK","A",58,58,1,,,,39,0,,,464069,3819,,,464517,,5,,9187,9187,147,0,,,,,8446,5199,,0,473256,3966,,,,,,0,473256,3966
"2020-10-02","AK","A",57,57,0,,,,41,0,,,460250,6839,,,460796,,6,,9040,9040,128,0,,,,,8201,5042,,0,469290,6967,,,,,,0,469290,6967
"2020-10-01","AK","A",57,57,1,,,,42,0,,,453411,4984,,,454030,,6,,8912,8912,132,0,,,,,8002,4838,,0,462323,5116,,,,,,0,462323,5116
"2020-09-30","AK","A",56,56,0,,,,53,0,,,448427,6045,,,449109,,7,,8780,8780,106,0,,,,,7807,4555,,0,457207,6151,,,,,,0,457207,6151
"2020-09-29","AK","A",56,56,0,,,,49,0,,,442382,6140,,,443163,,7,,8674,8674,125,0,,,,,7606,4324,,0,451056,6265,,,,,,0,451056,6265
"2020-09-28","AK","A",56,56,0,,,,43,0,,,436242,1688,,,437017,,14,,8549,8549,118,0,,,,,7487,3771,,0,444791,1922,,,,,,0,444791,1922
"2020-09-27","AK","A",56,56,4,,,,43,0,,,434554,0,,,435171,,14,,8431,8431,116,0,,,,,7411,3502,,0,442869,0,,,,,,0,442869,0
"2020-09-26","AK","A",52,52,1,,,,43,0,,,434554,1424,,,435171,,14,,8315,8315,113,0,,,,,7411,3267,,0,442869,1537,,,,,,0,442869,1537
"2020-09-25","AK","A",51,51,6,,,,43,0,,,433130,7873,,,433688,,14,,8202,8202,261,0,,,,,7357,3042,,0,441332,8134,,,,,,0,441332,8134
"2020-09-24","AK","A",45,45,0,,,,43,0,,,425257,0,,,425736,,14,,7941,7941,0,0,,,,,7180,2731,,0,433198,0,,,,,,0,433198,0
"2020-09-23","AK","A",45,45,0,,,,43,0,,,425257,1952,,,425736,,14,,7941,7941,55,0,,,,,7180,2731,,0,433198,2007,,,,,,0,433198,2007
"2020-09-22","AK","A",45,45,0,,,,43,0,,,423305,2498,,,423762,,14,,7886,7886,48,0,,,,,7147,2668,,0,431191,2546,,,,,,0,431191,2546
"2020-09-21","AK","A",45,45,0,,,,47,0,,,420807,1649,,,421275,,13,,7838,7838,71,0,,,,,7089,2439,,0,428645,1720,,,,,,0,428645,1720
"2020-09-20","AK","A",45,45,0,,,,43,0,,,419158,3982,,,419584,,13,,7767,7767,93,0,,,,,7061,2438,,0,426925,4075,,,,,,0,426925,4075
"2020-09-19","AK","A",45,45,0,,,,41,0,,,415176,4470,,,415600,,13,,7674,7674,87,0,,,,,6970,2438,,0,422850,4557,,,,,,0,422850,4557
"2020-09-18","AK","A",45,45,1,,,,36,0,,,410706,2314,,,411148,,13,,7587,7587,116,0,,,,,6865,2422,,0,418293,2430,,,,,,0,418293,2430
"2020-09-17","AK","A",44,44,0,,,,41,0,,,408392,7193,,,408769,,13,,7471,7471,106,0,,,,,6814,2408,,0,415863,7299,,,,,,0,415863,7299
"2020-09-16","AK","A",44,44,0,,,,45,0,,,401199,1388,,,401615,,9,,7365,7365,52,0,,,,,6669,2407,,0,408564,1440,,,,,,0,408564,1440
"2020-09-15","AK","A",44,44,0,,,,44,0,,,399811,3668,,,400207,,8,,7313,7313,43,0,,,,,6637,2402,,0,407124,3711,,,,,,0,407124,3711
"2020-09-14","AK","A",44,44,0,,,,37,0,,,396143,2123,,,396600,,8,,7270,7270,77,0,,,,,6533,2377,,0,403413,2200,,,,,,0,403413,2200
"2020-09-13","AK","A",44,44,0,,,,35,0,,,394020,1522,,,394452,,8,,7193,7193,62,0,,,,,6481,2377,,0,401213,1584,,,,,,0,401213,1584
"2020-09-12","AK","A",44,44,1,,,,32,0,,,392498,4936,,,392921,,8,,7131,7131,107,0,,,,,6428,2377,,0,399629,5043,,,,,,0,399629,5043
"2020-09-11","AK","A",43,43,1,,,,44,0,,,387562,1400,,,387966,,7,,7024,7024,109,0,,,,,6340,2359,,0,394586,1509,,,,,,0,394586,1509
"2020-09-10","AK","A",42,42,0,,,,42,0,,,386162,1015,,,386481,,10,,6915,6915,125,0,,,,,6316,2351,,0,393077,1140,,,,,,0,393077,1140
"2020-09-09","AK","A",42,42,0,,,,40,0,,,385147,215,,,385352,,10,,6790,6790,66,0,,,,,6305,2340,,0,391937,281,,,,,,0,391937,281
"2020-09-08","AK","A",42,42,0,,,,41,0,,,384932,3001,,,385074,,8,,6724,6724,34,0,,,,,6302,2339,,0,391656,3035,,,,,,0,391656,3035
"2020-09-07","AK","A",42,42,0,,,,36,0,,,381931,1530,,,382106,,8,,6690,6690,34,0,,,,,6236,2323,,0,388621,1564,,,,,,0,388621,1564
"2020-09-06","AK","A",42,42,0,,,,41,0,,,380401,1966,,,380568,,7,,6656,6656,89,0,,,,,6210,2323,,0,387057,2055,,,,,,0,387057,2055
"2020-09-05","AK","A",42,42,2,,,,36,0,,,378435,2967,,,378554,,8,,6567,6567,98,0,,,,,6169,2321,,0,385002,3065,,,,,,0,385002,3065
"2020-09-04","AK","A",40,40,0,,,,43,0,,,375468,3871,,,375546,,4,,6469,6469,130,0,,,,,6115,2295,,0,381937,4001,,,,,,0,381937,4001
"2020-09-03","AK","A",40,40,1,,,,43,0,,,371597,946,,,371638,,8,,6339,6339,106,0,,,,,6022,2288,,0,377936,1052,,,,,,0,377936,1052
"2020-09-02","AK","A",39,39,0,,,,46,0,,,370651,2556,,,370557,,10,,6233,6233,73,0,,,,,6010,2281,,0,376884,2629,,,,,,0,376884,2629
"2020-09-01","AK","A",39,39,2,,,,41,0,,,368095,25590,,,367949,,9,,6160,6160,35,0,,,,,5974,2246,,0,374255,25625,,,,,,0,374255,25625
"2020-08-31","AK","A",37,37,0,,,,39,0,,,342505,1752,,,342703,,8,,6125,6125,39,0,,,,,5598,2238,,0,348630,1791,,,,,,0,348630,1791
"2020-08-30","AK","A",37,37,0,,,,41,0,,,340753,1093,,,340942,,8,,6086,6086,51,0,,,,,5568,2233,,0,346839,1144,,,,,,0,346839,1144
"2020-08-29","AK","A",37,37,0,,,,43,0,,,339660,6045,,,339808,,7,,6035,6035,112,0,,,,,5558,2201,,0,345695,6157,,,,,,0,345695,6157
"2020-08-28","AK","A",37,37,0,,,,37,0,,,333615,3196,,,333850,,8,,5923,5923,122,0,,,,,5359,2183,,0,339538,3318,,,,,,0,339538,3318
"2020-08-27","AK","A",37,37,0,,,,43,0,,,330419,1334,,,330567,,9,,5801,5801,82,0,,,,,5324,2109,,0,336220,1416,,,,,,0,336220,1416
"2020-08-26","AK","A",37,37,1,,,,44,0,,,329085,920,,,329171,,6,,5719,5719,53,0,,,,,5305,2088,,0,334804,973,,,,,,0,334804,973
"2020-08-25","AK","A",36,36,4,,,,46,0,,,328165,3290,,,328233,,6,,5666,5666,38,0,,,,,5270,1967,,0,333831,3328,,,,,,0,333831,3328
"2020-08-24","AK","A",32,32,0,,,,43,0,,,324875,2993,,,324954,,8,,5628,5628,70,0,,,,,5221,1861,,0,330503,3063,,,,,,0,330503,3063
"2020-08-23","AK","A",32,32,1,,,,48,0,,,321882,1089,,,321943,,7,,5558,5558,64,0,,,,,5170,1745,,0,327440,1153,,,,,,0,327440,1153
"2020-08-22","AK","A",31,31,1,,,,46,0,,,320793,4661,,,320811,,6,,5494,5494,91,0,,,,,5151,1686,,0,326287,4752,,,,,,0,326287,4752
"2020-08-21","AK","A",30,30,1,,,,46,0,,,316132,8817,,,316141,,6,,5403,5403,71,0,,,,,5073,1601,,0,321535,8888,,,,,,0,321535,8888
"2020-08-20","AK","A",29,29,0,,,,51,0,,,307315,1713,,,307360,,6,,5332,5332,85,0,,,,,4970,1513,,0,312647,1798,,,,,,0,312647,1798
"2020-08-19","AK","A",29,29,0,,,,56,0,,,305602,770,,,305582,,6,,5247,5247,70,0,,,,,4950,1501,,0,310849,840,,,,,,0,310849,840
"2020-08-18","AK","A",29,29,1,,,,47,0,,,304832,4294,,,304767,,7,,5177,5177,67,0,,,,,4925,1468,,0,310009,4361,,,,,,0,310009,4361
"2020-08-17","AK","A",28,28,0,,,,33,0,,,300538,4083,,,300493,,4,,5110,5110,50,0,,,,,4838,1432,,0,305648,4133,,,,,,0,305648,4133
"2020-08-16","AK","A",28,28,0,,,,42,0,,,296455,4732,,,296426,,3,,5060,5060,106,0,,,,,4777,1418,,0,301515,4838,,,,,,0,301515,4838
"2020-08-15","AK","A",28,28,1,,,,36,0,,,291723,663,,,291666,,4,,4954,4954,85,0,,,,,4706,1384,,0,296677,748,,,,,,0,296677,748
"2020-08-14","AK","A",27,27,0,,,,38,0,,,291060,1757,,,290927,,3,,4869,4869,119,0,,,,,4698,1371,,0,295929,1876,,,,,,0,295929,1876
"2020-08-13","AK","A",27,27,0,,,,46,0,,,289303,1376,,,289088,,3,,4750,4750,95,0,,,,,4662,1360,,0,294053,1471,,,,,,0,294053,1471
"2020-08-12","AK","A",27,27,1,,,,39,0,,,287927,1772,,,287633,,3,,4655,4655,66,0,,,,,4646,1359,,0,292582,1838,,,,,,0,292582,1838
"2020-08-11","AK","A",26,26,0,,,,39,0,,,286155,10351,,,285813,,4,,4589,4589,50,0,,,,,4628,1344,,0,290744,10401,,,,,,0,290744,10401
"2020-08-10","AK","A",26,26,0,,,,37,0,,,275804,2358,,,272428,,3,,4539,4539,66,0,,,,,4290,1332,,0,280343,2424,,,,,,0,280343,2424
"2020-08-09","AK","A",26,26,0,,,,40,0,,,273446,4226,,,270039,,4,,4473,4473,100,0,,,,,4274,1269,,0,277919,4326,,,,,,0,277919,4326
"2020-08-08","AK","A",26,26,1,,,,37,0,,,269220,4657,,,265804,,4,,4373,4373,85,0,,,,,4195,1254,,0,273593,4742,,,,,,0,273593,4742
"2020-08-07","AK","A",25,25,0,,,,37,0,,,264563,7214,,,261152,,3,,4288,4288,65,0,,,,,4124,1238,,0,268851,7279,,,,,,0,268851,7279
"2020-08-06","AK","A",25,25,0,,,,42,0,,,257349,4253,,,253987,,2,,4223,4223,40,0,,,,,4024,1220,,0,261572,4293,,,,,,0,261572,4293
"2020-08-05","AK","A",25,25,0,,,,38,0,,,253096,4572,,,,,2,,4183,4183,58,0,,,,,,1017,,0,257279,4630,,,,,,0,257279,4630
"2020-08-04","AK","A",25,25,0,,,,33,0,,,248524,6781,,,,,2,,4125,4125,61,0,,,,,,987,,0,252649,6842,,,,,,0,252649,6842
"2020-08-03","AK","A",25,25,1,,,,38,0,,,241743,2637,,,,,4,,4064,4064,80,0,,,,,,946,,0,245807,2717,,,,,,0,245807,2717
"2020-08-02","AK","A",24,24,0,,,,39,0,,,239106,4300,,,,,3,,3984,3984,157,0,,,,,,932,,0,243090,4457,,,,,,0,243090,4457
"2020-08-01","AK","A",24,24,1,,,,37,0,,,234806,5377,,,,,3,,3827,3827,150,0,,,,,,930,,0,238633,5527,,,,,,0,238633,5527
"2020-07-31","AK","A",23,23,0,,,,40,0,,,229429,7931,,,,,3,,3677,3677,118,0,,,,,,898,,0,233106,8049,,,,,,0,233106,8049
"2020-07-30","AK","A",23,23,1,,,,45,0,,,221498,1276,,,,,3,,3559,3559,117,0,,,,,,885,,0,225057,1393,,,,,,0,225057,1393
"2020-07-29","AK","A",22,22,0,,,,45,0,,,220222,9697,,,,,3,,3442,3442,92,0,,,,,,854,,0,223664,9789,,,,,,0,223664,9789
"2020-07-28","AK","A",22,22,1,,,,44,0,,,210525,6363,,,,,4,,3350,3350,144,0,,,,,,836,,0,213875,6611,,,,,,0,213875,6611
"2020-07-27","AK","A",21,21,1,,,,38,0,,,204162,0,,,,,3,,3206,3206,104,0,,,,,,817,,0,207264,0,,,,,,0,207264,0
"2020-07-26","AK","A",20,20,0,,,,43,0,,,204162,1964,,,,,4,,3102,3102,234,0,,,,,,817,,0,207264,2198,,,,,,0,207264,2198
"2020-07-25","AK","A",20,20,1,,,,38,0,,,202198,4374,,,,,2,,2868,2868,120,0,,,,,,815,,0,205066,4494,,,,,,0,205066,4494
"2020-07-24","AK","A",19,19,0,,,,37,0,,,197824,10999,,,,,1,,2748,2748,64,0,,,,,,800,,0,200572,11063,,,,,,0,200572,11063
"2020-07-23","AK","A",19,19,0,,,,36,0,,,186825,4111,,,,,1,,2684,2684,65,0,,,,,,787,,0,189509,4176,,,,,,0,189509,4176
"2020-07-22","AK","A",19,19,1,,,,34,0,,,182714,6613,,,,,1,,2619,2619,94,0,,,,,,753,,0,185333,6707,,,,,,0,185333,6707
"2020-07-21","AK","A",18,18,0,,,,32,0,,,176101,2929,,,,,1,,2525,2525,111,0,,,,,,737,,0,178626,3040,,,,,,0,178626,3040
"2020-07-20","AK","A",18,18,0,,,,29,0,,,173172,2439,,,,,0,,2414,2414,137,0,,,,,,712,,0,175586,2576,,,,,,0,175586,2576
"2020-07-19","AK","A",18,18,0,,,,27,0,,,170733,4529,,,,,1,,2277,2277,118,0,,,,,,712,,0,173010,4647,,,,,,0,173010,4647
"2020-07-18","AK","A",18,18,1,,,,26,0,,,166204,2871,,,,,1,,2159,2159,78,0,,,,,,708,,0,168363,2949,,,,,,0,168363,2949
"2020-07-17","AK","A",17,17,0,,,,32,0,,,163333,2343,,,,,0,,2081,2081,49,0,,,,,,697,,0,165414,2392,,,,,,0,165414,2392
"2020-07-16","AK","A",17,17,0,,,,32,0,,,160990,6528,,,,,0,,2032,2032,401,0,,,,,,688,,0,163022,6929,,,,,,0,163022,6929
"2020-07-15","AK","A",17,17,0,,,,32,0,,,154462,6568,,,,,0,,1631,1631,52,0,,,,,,669,,0,156093,6620,,,,,,0,156093,6620
"2020-07-14","AK","A",17,17,0,,,,25,0,,,147894,2843,,,,,1,,1579,1579,40,0,,,,,,642,,0,149473,2883,,,,,,0,149473,2883
"2020-07-13","AK","A",17,17,0,,,,22,0,,,145051,1055,,,,,0,,1539,1539,60,0,,,,,,620,,0,146590,1115,,,,,,0,146590,1115
"2020-07-12","AK","A",17,17,0,,,,27,0,,,143996,2005,,,,,0,,1479,1479,94,0,,,,,,615,,0,145475,2099,,,,,,0,145475,2099
"2020-07-11","AK","A",17,17,0,,,,31,0,,,141991,1383,,,,,1,,1385,1385,62,0,,,,,,598,,0,143376,1445,,,,,,0,143376,1445
"2020-07-10","AK","A",17,17,0,,,,30,0,,,140608,6136,,,,,0,,1323,1323,51,0,,,,,,588,,0,141931,6187,,,,,,0,141931,6187
"2020-07-09","AK","A",17,17,0,,,,28,0,,,134472,2297,,,,,0,,1272,1272,46,0,,,,,,571,,0,135744,2343,,,,,,0,135744,2343
"2020-07-08","AK","A",17,17,0,,,,30,0,,,132175,1939,,,,,0,,1226,1226,42,0,,,,,,563,,0,133401,1981,,,,,,0,133401,1981
"2020-07-07","AK","A",17,17,1,,,,25,0,,,130236,7621,,,,,1,,1184,1184,46,0,,,,,,560,,0,131420,7667,,,,,,0,131420,7667
"2020-07-06","AK","A",16,16,0,,,,19,0,,,122615,0,,,,,3,,1138,1138,0,0,,,,,,548,,0,123753,0,,,,,,0,123753,0
"2020-07-05","AK","A",16,16,0,,,,19,0,,,122615,994,,,,,3,,1138,1138,27,0,,,,,,548,,0,123753,1021,,,,,,0,123753,1021
"2020-07-04","AK","A",16,16,1,,,,23,0,,,121621,2476,,,,,3,,1111,1111,48,0,,,,,,544,,0,122732,2524,,,,,,0,122732,2524
"2020-07-03","AK","A",15,15,1,,,,25,0,,,119145,4253,,,,,3,,1063,1063,46,0,,,,,,539,,0,120208,4299,,,,,,0,120208,4299
"2020-07-02","AK","A",14,14,0,,,,18,0,,,114892,1470,,,,,1,,1017,1017,39,0,,,,,,535,,0,115909,1509,,,,,,0,115909,1509
"2020-07-01","AK","A",14,14,0,,,,20,0,,,113422,2177,,,,,2,,978,978,38,0,,,,,,528,,0,114400,2215,,,,,,0,114400,2215
"2020-06-30","AK","A",14,14,0,,,,18,0,,,111245,3440,,,,,1,,940,940,36,0,,,,,,526,,0,112185,3476,,,,,,0,112185,3476
"2020-06-29","AK","A",14,14,0,,,,16,0,,,107805,388,,,,,1,,904,904,21,0,,,,,,525,,0,108709,409,,,,,,0,108709,409
"2020-06-28","AK","A",14,14,0,,,,12,0,,,107417,2690,,,,,1,,883,883,29,0,,,,,,521,,0,108300,2719,,,,,,0,108300,2719
"2020-06-27","AK","A",14,14,0,,,,11,0,,,104727,3771,,,,,1,,854,854,18,0,,,,,,521,,0,105581,3789,,,,,,0,105581,3789
"2020-06-26","AK","A",14,14,2,,,,12,0,,,100956,2320,,,,,2,,836,836,20,0,,,,,,519,,0,101792,2340,,,,,,0,101792,2340
"2020-06-25","AK","A",12,12,0,,,,14,0,,,98636,3332,,,,,2,,816,816,24,0,,,,,,513,,0,99452,3356,,,,,,0,99452,3356
"2020-06-24","AK","A",12,12,0,,,,16,0,,,95304,3135,,,,,2,,792,792,14,0,,,,,,507,,0,96096,3149,,,,,,0,96096,3149
"2020-06-23","AK","A",12,12,0,,,,14,0,,,92169,2106,,,,,1,,778,778,17,0,,,,,,502,,0,92947,2123,,,,,,0,92947,2123
"2020-06-22","AK","A",12,12,0,,,,13,0,,,90063,2767,,,,,1,,761,761,6,0,,,,,,491,,0,90824,2773,,,,,,0,90824,2773
"2020-06-21","AK","A",12,12,0,,,,15,0,,,87296,1121,,,,,1,,755,755,12,0,,,,,,475,,0,88051,1133,,,,,,0,88051,1133
"2020-06-20","AK","A",12,12,0,,,,16,0,,,86175,3266,,,,,1,,743,743,21,0,,,,,,464,,0,86918,3287,,,,,,0,86918,3287
"2020-06-19","AK","A",12,12,0,,,,18,0,,,82909,2432,,,,,1,,722,722,14,0,,,,,,457,,0,83631,2446,,,,,,0,83631,2446
"2020-06-18","AK","A",12,12,0,,,,18,0,,,80477,3464,,,,,0,,708,708,12,0,,,,,,449,,0,81185,3476,,,,,,0,81185,3476
"2020-06-17","AK","A",12,12,0,,,,23,0,,,77013,1474,,,,,0,,696,696,20,0,,,,,,438,,0,77709,1494,,,,,,0,77709,1494
"2020-06-16","AK","A",12,12,0,,,,22,0,,,75539,1766,,,,,2,,676,676,12,0,,,,,,429,,0,76215,1778,,,,,,0,76215,1778
"2020-06-15","AK","A",12,12,0,,,,21,0,,,73773,967,,,,,3,,664,664,3,0,,,,,,417,,0,74437,970,,,,,,0,74437,970
"2020-06-14","AK","A",12,12,0,,,,11,0,,,72806,1657,,,,,1,,661,661,7,0,,,,,,411,,0,73467,1664,,,,,,0,73467,1664
"2020-06-13","AK","A",12,12,0,,,,12,0,,,71149,894,,,,,2,,654,654,29,0,,,,,,405,,0,71803,923,,,,,,0,71803,923
"2020-06-12","AK","A",12,12,1,,,,15,0,,,70255,1855,,,,,3,,625,625,14,0,,,,,,403,,0,70880,1869,,,,,,0,70880,1869
"2020-06-11","AK","A",11,11,0,,,,18,0,,,68400,1273,,,,,4,,611,611,18,0,,,,,,397,,0,69011,1291,,,,,,0,69011,1291
"2020-06-10","AK","A",11,11,0,,,,22,0,,,67127,810,,,,,3,,593,593,20,0,,,,,,392,,0,67720,830,,,,,,0,67720,830
"2020-06-09","AK","A",11,11,1,,,,12,0,,,66317,968,,,,,1,,573,573,10,0,,,,,,389,,0,66890,978,,,,,,0,66890,978
"2020-06-08","AK","B",10,10,0,,,,7,0,,,65349,989,,,,,0,,563,563,19,0,,,,,,384,,0,65912,1008,,,,,,0,65912,1008
"2020-06-07","AK","B",10,10,0,,,,7,-48,,,64360,995,,,,,1,,544,544,8,0,,,,,,382,,0,64904,1003,,,,,,0,64904,1003
"2020-06-06","AK","A",10,10,0,,48,48,7,48,,,63365,2899,,,,,1,,536,536,12,0,,,,,,382,,0,63901,2911,,,,,,0,63901,2911
"2020-06-05","AK","A",10,10,0,,,,8,0,,,60466,882,,,,,1,,524,524,11,0,,,,,,380,,0,60990,893,,,,,,0,60990,893
"2020-06-04","AK","A",10,10,0,,,,13,0,,,59584,1907,,,,,1,,513,513,8,0,,,,,,376,,0,60097,1915,,,,,,0,60097,1915
"2020-06-03","AK","A",10,10,0,,,,11,0,,,57677,1961,,,,,0,,505,505,18,0,,,,,,373,,0,58182,1979,,,,,,0,58182,1979
"2020-06-02","AK","A",10,10,0,,,,10,0,,,55716,1993,,,,,0,,487,487,20,0,,,,,,371,,0,56203,2013,,,,,,0,56203,2013
"2020-06-01","AK","A",10,10,0,,,,10,0,,,53723,2462,,,,,1,,467,467,33,0,,,,,,368,,0,54190,2495,,,,,,0,54190,2495
"2020-05-31","AK","A",10,10,0,,,,14,0,,,51261,0,,,,,2,,434,434,0,0,,,,,,368,,0,51695,0,,,,,,0,51695,0
