"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","CO","A",1998,,0,,7879,7879,365,24,,,934531,10063,161169,,,,,,77642,72316,1023,0,12222,,,,,6814,1541162,22708,1541162,22708,173391,,,,1006847,11030,,0
"2020-10-10","CO","A",1998,,1,,7855,7855,380,21,,,924468,10031,160671,,,,,,76619,71349,834,0,12172,,,,,6792,1518454,22256,1518454,22256,172843,,,,995817,10821,,0
"2020-10-09","CO","A",1997,,7,,7834,7834,356,63,,,914437,9322,160046,,,,,,75785,70559,863,0,12116,,,,,6756,1496198,18897,1496198,18897,172162,,,,984996,10133,,0
"2020-10-08","CO","A",1990,,7,,7771,7771,369,50,,,905115,8715,159485,,,,,,74922,69748,731,0,12048,,,,,6727,1477301,17969,1477301,17969,171533,,,,974863,9414,,0
"2020-10-07","CO","A",1983,,15,,7721,7721,343,28,,,896400,7316,159182,,,,,,74191,69049,654,0,12017,,,,,6696,1459332,15070,1459332,15070,171199,,,,965449,7916,,0
"2020-10-06","CO","A",1968,,0,,7693,7693,325,20,,,889084,6341,158899,,,,,,73537,68449,461,0,11998,,,,,6655,1444262,13722,1444262,13722,170897,,,,957533,6774,,0
"2020-10-05","CO","A",1968,,0,,7673,7673,303,7,,,882743,7903,158572,,,,,,73076,68016,521,0,11967,,,,,6635,1430540,16204,1430540,16204,170539,,,,950759,8420,,0
"2020-10-04","CO","A",1968,,0,,7666,7666,296,13,,,874840,8817,158144,,,,,,72555,67499,657,0,11926,,,,,6609,1414336,17990,1414336,17990,170070,,,,942339,9425,,0
"2020-10-03","CO","A",1968,,6,,7653,7653,304,74,,,866023,10033,157665,,,,,,71898,66891,680,0,11878,,,,,6576,1396346,19426,1396346,19426,169543,,,,932914,10682,,0
"2020-10-02","CO","A",1962,,2,,7579,7579,282,11,,,855990,10142,157044,,,,,,71218,66242,682,0,11827,,,,,6556,1376920,19761,1376920,19761,168871,,,,922232,10806,,0
"2020-10-01","CO","A",1960,,8,,7568,7568,264,10,,,845848,8721,156576,,,,,,70536,65578,511,0,11761,,,,,6531,1357159,15979,1357159,15979,168337,,,,911426,9184,,0
"2020-09-30","CO","A",1952,,7,,7558,7558,268,28,,,837127,6743,156256,,,,,,70025,65115,535,0,11733,,,,,6500,1341180,14538,1341180,14538,167989,,,,902242,7246,,0
"2020-09-29","CO","A",1945,,5,,7530,7530,246,7,,,830384,6082,155928,,,,,,69490,64612,411,0,11707,,,,,6469,1326642,13239,1326642,13239,167635,,,,894996,6457,,0
"2020-09-28","CO","A",1940,,0,,7523,7523,263,3,,,824302,9970,155723,,,,,,69079,64237,569,0,11693,,,,,6441,1313403,17748,1313403,17748,167416,,,,888539,10518,,0
"2020-09-27","CO","A",1940,,0,,7520,7520,248,41,,,814332,9526,155335,,,,,,68510,63689,584,0,11633,,,,,6424,1295655,18042,1295655,18042,166968,,,,878021,10078,,0
"2020-09-26","CO","A",1940,,5,,7479,7479,248,25,,,804806,9218,154823,,,,,,67926,63137,709,0,11592,,,,,6404,1277613,16752,1277613,16752,166415,,,,867943,9835,,0
"2020-09-25","CO","A",1935,,9,,7454,7454,258,10,,,795588,8665,154312,,,,,,67217,62520,548,0,11561,,,,,6384,1260861,15116,1260861,15116,165873,,,,858108,9202,,0
"2020-09-24","CO","A",1926,,0,,7444,7444,259,28,,,786923,7865,153766,,,,,,66669,61983,616,0,11524,,,,,6351,1245745,13457,1245745,13457,165290,,,,848906,8454,,0
"2020-09-23","CO","A",1926,,12,,7416,7416,230,43,,,779058,5573,155465,,,,,,66053,61394,654,0,11645,,,,,6332,1232288,13151,1232288,13151,167110,,,,840452,6175,,0
"2020-09-22","CO","A",1914,,1,,7373,7373,239,10,,,773485,5633,155187,,,,,,65399,60792,542,0,11624,,,,,6306,1219137,10712,1219137,10712,166809,,,,834277,6169,,0
"2020-09-21","CO","A",1913,,0,,7363,7363,239,6,,,767852,6506,154948,,,,,,64857,60256,501,0,11600,,,,,6291,1208425,13046,1208425,13046,166546,,,,828108,6980,,0
"2020-09-20","CO","A",1913,,0,,7357,7357,237,10,,,761346,7227,154630,,,,,,64356,59782,606,0,11568,,,,,6274,1195379,13550,1195379,13550,166196,,,,821128,7773,,0
"2020-09-19","CO","A",1913,,2,,7347,7347,230,20,,,754119,8023,154006,,,,,,63750,59236,605,0,11507,,,,,6254,1181829,14919,1181829,14919,165511,,,,813355,8588,,0
"2020-09-18","CO","A",1911,,6,,7327,7327,213,39,,,746096,6860,153449,,,,,,63145,58671,459,0,11458,,,,,6241,1166910,13057,1166910,13057,164905,,,,804767,7274,,0
"2020-09-17","CO","A",1905,,0,,7288,7288,248,26,,,739236,5602,152929,,,,,,62686,58257,587,0,11393,,,,,6220,1153853,9912,1153853,9912,164320,,,,797493,6054,,0
"2020-09-16","CO","A",1905,,11,,7262,7262,273,22,,,733634,4576,152511,,,,,,62099,57805,400,0,11370,,,,,6197,1143941,9275,1143941,9275,164320,,,,791439,4928,,0
"2020-09-15","CO","A+",1894,,5,,7240,7240,239,13,,,729058,5852,152267,,,,,,61699,57453,375,0,11348,,,,,6184,1134666,10485,1134666,10485,163615,,,,786511,6206,,0
"2020-09-14","CO","A+",1889,,0,,7227,7227,228,4,,,723206,6625,151964,,,,,,61324,57099,417,0,11326,,,,,6162,1124181,12609,1124181,12609,163290,,,,780305,7020,,0
"2020-09-13","CO","A+",1889,,0,,7223,7223,226,15,,,716581,6846,151566,,,,,,60907,56704,415,0,11300,,,,,6156,1111572,13587,1111572,13587,162866,,,,773285,7172,,0
"2020-09-12","CO","A+",1889,,0,,7208,7208,232,22,,,709735,5238,151073,,,,,,60492,56378,307,0,11252,,,,,6139,1097985,10786,1097985,10786,162325,,,,766113,5503,,0
"2020-09-11","CO","A+",1889,,7,,7186,7186,240,13,,,704497,4065,150679,,,,,,60185,56113,265,0,11227,,,,,6117,1087199,7923,1087199,7923,161906,,,,760610,4312,,0
"2020-09-10","CO","A+",1882,,14,,7173,7173,226,12,,,700432,2865,150319,,,,,,59920,55866,246,0,11199,,,,,6102,1079276,5297,1079276,5297,161518,,,,756298,3089,,0
"2020-09-09","CO","A+",1868,,2,,7161,7161,218,19,,,697567,2735,150102,,,,,,59674,55642,187,0,11175,,,,,6093,1073979,4373,1073979,4373,161277,,,,753209,2919,,0
"2020-09-08","CO","A+",1866,,0,,7142,7142,237,4,,,694832,5645,149940,,,,,,59487,55458,213,0,11166,,,,,6074,1069606,10049,1069606,10049,161106,,,,750290,5847,,0
"2020-09-07","CO","A+",1866,,0,,7138,7138,227,4,,,689187,5604,149674,,,,,,59274,55256,285,0,11137,,,,,6057,1059557,8473,1059557,8473,160811,,,,744443,5880,,0
"2020-09-06","CO","A+",1866,,0,,7134,7134,220,9,,,683583,6270,149229,,,,,,58989,54980,334,0,11117,,,,,6049,1051084,10332,1051084,10332,160346,,,,738563,6541,,0
"2020-09-05","CO","A+",1866,,5,,7125,7125,219,21,,,677313,6585,148645,,,,,,58655,54709,368,0,11076,,,,,6029,1040752,10961,1040752,10961,159721,,,,732022,6927,,0
"2020-09-04","CO","A+",1861,,8,,7104,7104,211,14,,,670728,5689,148063,,,,,,58287,54367,268,0,11028,,,,,6011,1029791,8294,1029791,8294,159091,,,,725095,5947,,0
"2020-09-03","CO","A+",1853,,0,,7090,7090,247,37,,,665039,4416,147605,,,,,,58019,54109,244,0,10998,,,,,5992,1021497,6855,1021497,6855,158603,,,,719148,4647,,0
"2020-09-02","CO","A+",1853,,4,,7053,7053,236,25,,,660623,3279,147258,,,,,,57775,53878,351,0,10966,,,,,5979,1014642,4672,1014642,4672,158224,,,,714501,3578,,0
"2020-09-01","CO","A+",1849,,6,,7028,7028,241,18,,,657344,4671,146905,,,,,,57424,53579,201,0,10932,,,,,5953,1009970,7168,1009970,7168,157837,,,,710923,4856,,0
"2020-08-31","CO","A+",1843,,0,,7010,7010,240,17,,,652673,4505,146590,,,,,,57223,53394,182,0,10910,,,,,5946,1002802,7851,1002802,7851,157500,,,,706067,4690,,0
"2020-08-30","CO","A+",1843,,0,,6993,6993,239,48,,,648168,5557,146238,,,,,,57041,53209,268,0,10882,,,,,5933,994951,9329,994951,9329,157120,,,,701377,5808,,0
"2020-08-29","CO","A+",1843,,8,,6945,6945,225,17,,,642611,7643,145665,,,,,,56773,52958,430,0,10834,,,,,5921,985622,12632,985622,12632,156499,,,,695569,8039,,0
"2020-08-28","CO","A",1835,,0,,6928,6928,213,26,,,634968,4858,144760,,,,,,56343,52562,350,0,10757,,,,,5907,972990,10236,972990,10236,155517,,,,687530,5191,,0
"2020-08-27","CO","A",1835,,9,,6902,6902,253,8,,,630110,3849,144206,,,,,,55993,52228,193,0,10697,,,,,5881,962754,7113,962754,7113,154903,,,,682339,4004,,0
"2020-08-26","CO","A",1826,,2,,6894,6894,243,49,,,626261,31404,143826,,,,,,55800,52074,459,0,10671,,,,,5867,955641,7996,955641,7996,154497,,,,678335,4422,,0
"2020-08-25","CO","A",1824,,9,,6845,6845,243,4,,,594857,0,143436,,,,,,55341,51676,198,0,10639,,,,,5841,947645,9049,947645,9049,154075,,,,673913,4919,,0
"2020-08-24","CO","A",1815,,0,,6841,6841,225,10,,,594857,0,143047,,,,,,55143,51505,260,0,10612,,,,,5823,938596,8444,938596,8444,153659,,,,668994,5213,,0
"2020-08-23","CO","A",1815,,0,,6831,6831,258,23,,,594857,0,142573,,,,,,54883,51258,297,0,10575,,,,,5804,930152,11226,930152,11226,153148,,,,663781,5929,,0
