"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","DE","A+",654,574,1,80,,,108,0,,24,288440,2793,,,,,,,22130,21050,132,0,,,,,,11430,,0,310570,2925,,,,,310570,2925,,0
"2020-10-10","DE","A+",653,573,2,80,,,103,0,,21,285647,3107,,,,,,,21998,20917,171,0,,,,,,11338,,0,307645,3278,,,,,307645,3278,,0
"2020-10-09","DE","A+",651,571,0,80,,,104,0,,21,282540,2720,,,,,,,21827,20748,145,0,,,,,,11236,,0,304367,2865,,,,,304367,2865,,0
"2020-10-08","DE","A+",651,571,2,80,,,101,0,,21,279820,2197,,,,,,,21682,20604,132,0,,,,,,11146,,0,301502,2329,,,,,301502,2329,,0
"2020-10-07","DE","A+",649,569,3,80,,,89,0,,18,277623,1576,,,,,,,21550,20474,84,0,,,,,,11071,,0,299173,1660,,,,,299173,1660,,0
"2020-10-06","DE","A+",646,566,1,80,,,87,0,,20,276047,1575,,,,,,,21466,20392,103,0,,,,,,10990,,0,297513,1678,,,,,297513,1678,,0
"2020-10-05","DE","A+",645,565,0,80,,,81,0,,20,274472,1626,,,,,,,21363,20287,120,0,,,,,,10880,,0,295835,1746,,,,,295835,1746,,0
"2020-10-04","DE","A+",645,565,0,80,,,82,0,,20,272846,1513,,,,,,,21243,20167,118,0,,,,,,10806,,0,294089,1631,,,,,294089,1631,,0
"2020-10-03","DE","A+",645,565,3,80,,,83,0,,21,271333,1987,,,,,,,21125,20018,188,0,,,,,,10748,,0,292458,2175,,,,,292458,2175,,0
"2020-10-02","DE","A+",642,562,6,80,,,83,0,,16,269346,1916,,,,,,,20937,19839,150,0,,,,,,10678,,0,290283,2066,,,,,290283,2066,,0
"2020-10-01","DE","A+",636,559,0,77,,,78,0,,17,267430,1481,,,,,,,20787,19690,174,0,,,,,,10648,,0,288217,1655,,,,,288217,1655,,0
"2020-09-30","DE","A+",636,559,1,77,,,72,0,,15,265949,992,,,,,,,20613,19540,82,0,,,,,,10622,,0,286562,1074,,,,,286562,1074,,0
"2020-09-29","DE","A+",635,558,1,77,,,64,0,,12,264957,1531,,,,,,,20531,19465,142,0,,,,,,10599,,0,285488,1673,,,,,285488,1673,,0
"2020-09-28","DE","A+",634,557,1,77,,,60,0,,13,263426,1662,,,,,,,20389,19334,129,0,,,,,,10577,,0,283815,1791,,,,,283815,1791,,0
"2020-09-27","DE","A+",633,556,0,77,,,60,0,,16,261764,1521,,,,,,,20260,19207,104,0,,,,,,10557,,0,282024,1625,,,,,282024,1625,,0
"2020-09-26","DE","A+",633,556,2,77,,,57,0,,10,260243,954,,,,,,,20156,19103,71,0,,,,,,10541,,0,280399,1025,,,,,280399,1025,,0
"2020-09-25","DE","A+",631,554,1,77,,,53,0,,11,259289,1320,,,,,,,20085,19044,138,0,,,,,,10517,,0,279374,1458,,,,,279374,1458,,0
"2020-09-24","DE","A+",630,553,1,77,,,57,0,,12,257969,1755,,,,,,,19947,18916,117,0,,,,,,10487,,0,277916,1872,,,,,277916,1872,,0
"2020-09-23","DE","A+",629,552,1,77,,,61,0,,12,256214,1138,,,,,,,19830,18798,69,0,,,,,,10443,,0,276044,1207,,,,,276044,1207,,0
"2020-09-22","DE","A+",628,551,1,77,,,62,0,,14,255076,1530,,,,,,,19761,18733,94,0,,,,,,10411,,0,274837,1624,,,,,274837,1624,,0
"2020-09-21","DE","A+",627,550,6,77,,,53,0,,17,253546,1691,,,,,,,19667,18648,101,0,,,,,,10376,,0,273213,1792,,,,,273213,1792,,0
"2020-09-20","DE","A+",621,548,0,73,,,60,0,,14,251855,1593,,,,,,,19566,18547,117,0,,,,,,10299,,0,271421,1710,,,,,271421,1710,,0
"2020-09-19","DE","A+",621,548,1,73,,,53,0,,15,250262,990,,,,,,,19449,18429,83,0,,,,,,10257,,0,269711,1073,,,,,269711,1073,,0
"2020-09-18","DE","A+",620,547,1,73,,,58,0,,17,249272,1422,,,,,,,19366,18363,48,0,,,,,,10201,,0,268638,1470,,,,,268638,1470,,0
"2020-09-17","DE","A+",619,547,0,72,,,66,0,,18,247850,1179,,,,,,,19318,18319,84,0,,,,,,10193,,0,267168,1263,,,,,267168,1263,,0
"2020-09-16","DE","A+",619,547,1,72,,,58,0,,11,246671,1649,,,,,,,19234,18235,97,0,,,,,,10189,,0,265905,1746,,,,,265905,1746,,0
"2020-09-15","DE","A+",618,546,1,72,,,61,0,,20,245022,1455,,,,,,,19137,18138,200,0,,,,,,10165,,0,264159,1655,,,,,264159,1655,,0
"2020-09-14","DE","A+",617,545,2,72,,,64,0,,18,243567,1120,,,,,,,18937,17945,88,0,,,,,,10091,,0,262504,1208,,,,,262504,1208,,0
"2020-09-13","DE","A+",615,543,2,72,,,68,0,,17,242447,1588,,,,,,,18849,17857,123,0,,,,,,10077,,0,261296,1711,,,,,261296,1711,,0
"2020-09-12","DE","A+",613,541,0,72,,,66,0,,15,240859,2627,,,,,,,18726,17734,260,0,,,,,,10063,,0,259585,2887,,,,,259585,2887,,0
"2020-09-11","DE","A+",613,541,0,72,,,66,0,,14,238232,0,,,,,,,18466,17475,0,0,,,,,,10027,,0,256698,0,,,,,256698,0,,0
"2020-09-10","DE","A+",613,541,4,72,,,66,0,,14,238232,2570,,,,,,,18466,17475,158,0,,,,,,10027,,0,256698,2728,,,,,256698,2728,,0
"2020-09-09","DE","A+",609,537,0,72,,,53,0,,12,235662,0,,,,,,,18308,17317,0,0,,,,,,9920,,0,253970,0,,,,,253970,0,,0
"2020-09-08","DE","A+",609,537,0,72,,,53,0,,12,235662,1309,,,,,,,18308,17317,59,0,,,,,,9920,,0,253970,1368,,,,,253970,1368,,0
"2020-09-07","DE","A+",609,537,0,72,,,53,0,,14,234353,1613,,,,,,,18249,17259,206,0,,,,,,9847,,0,252602,1819,,,,,252602,1819,,0
"2020-09-06","DE","A+",609,537,1,72,,,62,0,,13,232740,2000,,,,,,,18043,17053,151,0,,,,,,9696,,0,250783,2151,,,,,250783,2151,,0
"2020-09-05","DE","A+",608,536,2,72,,,58,0,,12,230740,1850,,,,,,,17892,16902,140,0,,,,,,9641,,0,248632,1990,,,,,248632,1990,,0
"2020-09-04","DE","A+",606,534,0,72,,,58,0,,12,228890,1995,,,,,,,17752,16762,99,0,,,,,,9582,,0,246642,2094,,,,,246642,2094,,0
"2020-09-03","DE","A+",606,534,0,72,,,60,0,,12,226895,3914,,,,,,,17653,16663,104,0,,,,,,9514,,0,244548,4018,,,,,244548,4018,,0
"2020-09-02","DE","A+",606,534,1,72,,,62,0,,9,222981,2093,,,,,,,17549,16557,14,0,,,,,,9467,,0,240530,2107,,,,,240530,2107,,0
"2020-09-01","DE","A+",605,533,0,72,,,64,0,,11,220888,1468,,,,,,,17535,16537,106,0,,,,,,9419,,0,238423,1574,,,,,238423,1574,,0
"2020-08-31","DE","A+",605,533,1,72,,,58,0,,16,219420,2102,,,,,,,17429,16431,86,0,,,,,,9381,,0,236849,2188,,,,,236849,2188,,0
"2020-08-30","DE","A+",604,533,0,71,,,55,0,,16,217318,1783,,,,,,,17343,16346,-6,0,,,,,,9318,,0,234661,1777,,,,,234661,1777,,0
