"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","FL","A",15552,15552,180,,46450,46450,2123,249,,,4816040,26799,487730,475588,6979043,,,4215,734491,712884,5570,0,51923,,50676,21607,945112,,,0,5550531,32369,539844,,526404,,5557698,32287,7967703,91094
"2020-10-10","FL","A",15372,15372,0,,46201,46201,2077,0,,,4789241,0,487730,475588,6895066,,,4176,728921,708095,0,0,51923,,50676,21186,938197,,,0,5518162,0,539844,,526404,,5525411,0,7876609,0
"2020-10-09","FL","A",15372,15372,118,,46201,46201,2143,196,,,4789241,25496,487730,475588,6895066,,,4176,728921,708095,2908,0,51923,,50676,21186,938197,,,0,5518162,28404,539844,,526404,,5525411,28426,7876609,48343
"2020-10-08","FL","A",15254,15254,170,,46005,46005,2141,228,,,4763745,26741,487730,475588,6850539,,,4134,726013,705509,3306,0,51923,,50676,20504,934530,,,0,5489758,30047,539844,,526404,,5496985,30058,7828266,50009
"2020-10-07","FL","A",15084,15084,139,,45777,45777,2121,258,,,4737004,23551,487730,475588,6804700,,,4092,722707,702634,2582,0,51923,,50676,20073,930493,,,0,5459711,26133,539844,,526404,,5466927,26128,7778257,44076
"2020-10-06","FL","A",14945,14945,59,,45519,45519,2151,237,,,4713453,18644,478794,467286,6764112,,,4085,720125,700584,2251,0,49819,,48639,19541,927148,,,0,5433578,20895,528773,,516042,,5440799,20902,7734181,35706
"2020-10-05","FL","A",14886,14886,41,,45282,45282,2118,67,,,4694809,14394,478794,467286,6731612,,,4063,717874,698818,1415,0,49819,,48639,19056,924053,,,0,5412683,15809,528773,,516042,,5419897,15815,7698475,29364
"2020-10-04","FL","A",14845,14845,42,,45215,45215,2040,64,,,4680415,18547,478794,467286,6704124,,,4053,716459,697453,1868,0,49819,,48639,19006,922273,,,0,5396874,20415,528773,,516042,,5404082,20434,7669111,33650
"2020-10-03","FL","A",14803,14803,73,,45151,45151,2037,160,,,4661868,22151,478794,467286,6673069,,,4052,714591,695855,2787,0,49819,,48639,18760,919782,,,0,5376459,24938,528773,,516042,,5383648,24945,7635461,42378
"2020-10-02","FL","A",14730,14730,111,,44991,44991,2056,170,,,4639717,23026,478794,467286,6634374,,,4024,711804,693490,2660,0,49819,,48639,18314,916241,,,0,5351521,25686,528773,,516042,,5358703,25686,7593083,44563
"2020-10-01","FL","A",14619,14619,131,,44821,44821,2080,213,,,4616691,22023,478794,467286,6593392,,,3986,709144,691209,2628,0,49819,,48639,17935,912821,,,0,5325835,24651,528773,,516042,,5333017,24673,7548520,41505
"2020-09-30","FL","A",14488,14488,175,,44608,44608,2097,253,,,4594668,9120,460024,449702,6555737,,,3980,706516,689130,1948,0,45080,,44075,17386,909158,,,0,5301184,11068,505164,,493810,,5308344,11065,7507015,27829
"2020-09-29","FL","A",14313,14313,106,,44355,44355,2174,252,,,4585548,25178,460024,449702,6530457,,,3981,704568,687461,3266,0,45080,,44075,17107,906707,,,0,5290116,28444,505164,,493810,,5297279,28452,7479186,49290
"2020-09-28","FL","A",14207,14207,5,,44103,44103,2122,73,,,4560370,7493,460024,449702,6485581,,,4002,701302,684612,738,0,45080,,44075,16690,902486,,,0,5261672,8231,505164,,493810,,5268827,8225,7429896,15277
"2020-09-27","FL","A",14202,14202,12,,44030,44030,2103,66,,,4552877,16552,460024,449702,6471344,,,4001,700564,683927,1882,0,45080,,44075,16637,901475,,,0,5253441,18434,505164,,493810,,5260602,18439,7414619,30689
"2020-09-26","FL","A",14190,14190,107,,43964,43964,2099,171,,,4536325,26218,460024,449702,6443064,,,4001,698682,682197,2795,0,45080,,44075,16485,899158,,,0,5235007,29013,505164,,493810,,5242163,29021,7383930,49243
"2020-09-25","FL","A",14083,14083,122,,43793,43793,2121,172,,,4510107,23648,460024,449702,6397559,,,3987,695887,679723,2847,0,45080,,44075,16164,895592,,,0,5205994,26495,505164,,493810,,5213142,26496,7334687,45143
"2020-09-24","FL","A",13961,13961,179,,43621,43621,2169,188,,,4486459,20978,460024,449702,6356072,,,4001,693040,677235,2541,0,45080,,44075,15805,892098,,,0,5179499,23519,505164,,493810,,5186646,23521,7289544,40594
"2020-09-23","FL","A",13782,13782,203,,43433,43433,2254,172,,,4465481,21048,460024,449702,6318956,,,3965,690499,675061,2590,0,45080,,44075,15438,888751,,,0,5155980,23638,505164,,493810,,5163125,23653,7248950,39828
"2020-09-22","FL","A",13579,13579,99,,43261,43261,2319,228,,,4444433,16612,460024,449702,6282680,,,3950,687909,672932,2470,0,45080,,44075,14977,885350,,,0,5132342,19082,505164,,493810,,5139472,19081,7209122,34042
"2020-09-21","FL","A",13480,13480,21,,43033,43033,2266,94,,,4427821,16486,460024,449702,6251909,,,3865,685439,670869,1685,0,45080,,44075,14570,882212,,,0,5113260,18171,505164,,493810,,5120391,18188,7175080,32367
"2020-09-20","FL","A",13459,13459,9,,42939,42939,2292,81,,,4411335,24014,411877,403867,6222032,,,3871,683754,669189,2521,0,34738,,34017,14565,879887,,,0,5095089,26535,446669,,437913,,5102203,26570,7142713,42537
"2020-09-19","FL","A",13450,13450,63,,42858,42858,2266,143,,,4387321,26720,411877,403867,6182971,,,3893,681233,666808,3573,0,34738,,34017,14425,876603,,,0,5068554,30293,446669,,437913,,5075633,30289,7100176,50804
"2020-09-18","FL","A",13387,13387,140,,42715,42715,2383,190,,,4360601,24084,411877,403867,6136843,,,3870,677660,663581,3204,0,34738,,34017,14079,872145,,,0,5038261,27288,446669,,437913,,5045344,27287,7049372,45857
"2020-09-17","FL","A",13247,13247,147,,42525,42525,2385,198,,,4336517,23695,411877,403867,6095243,,,3817,674456,660665,3255,0,34738,,34017,13791,868101,,,0,5010973,26950,446669,,437913,,5018057,26964,7003515,45189
"2020-09-16","FL","A",13100,13100,154,,42327,42327,2464,200,,,4312822,12821,411877,403867,6054308,,,3793,671201,657774,2355,0,34738,,34017,13049,864052,,,0,4984023,15176,446669,,437913,,4991093,15167,6958326,30294
"2020-09-15","FL","A+",12946,12946,146,,42127,42127,2574,281,,,4300001,24723,411877,403867,6027117,,,3760,668846,655816,3116,0,34738,,34017,13030,861098,,,0,4968847,27839,446669,,437913,,4975926,27851,6928032,43038
"2020-09-14","FL","A+",12800,12800,36,,41846,41846,2637,77,,,4275278,15342,411877,403867,5988176,,,3714,665730,652968,1736,0,34738,,34017,12762,857173,,,0,4941008,17078,446669,,437913,,4948075,17101,6884994,29201
"2020-09-13","FL","A+",12764,12764,8,,41769,41769,2631,82,,,4259936,19827,411877,403867,5961411,,,3696,663994,651335,2423,0,34738,,34017,12659,854899,,,0,4923930,22250,446669,,437913,,4930974,22251,6855793,37766
"2020-09-12","FL","A+",12756,12756,98,,41687,41687,2683,193,,,4240109,21734,411877,403867,5926779,,,3676,661571,648992,3190,0,34738,,34017,12579,851937,,,0,4901680,24924,446669,,437913,,4908723,24943,6818027,42983
"2020-09-11","FL","A+",12658,12658,176,,41494,41494,2815,215,,,4218375,22847,411877,403867,5888216,,,3617,658381,646237,3650,0,34738,,34017,12144,847950,,,0,4876756,26497,446669,,437913,,4883780,26506,6775044,44086
"2020-09-10","FL","A+",12482,12482,213,,41279,41279,2896,294,,,4195528,16428,411877,403867,5848754,,,3570,654731,642982,2583,0,34738,,34017,11749,843542,,,0,4850259,19011,446669,,437913,,4857274,19010,6730958,33271
"2020-09-09","FL","A+",12269,12269,202,,40985,40985,3077,324,,,4179100,12319,411877,403867,5818991,,,3557,652148,640824,2056,0,34738,,34017,11324,840250,,,0,4831248,14375,446669,,437913,,4838264,14312,6697687,29996
"2020-09-08","FL","A+",12067,12067,44,,40661,40661,3155,114,,,4166781,13366,411877,403867,5792121,,,3526,650092,639145,1823,0,34738,,34017,10947,837246,,,0,4816873,15189,446669,,437913,,4823952,15196,6667691,25630
"2020-09-07","FL","A+",12023,12023,22,,40547,40547,3157,60,,,4153415,15076,411877,403867,5769019,,,3538,648269,637436,1838,0,34738,,34017,10833,834866,,,0,4801684,16914,446669,,437913,,4808756,16933,6642061,29358
