"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","GA","A",7416,,23,,29635,29635,1619,24,5511,,2819630,17340,,,2841046,,,,331409,331409,1140,0,26683,,,,309993,,,0,3151039,18480,311255,,,,,0,3151039,18480
"2020-10-10","GA","A",7393,,45,,29611,29611,1646,101,5508,,2802290,18693,,,2823640,,,,330269,330269,1237,0,26503,,,,308919,,,0,3132559,19930,310173,,,,,0,3132559,19930
"2020-10-09","GA","A",7348,,54,,29510,29510,1717,124,5482,,2783597,27883,,,2804761,,,,329032,329032,1625,0,26291,,,,307868,,,0,3112629,29508,308749,,,,,0,3112629,29508
"2020-10-08","GA","A",7294,,35,,29386,29386,1742,78,5453,,2755714,23669,,,2776700,,,,327407,327407,1265,0,26095,,,,306421,,,0,3083121,24934,307780,,,,,0,3083121,24934
"2020-10-07","GA","A",7259,,30,,29308,29308,1770,154,5439,,2732045,11903,,,2753013,,,,326142,326142,1492,0,26016,,,,305174,,,0,3058187,13395,307358,,,,,0,3058187,13395
"2020-10-06","GA","A",7229,,37,,29154,29154,1779,167,5405,,2720142,11099,,,2740391,,,,324650,324650,936,0,25968,,,,304401,,,0,3044792,12035,306996,,,,,0,3044792,12035
"2020-10-05","GA","A",7192,,30,,28987,28987,1822,29,5370,,2709043,13350,,,2729155,,,,323714,323714,789,0,25963,,,,303602,,,0,3032757,14139,306927,,,,,0,3032757,14139
"2020-10-04","GA","A",7162,,28,,28958,28958,1764,34,5363,,2695693,16390,,,2715874,,,,322925,322925,847,0,25887,,,,302744,,,0,3018618,17237,306554,,,,,0,3018618,17237
"2020-10-03","GA","A",7134,,28,,28924,28924,1793,133,5354,,2679303,29924,,,2699525,,,,322078,322078,1444,0,25737,,,,301856,,,0,3001381,31368,305671,,,,,0,3001381,31368
"2020-10-02","GA","A",7106,,43,,28791,28791,1792,123,5337,,2649379,14321,,,2669755,,,,320634,320634,1300,0,25532,,,,300258,,,0,2970013,15621,304551,,,,,0,2970013,15621
"2020-10-01","GA","A",7063,,42,,28668,28668,1858,146,5300,,2635058,19405,,,2655041,,,,319334,319334,1308,0,25321,,,,299351,,,0,2954392,20713,303223,,,,,0,2954392,20713
"2020-09-30","GA","A",7021,,27,,28522,28522,1896,183,5269,,2615653,21126,,,2635617,,,,318026,318026,1720,0,25149,,,,298062,,,0,2933679,22846,302125,,,,,0,2933679,22846
"2020-09-29","GA","A",6994,,33,,28339,28339,1937,142,5225,,2594527,11310,,,2616181,,,,316306,316306,1025,0,25045,,,,294652,,,0,2910833,12335,301535,,,,,0,2910833,12335
"2020-09-28","GA","A",6961,,15,,28197,28197,1849,18,5194,,2583217,11633,,,2604577,,,,315281,315281,596,0,25025,,,,293921,,,0,2898498,12229,301453,,,,,0,2898498,12229
"2020-09-27","GA","A",6946,,32,,28179,28179,1868,26,5187,,2571584,13102,,,2593066,,,,314685,314685,812,0,24959,,,,293203,,,0,2886269,13914,301039,,,,,0,2886269,13914
"2020-09-26","GA","A",6914,,40,,28153,28153,1831,118,5176,,2558482,23502,,,2580037,,,,313873,313873,1359,0,24723,,,,292318,,,0,2872355,24861,299555,,,,,0,2872355,24861
"2020-09-25","GA","A",6874,,52,,28035,28035,1891,132,5156,,2534980,21210,,,2556499,,,,312514,312514,1468,0,24566,,,,290995,,,0,2847494,22678,298482,,,,,0,2847494,22678
