"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","GU","B",60,,1,,,,60,0,,12,51893,133,,,,,,,3078,3071,22,0,3,7,,,,2072,,0,54971,155,192,16,,,54964,155,54477,0
"2020-10-10","GU","B",59,,1,,,,62,0,,13,51760,254,,,,,,,3056,3049,67,0,3,7,,,,2072,,0,54816,321,192,16,,,54809,321,54477,0
"2020-10-09","GU","B",58,,0,,,,55,0,,14,51506,369,,,,,,,2989,2982,55,0,3,7,,,,2072,,0,54495,424,192,16,,,54488,422,54477,422
"2020-10-08","GU","B",58,,1,,,,50,0,,15,51137,517,,,,,,,2934,2929,66,0,3,5,,,,2067,,0,54071,583,192,14,,,54066,582,54055,578
"2020-10-07","GU","B",57,,2,,,,45,0,,15,50620,422,,,,,,,2868,2864,54,0,3,4,,,,1924,,0,53488,476,191,9,,,53484,472,53477,470
"2020-10-06","GU","B",55,,0,,,,42,0,,14,50198,586,,,,,,,2814,2814,61,0,3,4,,,,1922,,0,53012,647,191,7,,,53012,649,53007,646
"2020-10-05","GU","B",55,,3,,,,33,0,,13,49612,555,,,,,,,2753,2751,54,0,3,2,,,,1895,,0,52365,609,189,2,,,52363,609,52361,1247
"2020-10-04","GU","B",52,,1,,,,29,0,,12,49057,0,,,,,,,2699,2697,0,0,3,2,,,,1887,,0,51756,0,184,2,,,51754,0,51114,0
"2020-10-03","GU","B",51,,1,,,,29,0,,12,49057,556,,,,,,,2699,2697,82,0,3,2,,,,1887,,0,51756,638,184,2,,,51754,638,51114,0
"2020-10-02","GU","B",50,,1,,,,30,0,,13,48501,503,,,,,,,2617,2615,67,0,3,2,,,,1887,,0,51118,570,184,2,,,51116,570,51114,570
