"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","ID","A",507,466,1,41,2031,2031,192,18,478,45,291069,2367,,,,,,,47701,42770,613,0,,,,,,24089,,0,333839,2877,,,,,,0,333839,2877
"2020-10-10","ID","A",506,464,3,42,2013,2013,192,16,475,45,288702,3653,,,,,,,47088,42260,662,0,,,,,,23881,,0,330962,4173,,,,,,0,330962,4173
"2020-10-09","ID","A",503,462,3,41,1997,1997,191,25,474,41,285049,1941,,,,,,,46426,41740,673,0,,,,,,23678,,0,326789,2461,,,,,,0,326789,2461
"2020-10-08","ID","A",500,459,8,41,1972,1972,191,40,470,41,283108,1999,,,,,,,45753,41220,671,0,,,,,,23475,,0,324328,2534,,,,,,0,324328,2534
"2020-10-07","ID","A",492,452,5,40,1932,1932,151,21,468,36,281109,1295,,,,,,,45082,40685,660,0,,,,,,23288,,0,321794,1849,,,,,,0,321794,1849
"2020-10-06","ID","A",487,447,5,40,1911,1911,151,8,466,36,279814,1369,,,,,,,44422,40131,458,0,,,,,,23115,,0,319945,1778,,,,,,0,319945,1778
"2020-10-05","ID","A",482,442,2,40,1903,1903,152,3,466,49,278445,1569,,,,,,,43964,39722,262,0,,,,,,22930,,0,318167,1797,,,,,,0,318167,1797
"2020-10-04","ID","A",480,440,6,40,1900,1900,152,7,465,49,276876,1571,,,,,,,43702,39494,464,0,,,,,,22744,,0,316370,1928,,,,,,0,316370,1928
"2020-10-03","ID","A",474,435,2,39,1893,1893,152,20,462,49,275305,2552,,,,,,,43238,39137,677,0,,,,,,22568,,0,314442,3105,,,,,,0,314442,3105
"2020-10-02","ID","A",472,433,3,39,1873,1873,135,14,460,36,272753,1783,,,,,,,42561,38584,513,0,,,,,,22371,,0,311337,2181,,,,,,0,311337,2181
"2020-10-01","ID","A",469,431,5,38,1859,1859,135,12,457,36,270970,1963,,,,,,,42048,38186,614,0,,,,,,22180,,0,309156,2450,,,,,,0,309156,2450
"2020-09-30","ID","A",464,427,4,37,1847,1847,137,15,457,38,269007,1388,,,,,,,41434,37699,511,0,,,,,,21976,,0,306706,1815,,,,,,0,306706,1815
"2020-09-29","ID","A",460,423,0,37,1832,1832,135,18,454,44,267619,1266,,,,,,,40923,37272,422,0,,,,,,21796,,0,304891,1639,,,,,,0,304891,1639
"2020-09-28","ID","A",460,423,0,37,1814,1814,135,3,452,44,266353,1868,,,,,,,40501,36899,205,0,,,,,,21630,,0,303252,2046,,,,,,0,303252,2046
"2020-09-27","ID","A",460,423,2,37,1811,1811,135,16,451,44,264485,2065,,,,,,,40296,36721,539,0,,,,,,21468,,0,301206,2554,,,,,,0,301206,2554
"2020-09-26","ID","A",458,421,1,37,1795,1795,135,29,451,44,262420,1772,,,,,,,39757,36232,523,0,,,,,,21291,,0,298652,2240,,,,,,0,298652,2240
"2020-09-25","ID","A",457,419,3,38,1766,1766,147,12,449,40,260648,1948,,,,,,,39234,35764,491,0,,,,,,21105,,0,296412,2349,,,,,,0,296412,2349
"2020-09-24","ID","A",454,416,3,38,1754,1754,147,14,448,40,258700,1646,,,,,,,38743,35363,396,0,,,,,,20901,,0,294063,1904,,,,,,0,294063,1904
"2020-09-23","ID","A",451,413,4,38,1740,1740,130,14,447,39,257054,884,,,,,,,38347,35105,446,0,,,,,,20674,,0,292159,1248,,,,,,0,292159,1248
"2020-09-22","ID","A",447,409,4,38,1726,1726,130,8,446,39,256170,1375,,,,,,,37901,34741,410,0,,,,,,20485,,0,290911,1748,,,,,,0,290911,1748
"2020-09-21","ID","A",443,405,2,38,1718,1718,146,7,443,51,254795,2114,,,,,,,37491,34368,244,0,,,,,,20304,,0,289163,2333,,,,,,0,289163,2333
"2020-09-20","ID","A",441,403,3,38,1711,1711,146,10,442,51,252681,1445,,,,,,,37247,34149,288,0,,,,,,20105,,0,286830,1693,,,,,,0,286830,1693
"2020-09-19","ID","A",438,400,4,38,1701,1701,146,19,441,51,251236,2173,,,,,,,36959,33901,470,0,,,,,,19915,,0,285137,2615,,,,,,0,285137,2615
"2020-09-18","ID","A",434,396,5,38,1682,1682,123,24,438,54,249063,1791,,,,,,,36489,33489,396,0,,,,,,19691,,0,282522,2096,,,,,,0,282522,2096
