"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","IN","A+",3789,3562,7,227,13860,13860,1232,104,2765,349,1351201,9973,,,,,119,,134981,,1570,0,,,,,,101184,,0,1486182,11543,,,,,1486182,11543,2336228,29666
"2020-10-10","IN","A+",3782,3555,21,227,13756,13756,1180,108,2751,339,1341228,9285,,,,,115,,133411,,1918,0,,,,,,101184,,0,1474639,11203,,,,,1474639,11203,2306562,29716
"2020-10-09","IN","A+",3761,3534,19,227,13648,13648,1187,111,2720,357,1331943,10229,,,,,116,,131493,,1816,0,,,,,,101184,,0,1463436,12045,,,,,1463436,12045,2276846,30747
"2020-10-08","IN","A+",3742,3515,15,227,13537,13537,1110,107,2691,342,1321714,9024,,,,,107,,129677,,1450,0,,,,,,100528,,0,1451391,10474,,,,,1451391,10474,2246099,25867
"2020-10-07","IN","A+",3727,3500,16,227,13430,13430,1081,106,2683,333,1312690,7417,,,,,101,,128227,,1281,0,,,,,,99802,,0,1440917,8698,,,,,1440917,8698,2220232,21447
"2020-10-06","IN","A+",3711,3484,30,227,13324,13324,1138,85,2658,333,1305273,6074,,,,,103,,126946,,970,0,,,,,,98988,,0,1432219,7044,,,,,1432219,7044,2198785,16935
"2020-10-05","IN","A+",3681,3454,7,227,13239,13239,1019,91,2640,308,1299199,6282,,,,,103,,125976,,830,0,,,,,,98127,,0,1425175,7112,,,,,1425175,7112,2181850,15484
"2020-10-04","IN","A+",3674,3447,5,227,13148,13148,950,80,2618,279,1292917,8501,,,,,102,,125146,,1087,0,,,,,,96845,,0,1418063,9588,,,,,1418063,9588,2166366,25469
"2020-10-03","IN","A+",3669,3442,13,227,13068,13068,911,85,2605,281,1284416,8534,,,,,104,,124059,,1419,0,,,,,,96845,,0,1408475,9953,,,,,1408475,9953,2140897,26062
"2020-10-02","IN","A+",3656,3429,11,227,12983,12983,963,72,2590,292,1275882,9327,,,,,102,,122640,,1464,0,,,,,,94816,,0,1398522,10791,,,,,1398522,10791,2114835,27224
"2020-10-01","IN","A+",3645,3418,13,227,12911,12911,919,97,2577,265,1266555,6724,,,,,102,,121176,,1157,0,,,,,,95655,,0,1387731,7881,,,,,1387731,7881,2087611,21137
"2020-09-30","IN","A+",3632,3405,20,227,12814,12814,975,56,2554,265,1259831,7542,,,,,96,,120019,,953,0,,,,,,94816,,0,1379850,8495,,,,,1379850,8495,2066474,24328
"2020-09-29","IN","A+",3612,3385,21,227,12758,12758,942,104,2541,288,1252289,4317,,,,,94,,119066,,744,0,,,,,,93921,,0,1371355,5061,,,,,1371355,5061,2042146,12575
"2020-09-28","IN","A+",3591,3365,11,226,12654,12654,957,58,2515,299,1247972,6562,,,,,93,,118322,,872,0,,,,,,92847,,0,1366294,7434,,,,,1366294,7434,2029571,16896
"2020-09-27","IN","A+",3580,3354,3,226,12596,12596,910,75,2511,282,1241410,7569,,,,,92,,117450,,901,0,,,,,,92552,,0,1358860,8470,,,,,1358860,8470,2012675,22747
"2020-09-26","IN","A+",3577,3351,11,226,12521,12521,910,58,2497,259,1233841,7786,,,,,92,,116549,,1142,0,,,,,,92306,,0,1350390,8928,,,,,1350390,8928,1989928,26922
"2020-09-25","IN","A+",3566,3340,18,226,12463,12463,856,75,2484,258,1226055,8683,,,,,83,,115407,,1171,0,,,,,,91866,,0,1341462,9854,,,,,1341462,9854,1963006,25507
"2020-09-24","IN","A+",3548,3322,18,226,12388,12388,840,76,2462,261,1217372,7890,,,,,83,,114236,,899,0,,,,,,90979,,0,1331608,8789,,,,,1331608,8789,1937499,21066
"2020-09-23","IN","A+",3530,3305,10,225,12312,12312,815,47,2448,272,1209482,6668,,,,,78,,113337,,711,0,,,,,,90069,,0,1322819,7379,,,,,1322819,7379,1916433,17870
"2020-09-22","IN","A+",3520,3295,8,225,12265,12265,759,81,2439,254,1202814,6196,,,,,79,,112626,,599,0,,,,,,89072,,0,1315440,6795,,,,,1315440,6795,1898563,16315
"2020-09-21","IN","A+",3512,3287,6,225,12184,12184,766,41,2428,228,1196618,6183,,,,,72,,112027,,522,0,,,,,,88173,,0,1308645,6705,,,,,1308645,6705,1882248,14422
"2020-09-20","IN","A+",3506,3281,3,225,12143,12143,754,52,2410,218,1190435,8579,,,,,72,,111505,,746,0,,,,,,87090,,0,1301940,9325,,,,,1301940,9325,1867826,23525
"2020-09-19","IN","A+",3503,3278,8,225,12091,12091,762,56,2402,239,1181856,10101,,,,,74,,110759,,1076,0,,,,,,86260,,0,1292615,11177,,,,,1292615,11177,1844301,30661
"2020-09-18","IN","A+",3495,3270,17,225,12035,12035,804,53,2387,235,1171755,10751,,,,,76,,109683,,1037,0,,,,,,86260,,0,1281438,11788,,,,,1281438,11788,1813640,25432
"2020-09-17","IN","A+",3478,3253,6,225,11982,11982,778,64,2376,241,1161004,6921,,,,,72,,108646,,837,0,,,,,,85334,,0,1269650,7758,,,,,1269650,7758,1788208,18176
"2020-09-16","IN","A+",3472,3247,12,225,11918,11918,788,60,2363,237,1154083,6581,,,,,68,,107809,,580,0,,,,,,84336,,0,1261892,7161,,,,,1261892,7161,1770032,14013
"2020-09-15","IN","A+",3460,3235,21,225,11858,11858,809,62,2363,230,1147502,6749,,,,,68,,107229,,689,0,,,,,,83279,,0,1254731,7438,,,,,1254731,7438,1756019,17714
"2020-09-14","IN","A+",3439,3215,1,224,11796,11796,844,47,2353,230,1140753,7573,,,,,74,,106540,,736,0,,,,,,82311,,0,1247293,8309,,,,,1247293,8309,1738305,17979
"2020-09-13","IN","A+",3438,3214,1,224,11749,11749,731,39,2338,219,1133180,30761,,,,,72,,105804,,1243,0,,,,,,81405,,0,1238984,32004,,,,,1238984,32004,1720326,53437
"2020-09-12","IN","A+",3437,3213,17,224,11710,11710,807,59,2327,234,1102419,22820,,,,,70,,104561,,1056,0,,,,,,81089,,0,1206980,23876,,,,,1206980,23876,1666889,48085
"2020-09-11","IN","A+",3420,3196,10,224,11651,11651,809,60,2315,225,1079599,17701,,,,,68,,103505,,1262,0,,,,,,80738,,0,1183104,18963,,,,,1183104,18963,1618804,34272
"2020-09-10","IN","A+",3410,3186,13,224,11591,11591,833,63,2310,239,1061898,5365,,,,,68,,102243,,758,0,,,,,,79859,,0,1164141,6123,,,,,1164141,6123,1584532,11572
"2020-09-09","IN","A+",3397,3173,17,224,11528,11528,763,61,2304,229,1056533,6450,,,,,70,,101485,,705,0,,,,,,78925,,0,1158018,7155,,,,,1158018,7155,1572960,12974
"2020-09-08","IN","A+",3380,3156,12,224,11467,11467,839,57,2284,246,1050083,3905,,,,,65,,100780,,386,0,,,,,,77939,,0,1150863,4291,,,,,1150863,4291,1559986,8255
"2020-09-07","IN","A+",3368,3144,4,224,11410,11410,771,45,2278,236,1046178,7114,,,,,63,,100394,,590,0,,,,,,77015,,0,1146572,7704,,,,,1146572,7704,1551731,14549
