"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","KY","B",1252,1239,3,13,6094,6094,652,0,1586,170,1467733,0,,,,,,,80292,69138,847,0,,,,,,13539,,0,1536175,0,78505,35468,,,,0,1536175,0
"2020-10-10","KY","B",1249,1236,7,13,6094,6094,652,61,1586,170,1467733,10104,,,,,,,79445,68442,989,0,,,,,,13539,,0,1536175,10911,78505,35468,,,,0,1536175,10911
"2020-10-09","KY","B",1242,1229,8,13,6033,6033,679,219,1571,172,1457629,23846,,,,,,,78456,67635,1001,0,,,,,,13417,,0,1525264,24651,78322,29238,,,,0,1525264,24651
"2020-10-08","KY","B",1234,1222,11,12,5814,5814,701,135,1562,174,1433783,18600,,,,,,,77455,66830,868,0,,,,,,13113,,0,1500613,19282,62645,28779,,,,0,1500613,19282
"2020-10-07","KY","B",1223,1211,5,12,5679,5679,672,57,1554,161,1415183,13623,,,,,,,76587,66148,2393,0,,,,,,12800,,0,1481331,15421,58924,28287,,,,0,1481331,15421
"2020-10-06","KY","B",1218,1206,4,12,5622,5622,592,65,1545,150,1401560,11440,,,,,,,74194,64350,1036,0,,,,,,12751,,0,1465910,12132,58880,27877,,,,0,1465910,12132
"2020-10-05","KY","B",1214,1202,5,12,5557,5557,563,195,1540,145,1390120,18265,,,,,,,73158,63658,541,0,,,,,,12445,,0,1453778,19254,58800,27129,,,,0,1453778,19254
"2020-10-04","KY","B",1209,1197,4,12,5362,5362,600,0,1538,129,1371855,0,,,,,,,72617,63189,616,0,,,,,,12121,,0,1434524,0,58712,27000,,,,0,1434524,0
"2020-10-03","KY","B",1205,1193,8,12,5362,5362,600,28,1538,129,1371855,10982,,,,,,,72001,62669,1274,0,,,,,,12121,,0,1434524,12004,58712,27000,,,,0,1434524,12004
"2020-10-02","KY","B",1197,1185,6,12,5334,5334,578,19,1533,133,1360873,21986,,,,,,,70727,61647,999,0,,,,,,12041,,0,1422520,22758,58639,25887,,,,0,1422520,22758
"2020-10-01","KY","B",1191,1180,17,11,5315,5315,524,36,1529,129,1338887,23118,,,,,,,69728,60875,888,0,,,,,,11970,,0,1399762,23775,58617,25581,,,,0,1399762,23775
"2020-09-30","KY","B",1174,1163,4,11,5279,5279,541,29,1525,126,1315769,12384,,,,,,,68840,60218,984,0,,,,,,11840,,0,1375987,13058,55961,27868,,,,0,1375987,13058
"2020-09-29","KY","B",1170,1159,8,11,5250,5250,589,42,1520,129,1303385,69133,,,,,,,67856,59544,917,0,,,,,,11792,,0,1362929,69789,55904,27552,,,,0,1362929,69789
"2020-09-28","KY","B",1162,1151,5,11,5208,5208,507,15,1514,106,1234252,17692,,,,,,,66939,58888,448,0,,,,,,11787,,0,1293140,18452,55839,24598,,,,0,1293140,18452
"2020-09-27","KY","B",1157,1147,3,10,5193,5193,538,0,1511,129,1216560,0,,,,,,,66491,58501,455,0,,,,,,11750,,0,1274688,0,55724,24514,,,,0,1274688,0
"2020-09-26","KY","B",1154,1144,5,10,5193,5193,538,46,1511,129,1216560,29298,,,,,,,66036,58128,970,0,,,,,,11750,,0,1274688,30060,55724,24514,,,,0,1274688,30060
"2020-09-25","KY","B",1149,1140,12,9,5147,5147,553,28,1501,130,1187262,17485,,,,,,,65066,57366,908,0,,,,,,11677,,0,1244628,18243,53029,24330,,,,0,1244628,18243
"2020-09-24","KY","B",1137,1128,13,9,5119,5119,543,24,1499,122,1169777,9152,,,,,,,64158,56608,641,0,,,,,,11570,,0,1226385,9606,52994,22028,,,,0,1226385,9606
"2020-09-23","KY","B",1124,1115,5,9,5095,5095,530,20,1499,123,1160625,147736,,,,,,,63517,56154,786,0,,,,,,11480,,0,1216779,148313,52939,21830,,,,0,1216779,148313
"2020-09-22","KY","B",1119,1110,7,9,5075,5075,511,24,1494,133,1012889,9402,,,,,,,62731,55577,814,0,,,,,,11361,,0,1068466,9983,52158,21407,,,,0,1068466,9983
"2020-09-21","KY","B",1112,1103,1,9,5051,5051,496,25,1488,114,1003487,9817,,,,,,,61917,54996,375,0,,,,,,11283,,0,1058483,10488,51575,21017,,,,0,1058483,10488
"2020-09-20","KY","B",1111,1102,3,9,5026,5026,496,0,1483,114,993670,0,,,,,,,61542,54695,436,0,,,,,,11237,,0,1047995,0,51457,19403,,,,0,1047995,0
"2020-09-19","KY","B",1108,1099,7,9,5026,5026,496,24,1483,114,993670,1947,,,,,,,61106,54325,978,0,,,,,,11237,,0,1047995,2763,51457,19403,,,,0,1047995,2763
"2020-09-18","KY","B",1101,1092,8,9,5002,5002,500,26,1478,144,991723,12408,,,,,,,60128,53509,758,0,,,,,,11168,,0,1045232,13030,50995,18878,,,,0,1045232,13030
"2020-09-17","KY","B",1093,1084,11,9,4976,4976,515,49,1471,113,979315,10300,,,,,,,59370,52887,606,0,,,,,,11109,,0,1032202,10750,50342,18735,,,,0,1032202,10750
"2020-09-16","KY","B",1082,1073,8,9,4927,4927,565,3,1466,125,969015,20576,,,,,,,58764,52437,764,0,,,,,,11043,,0,1021452,21151,50206,18502,,,,0,1021452,21151
"2020-09-15","KY","B",1074,1065,9,9,4924,4924,533,19,1459,125,948439,9146,,,,,,,58000,51862,718,0,,,,,,10962,,0,1000301,9691,49842,17883,,,,0,1000301,9691
"2020-09-14","KY","B",1065,1056,5,9,4905,4905,504,19,1454,119,939293,65486,,,,,,,57282,51317,337,0,,,,,,10918,,0,990610,66268,49374,17451,,,,0,990610,66268
"2020-09-13","KY","B",1060,1051,3,9,4886,4886,587,0,1454,148,873807,0,,,,,,,56945,51018,530,0,,,,,,10872,,0,924342,0,49234,17381,,,,0,924342,0
"2020-09-12","KY","B",1057,1048,13,9,4886,4886,587,24,1454,148,873807,28821,,,,,,,56415,50535,711,0,,,,,,10872,,0,924342,29377,49234,17381,,,,0,924342,29377
"2020-09-11","KY","B",1044,1035,9,9,4862,4862,549,27,1443,124,844986,15267,,,,,,,55704,49979,932,0,,,,,,10822,,0,894965,16048,48463,17002,,,,0,894965,16048
"2020-09-10","KY","B",1035,1026,22,9,4835,4835,565,58,1440,133,829719,5406,,,,,,,54772,49198,795,0,,,,,,10791,,0,878917,6005,47937,16606,,,,0,878917,6005
