"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","ME","A+",143,142,0,1,463,463,7,1,,5,485386,0,10015,,483143,,0,,5723,5128,27,0,530,,,,7005,4970,,0,491109,27,10559,,,,,0,490461,0
"2020-10-10","ME","A+",143,142,0,1,462,462,7,2,,5,485386,0,10015,,483143,,0,,5696,5105,30,0,530,,,,7005,4951,,0,491082,30,10559,,,,,0,490461,0
"2020-10-09","ME","A+",143,142,1,1,460,460,7,1,,5,485386,8410,10015,,483143,,0,,5666,5075,27,0,530,,,,7005,4933,,0,491052,8437,10559,,,,,0,490461,8437
"2020-10-08","ME","A+",142,141,0,1,459,459,7,0,,1,476976,6831,9987,,474748,,0,,5639,5048,35,0,528,,,,6967,4900,,0,482615,6866,10529,,,,,0,482024,6868
"2020-10-07","ME","A+",142,141,0,1,459,459,9,2,,2,470145,6490,9964,,467918,,0,,5604,5011,39,0,528,,,,6930,4880,,0,475749,6529,10506,,,,,0,475156,6518
"2020-10-06","ME","A+",142,141,0,1,457,457,7,3,,1,463655,2518,9952,,461455,,0,,5565,4983,20,0,528,,,,6877,4839,,0,469220,2538,10494,,,,,0,468638,2538
"2020-10-05","ME","A+",142,141,0,1,454,454,10,0,,1,461137,17315,9945,,458935,,1,,5545,4963,26,0,528,,,,6860,4807,,0,466682,17341,10487,,,,,0,466100,17378
"2020-10-04","ME","A+",142,141,0,1,454,454,11,0,,2,443822,0,9906,,441655,,1,,5519,4944,33,0,525,,,,6769,4782,,0,449341,33,10445,,,,,0,448722,0
"2020-10-03","ME","A+",142,141,0,1,454,454,11,2,,2,443822,0,9906,,441655,,1,,5486,4920,18,0,525,,,,6769,4763,,0,449308,18,10445,,,,,0,448722,0
"2020-10-02","ME","A+",142,141,0,1,452,452,11,1,,2,443822,6862,9906,,441655,,1,,5468,4900,37,0,525,,,,6769,4741,,0,449290,6899,10445,,,,,0,448722,6897
"2020-10-01","ME","A+",142,141,1,1,451,451,12,2,,2,436960,7251,9890,,434806,,1,,5431,4865,40,0,523,,,,6721,4704,,0,442391,7291,10427,,,,,0,441825,7292
"2020-09-30","ME","A+",141,140,0,1,449,449,13,2,,7,429709,6992,9862,,427569,,1,,5391,4824,54,0,522,,,,6668,4678,,0,435100,7046,10398,,,,,0,434533,7039
"2020-09-29","ME","A+",141,140,1,1,447,447,8,1,,5,422717,4621,9848,,420597,,1,,5337,4777,37,0,522,,,,6602,4629,,0,428054,4658,10384,,,,,0,427494,4643
"2020-09-28","ME","A+",140,139,0,1,446,446,8,1,,2,418096,2188,9782,,415985,,0,,5300,4755,12,0,521,,,,6574,4599,,0,423396,2200,10317,,,,,0,422851,2202
"2020-09-27","ME","A+",140,139,0,1,445,445,11,2,,2,415908,14749,9777,,413798,,0,,5288,4741,28,0,521,,,,6560,4567,,0,421196,14777,10312,,,,,0,420649,14799
"2020-09-26","ME","A+",140,139,0,1,443,443,8,1,,1,401159,0,9740,,399070,,0,,5260,4713,25,0,516,,,,6490,4538,,0,406419,25,10270,,,,,0,405850,0
"2020-09-25","ME","A+",140,139,0,1,442,442,10,0,,2,401159,6408,9740,,399070,,0,,5235,4691,20,0,516,,,,6490,4507,,0,406394,6428,10270,,,,,0,405850,6422
"2020-09-24","ME","A+",140,139,0,1,442,442,14,1,,1,394751,13887,9712,,392670,,0,,5215,4677,44,0,515,,,,6470,4478,,0,399966,13931,10241,,,,,0,399428,8097
"2020-09-23","ME","A+",140,139,0,1,441,441,14,-1,,2,380864,10578,9689,,384620,,0,,5171,4643,25,0,515,,,,6426,4445,,0,386035,10603,10218,,,,,0,391331,5824
"2020-09-22","ME","A+",140,139,0,1,442,442,17,2,,4,370286,0,9676,,378826,,0,,5146,4617,40,0,515,,,,6396,4407,,0,375432,40,10205,,,,,0,385507,10635
"2020-09-21","ME","A+",140,139,1,1,440,440,17,1,,6,370286,1227,9665,,368266,,1,,5106,4586,27,0,513,,,,6327,4384,,0,375392,1254,10192,,,,,0,374872,1251
"2020-09-20","ME","A+",139,138,0,1,439,439,16,0,,4,369059,2907,9664,,367041,,1,,5079,4562,44,0,512,,,,6301,4364,,0,374138,2951,10190,,,,,0,373621,2947
"2020-09-19","ME","A+",139,138,1,1,439,439,14,2,,5,366152,6733,9641,,364115,,1,,5035,4522,30,0,509,,,,6280,4346,,0,371187,6763,10164,,,,,0,370674,6763
"2020-09-18","ME","A+",138,137,0,1,437,437,11,1,,5,359419,13003,9624,,357397,,1,,5005,4492,43,0,509,,,,6240,4335,,0,364424,13046,10147,,,,,0,363911,13037
"2020-09-17","ME","A+",138,137,0,1,436,436,12,3,,5,346416,9170,9610,,344419,,0,,4962,4458,21,0,509,,,,6190,4317,,0,351378,9191,10133,,,,,0,350874,9194
"2020-09-16","ME","A+",138,137,1,1,433,433,10,1,,5,337246,5675,9542,,335257,,0,,4941,4434,23,0,504,,,,6161,4307,,0,342187,5698,10060,,,,,0,341680,5694
"2020-09-15","ME","A+",137,136,1,1,432,432,10,1,,5,331571,2697,9503,,329596,,0,,4918,4415,15,0,503,,,,6130,4280,,0,336489,2712,10020,,,,,0,335986,2711
"2020-09-14","ME","A+",136,135,0,1,431,431,9,0,,5,328874,3569,9478,,326907,,3,,4903,4401,40,0,503,,,,6110,4237,,0,333777,3609,9995,,,,,0,333275,3594
"2020-09-13","ME","A+",136,135,1,1,431,431,11,0,,6,325305,5136,9473,,323343,,3,,4863,4376,29,0,503,,,,6081,4226,,0,330168,5165,9990,,,,,0,329681,5163
"2020-09-12","ME","A+",135,134,1,1,431,431,10,-1,,6,320169,4953,9440,,318215,,4,,4834,4349,42,0,503,,,,6048,4211,,0,325003,4995,9957,,,,,0,324518,4985
"2020-09-11","ME","A+",134,133,0,1,432,432,10,1,,6,315216,6067,9426,,313267,,5,,4792,4317,32,0,503,,,,6013,4191,,0,320008,6099,9943,,,,,0,319533,6097
"2020-09-10","ME","A+",134,133,0,1,431,431,11,2,,7,309149,4158,9417,,307221,,3,,4760,4287,26,0,500,,,,5965,4153,,0,313909,4184,9931,,,,,0,313436,4187
"2020-09-09","ME","A+",134,133,0,1,429,429,9,0,,7,304991,6998,9395,,303080,,3,,4734,4258,21,0,499,,,,5920,4135,,0,309725,7019,9907,,,,,0,309249,7012
"2020-09-08","ME","A+",134,133,0,1,429,429,7,2,,6,297993,2662,9394,,296094,,2,,4713,4244,12,0,499,,,,5895,4086,,0,302706,2674,9906,,,,,0,302237,2676
"2020-09-07","ME","A+",134,133,0,1,427,427,8,3,,3,295331,3159,9392,,293439,,2,,4701,4230,19,0,499,,,,5874,4076,,0,300032,3178,9904,,,,,0,299561,3179
"2020-09-06","ME","A+",134,133,0,1,424,424,6,0,,2,292172,4864,9256,,290281,,2,,4682,4210,15,0,491,,,,5853,4049,,0,296854,4879,9760,,,,,0,296382,4877
"2020-09-05","ME","A+",134,133,0,1,424,424,5,1,,2,287308,5337,9237,,285420,,2,,4667,4197,35,0,488,,,,5837,4037,,0,291975,5372,9738,,,,,0,291505,5370
"2020-09-04","ME","A+",134,133,1,1,423,423,9,-1,,5,281971,5535,9225,,280089,,2,,4632,4164,15,0,484,,,,5800,4006,,0,286603,5550,9722,,,,,0,286135,5554
"2020-09-03","ME","A+",133,132,0,1,424,424,9,1,,4,276436,7971,9205,,274564,,1,,4617,4145,50,0,482,,,,5771,3988,,0,281053,8021,9700,,,,,0,280581,8016
"2020-09-02","ME","A+",133,132,1,1,423,423,11,2,,6,268465,4278,9153,,266604,,1,,4567,4100,19,0,480,,,,5717,3978,,0,273032,4297,9646,,,,,0,272565,4297
"2020-09-01","ME","A+",132,131,0,1,421,421,9,1,,5,264187,5778,9089,,262339,,1,,4548,4081,22,0,479,,,,5686,3945,,0,268735,5800,9581,,,,,0,268268,5799
"2020-08-31","ME","A+",132,131,0,1,420,420,6,0,,4,258409,3260,9056,,256576,,1,,4526,4060,14,0,479,,,,5652,3923,,0,262935,3274,9548,,,,,0,262469,3273
"2020-08-30","ME","A+",132,131,0,1,420,420,7,2,,4,255149,4280,9045,,253317,,1,,4512,4047,23,0,479,,,,5638,3910,,0,259661,4303,9537,,,,,0,259196,4295
"2020-08-29","ME","A+",132,131,0,1,418,418,8,1,,2,250869,4132,9016,,249049,,1,,4489,4032,53,0,478,,,,5613,3899,,0,255358,4185,9507,,,,,0,254901,4183
"2020-08-28","ME","A+",132,131,0,1,417,417,10,2,,6,246737,5224,9001,,244911,,1,,4436,3981,22,0,477,,,,5568,3887,,0,251173,5246,9491,,,,,0,250718,5244
"2020-08-27","ME","A+",132,131,0,1,415,415,9,3,,4,241513,3906,8982,,239707,,1,,4414,3961,25,0,474,,,,5529,3847,,0,245927,3931,9469,,,,,0,245474,3925
"2020-08-26","ME","A+",132,131,1,1,412,412,8,2,,5,237607,4601,8944,,235811,,1,,4389,3942,21,0,474,,,,5502,3818,,0,241996,4622,9431,,,,,0,241549,4624
"2020-08-25","ME","A+",131,130,0,1,410,410,8,1,,5,233006,2506,8926,,231219,,1,,4368,3919,12,0,472,,,,5472,3784,,0,237374,2518,9411,,,,,0,236925,2515
"2020-08-24","ME","A+",131,130,0,1,409,409,6,1,,5,230500,3134,8926,,228718,,1,,4356,3910,21,0,470,,,,5458,3762,,0,234856,3155,9409,,,,,0,234410,3154
"2020-08-23","ME","A+",131,130,1,1,408,408,4,1,,2,227366,3932,8917,,225587,,1,,4335,3890,18,0,470,,,,5436,3734,,0,231701,3950,9400,,,,,0,231256,3950
"2020-08-22","ME","A+",130,129,1,1,407,407,4,0,,1,223434,3854,8885,,221664,,1,,4317,3872,32,0,467,,,,5409,3718,,0,227751,3886,9365,,,,,0,227306,3879
"2020-08-21","ME","A+",129,128,1,1,407,407,7,2,,1,219580,3648,8862,,217820,,1,,4285,3847,32,0,467,,,,5375,3698,,0,223865,3680,9342,,,,,0,223427,3683
"2020-08-20","ME","A+",128,127,1,1,405,405,7,2,,1,215932,2924,8838,,214185,,1,,4253,3812,19,0,460,,,,5330,3679,,0,220185,2943,9311,,,,,0,219744,2937
"2020-08-19","ME","A+",127,126,0,1,403,403,9,2,,2,213008,2895,8813,,211267,,1,,4234,3799,21,0,459,,,,5311,3662,,0,217242,2916,9285,,,,,0,216807,2913
"2020-08-18","ME","A+",127,126,0,1,401,401,10,2,,5,210113,1756,8799,,208383,,1,,4213,3781,16,0,456,,,,5283,3649,,0,214326,1772,9268,,,,,0,213894,1770
"2020-08-17","ME","A+",127,126,0,1,399,399,10,-1,,3,208357,2302,8791,,206635,,1,,4197,3767,29,0,456,,,,5261,3638,,0,212554,2331,9260,,,,,0,212124,2322
"2020-08-16","ME","A+",127,126,0,1,400,400,9,1,,2,206055,2845,8787,,204335,,1,,4168,3747,24,0,454,,,,5241,3624,,0,210223,2869,9254,,,,,0,209802,2866
"2020-08-15","ME","A+",127,126,1,1,399,399,5,0,,2,203210,2282,8741,,201496,,1,,4144,3726,29,0,454,,,,5215,3616,,0,207354,2311,9208,,,,,0,206936,2311
"2020-08-14","ME","A+",126,125,0,1,399,399,6,4,,2,200928,2733,8723,,199219,,1,,4115,3697,26,0,450,,,,5183,3604,,0,205043,2759,9186,,,,,0,204625,2751
"2020-08-13","ME","A+",126,125,0,1,395,395,11,1,,5,198195,3147,8706,,196488,,3,,4089,3679,19,0,446,,,,5165,3592,,0,202284,3166,9165,,,,,0,201874,3164
"2020-08-12","ME","A+",126,125,0,1,394,394,9,0,,4,195048,6645,8679,,193353,,1,,4070,3662,20,0,441,,,,5138,3579,,0,199118,6665,9133,,,,,0,198710,6663
"2020-08-11","ME","A+",126,125,1,1,394,394,9,1,,4,188403,1546,8663,,186723,,1,,4050,3644,1,0,441,,,,5105,3560,,0,192453,1547,9117,,,,,0,192047,1549
"2020-08-10","ME","A+",125,124,0,1,393,393,8,0,,3,186857,1913,8657,,185189,,1,,4049,3641,7,0,440,,,,5093,3537,,0,190906,1920,9110,,,,,0,190498,1929
"2020-08-09","ME","A+",125,124,0,1,393,393,9,0,,3,184944,2569,8644,,183277,,1,,4042,3625,16,0,440,,,,5076,3512,,0,188986,2585,9097,,,,,0,188569,2585
"2020-08-08","ME","A+",125,124,1,1,393,393,9,0,,4,182375,2667,8584,,180715,,0,,4026,3609,12,0,435,,,,5053,3504,,0,186401,2679,9031,,,,,0,185984,2677
"2020-08-07","ME","A+",124,123,0,1,393,393,10,3,,5,179708,2789,8571,,178061,,1,,4014,3599,17,0,433,,,,5034,3479,,0,183722,2806,9016,,,,,0,183307,2806
"2020-08-06","ME","A+",124,123,0,1,390,390,11,0,,3,176919,2666,8540,,175279,,1,,3997,3582,5,0,430,,,,5010,3475,,0,180916,2671,8982,,,,,0,180501,2680
"2020-08-05","ME","A+",124,123,1,1,390,390,10,2,,4,174253,2467,8514,,172622,,1,,3992,3568,17,0,426,,,,4988,3456,,0,178245,2484,8952,,,,,0,177821,2487
"2020-08-04","ME","A+",123,122,-1,1,388,388,12,-1,,1,171786,1611,8494,,170162,,1,,3975,3548,5,0,424,,,,4961,3424,,0,175761,1616,8930,,,,,0,175334,1618
"2020-08-03","ME","A+",124,122,1,2,389,389,12,1,,3,170175,2059,8478,,168562,,1,,3970,3541,12,0,419,,,,4944,3396,,0,174145,2071,8909,,,,,0,173716,2065
"2020-08-02","ME","A+",123,122,0,1,388,388,12,0,,4,168116,2307,8468,,166510,,1,,3958,3535,21,0,418,,,,4932,3387,,0,172074,2328,8898,,,,,0,171651,2326
"2020-08-01","ME","A+",123,122,0,1,388,388,10,0,,5,165809,2554,8425,,164215,,1,,3937,3516,25,0,417,,,,4905,3377,,0,169746,2579,8854,,,,,0,169325,2571
"2020-07-31","ME","A+",123,122,1,1,388,388,12,2,,7,163255,2336,8396,,161670,,2,,3912,3499,24,0,413,,,,4880,3361,,0,167167,2360,8821,,,,,0,166754,2358
"2020-07-30","ME","A+",122,121,1,1,386,386,11,1,,8,160919,2708,8371,,159348,,3,,3888,3477,22,0,412,,,,4846,3345,,0,164807,2730,8795,,,,,0,164396,2728
"2020-07-29","ME","A+",121,120,0,1,385,385,11,1,,8,158211,2949,8332,,156649,,5,,3866,3457,28,0,407,,,,4819,3336,,0,162077,2977,8751,,,,,0,161668,2973
"2020-07-28","ME","A+",121,120,2,1,384,384,12,1,,7,155262,1653,8317,,153711,,2,,3838,3433,6,0,405,,,,4786,3319,,0,159100,1659,8734,,,,,0,158695,1664
"2020-07-27","ME","A+",119,118,0,1,383,383,13,2,,8,153609,2105,8304,,152067,,3,,3832,3422,18,0,405,,,,4766,3292,,0,157441,2123,8721,,,,,0,157031,2119
"2020-07-26","ME","A+",119,118,0,1,381,381,14,2,,10,151504,1921,8279,,149972,,3,,3814,3408,24,0,404,,,,4744,3284,,0,155318,1945,8695,,,,,0,154912,1942
"2020-07-25","ME","A+",119,118,1,1,379,379,11,1,,8,149583,2720,8249,,148061,,2,,3790,3387,33,0,401,,,,4715,3281,,0,153373,2753,8660,,,,,0,152970,2750
"2020-07-24","ME","A+",118,117,0,1,378,378,12,0,,9,146863,2925,8213,,145352,,3,,3757,3357,20,0,395,,,,4678,3259,,0,150620,2945,8618,,,,,0,150220,2948
"2020-07-23","ME","A+",118,117,0,1,378,378,12,1,,8,143938,2643,8189,,142434,,3,,3737,3334,14,0,390,,,,4648,3239,,0,147675,2657,8589,,,,,0,147272,2656
"2020-07-22","ME","A+",118,117,0,1,377,377,10,0,,8,141295,2775,8113,,139810,,4,,3723,3321,0,0,386,,,,4619,3216,,0,145018,2775,8509,,,,,0,144616,2796
"2020-07-21","ME","A+",118,117,1,1,377,377,12,2,,8,138520,3009,8084,,137047,,4,,3723,3300,12,0,386,,,,4586,3191,,0,142243,3021,8479,,,,,0,141820,3022
"2020-07-20","ME","A+",117,116,0,1,375,375,12,0,,10,135511,1761,8068,,134046,,4,,3711,3287,24,0,385,,,,4567,3159,,0,139222,1785,8463,,,,,0,138798,1782
"2020-07-19","ME","A+",117,116,0,1,375,375,10,0,,9,133750,2467,8050,,132293,,7,,3687,3266,41,0,385,,,,4542,3148,,0,137437,2508,8445,,,,,0,137016,2481
"2020-07-18","ME","A+",117,116,2,1,375,375,9,0,,8,131283,1474,7989,,129845,,5,,3646,3252,10,0,380,,,,4510,3136,,0,134929,1484,8378,,,,,0,134535,1487
"2020-07-17","ME","A+",115,114,1,1,375,375,12,1,,11,129809,2945,7960,,128380,,5,,3636,3239,38,0,377,,,,4491,3114,,0,133445,2983,8346,,,,,0,133048,2977
"2020-07-16","ME","A+",114,113,0,1,374,374,13,1,,11,126864,2511,7879,,125450,,4,,3598,3207,20,0,375,,,,4445,3094,,0,130462,2531,8263,,,,,0,130071,2532
"2020-07-15","ME","A+",114,113,0,1,373,373,12,0,,9,124353,2444,7806,,122948,,4,,3578,3186,12,0,373,,,,4415,3079,,0,127931,2456,8188,,,,,0,127539,2462
"2020-07-14","ME","A+",114,113,0,1,373,373,17,1,,7,121909,1505,7772,,120516,,3,,3566,3168,8,0,373,,,,4389,3062,,0,125475,1513,8154,,,,,0,125077,1514
"2020-07-13","ME","A+",114,113,0,1,372,372,18,1,,8,120404,1629,7756,,119029,,3,,3558,3159,19,0,370,,,,4363,3008,,0,123962,1648,8135,,,,,0,123563,1645
"2020-07-12","ME","A+",114,113,2,1,371,371,19,3,,9,118775,2405,7733,,117405,,3,,3539,3143,19,0,375,,,,4344,2994,,0,122314,2424,8116,,,,,0,121918,2417
"2020-07-11","ME","A+",112,111,1,1,368,368,16,2,,7,116370,1463,7658,,115011,,4,,3520,3131,21,0,369,,,,4322,2972,,0,119890,1484,8035,,,,,0,119501,1484
"2020-07-10","ME","A+",111,110,0,1,366,366,15,1,,7,114907,2635,7526,,113562,,4,,3499,3110,13,0,365,,,,4287,2931,,0,118406,2648,7900,,,,,0,118017,2653
"2020-07-09","ME","A+",111,110,1,1,365,365,16,2,,7,112272,2794,7474,,110933,,4,,3486,3092,26,0,364,,,,4263,2901,,0,115758,2820,7847,,,,,0,115364,2821
