"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","MN","A",2194,2141,10,53,8354,8354,471,52,2291,133,1466456,16181,,,,,,,112268,112268,1440,0,,,,,,100171,2318810,30148,2318810,30148,,,,,1578724,17621,,0
"2020-10-10","MN","A",2184,2131,10,53,8302,8302,471,51,2277,133,1450275,16045,,,,,,,110828,110828,1516,0,,,,,,99054,2288662,32497,2288662,32497,,,,,1561103,17561,,0
"2020-10-09","MN","A",2174,2121,14,53,8251,8251,471,64,2267,133,1434230,15593,,,,,,,109312,109312,1390,0,,,,,,97715,2256165,31971,2256165,31971,,,,,1543542,16983,,0
"2020-10-08","MN","A",2160,2107,6,53,8187,8187,457,98,2245,139,1418637,14147,,,,,,,107922,107922,1271,0,,,,,,97254,2224194,28312,2224194,28312,,,,,1526559,15418,,0
"2020-10-07","MN","A",2154,2101,14,53,8089,8089,367,69,2223,123,1404490,7494,,,,,,,106651,106651,911,0,,,,,,96616,2195882,12912,2195882,12912,,,,,1511141,8405,,0
"2020-10-06","MN","A",2140,2087,4,53,8020,8020,367,80,2212,123,1396996,7618,,,,,,,105740,105740,941,0,,,,,,95614,2182970,13184,2182970,13184,,,,,1502736,8559,,0
"2020-10-05","MN","A",2136,2083,3,53,7940,7940,367,53,2189,123,1389378,12985,,,,,,,104799,104799,973,0,,,,,,94416,2169786,23375,2169786,23375,,,,,1494177,13958,,0
"2020-10-04","MN","A",2133,2080,7,53,7887,7887,,41,2177,,1376393,16648,,,,,,,103826,103826,1039,0,,,,,,93148,2146411,30373,2146411,30373,,,,,1480219,17687,,0
"2020-10-03","MN","A",2126,2073,14,53,7846,7846,,53,2170,,1359745,14061,,,,,,,102787,102787,1421,0,,,,,,91844,2116038,29075,2116038,29075,,,,,1462532,15482,,0
"2020-10-02","MN","A",2112,2059,10,53,7793,7793,340,35,2156,120,1345684,16309,,,,,,,101366,101366,1166,0,,,,,,90492,2086963,31075,2086963,31075,,,,,1447050,17475,,0
