"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","MT","C",210,,1,,892,892,286,7,,,371556,1024,,,,,,,18702,18702,585,0,,,,,,11361,,0,390258,1609,,,,,,0,390258,1609
"2020-10-10","MT","C",209,,3,,885,885,280,17,,,370532,1185,,,,,,,18117,18117,718,0,,,,,,11361,,0,388649,1903,,,,,,0,388649,1903
"2020-10-09","MT","C",206,,9,,868,868,266,17,,,369347,4359,,,,,,,17399,17399,722,0,,,,,,10863,,0,386746,5081,,,,,,0,386746,5081
"2020-10-08","MT","C",197,,4,,851,851,263,31,,,364988,4875,,,,,,,16677,16677,614,0,,,,,,10656,,0,381665,5489,,,,,,0,381665,5489
"2020-10-07","MT","C",193,,1,,820,820,235,47,,,360113,2740,,,,,,,16063,16063,716,0,,,,,,10518,,0,376176,3456,,,,,,0,376176,3456
"2020-10-06","MT","C",192,,2,,773,773,216,19,,,357373,2245,,,,,,,15347,15347,500,0,,,,,,10172,,0,372720,2745,,,,,,0,372720,2745
"2020-10-05","MT","C",190,,3,,754,754,201,10,,,355128,12350,,,,,,,14847,14847,212,0,,,,,,9649,,0,369975,12562,,,,,,0,369975,12562
"2020-10-04","MT","C",187,,1,,744,744,191,3,,,342778,2351,,,,,,,14635,14635,279,0,,,,,,9597,,0,357413,2630,,,,,,0,357413,2630
"2020-10-03","MT","C",186,,0,,741,741,189,12,,,340427,920,,,,,,,14356,14356,501,0,,,,,,9601,,0,354783,1421,,,,,,0,354783,1421
"2020-10-02","MT","C",186,,5,,729,729,177,2,,,339507,4298,,,,,,,13855,13855,355,0,,,,,,9569,,0,353362,4653,,,,,,0,353362,4653
"2020-10-01","MT","C",181,,1,,727,727,178,10,,,335209,5122,,,,,,,13500,13500,429,0,,,,,,9428,,0,348709,5551,,,,,,0,348709,5551
"2020-09-30","MT","C",180,,3,,717,717,170,8,,,330087,2885,,,,,,,13071,13071,347,0,,,,,,9256,,0,343158,3232,,,,,,0,343158,3232
"2020-09-29","MT","C",177,,3,,709,709,166,11,,,327202,2419,,,,,,,12724,12724,311,0,,,,,,9093,,0,339926,2730,,,,,,0,339926,2730
"2020-09-28","MT","C",174,,1,,698,698,158,11,,,324783,6583,,,,,,,12413,12413,306,0,,,,,,8839,,0,337196,6889,,,,,,0,337196,6889
"2020-09-27","MT","C",173,,2,,687,687,148,3,,,318200,822,,,,,,,12107,12107,200,0,,,,,,8779,,0,330307,1022,,,,,,0,330307,1022
"2020-09-26","MT","C",171,,1,,684,684,147,9,,,317378,2826,,,,,,,11907,11907,343,0,,,,,,8749,,0,329285,3169,,,,,,0,329285,3169
"2020-09-25","MT","C",170,,5,,675,675,140,25,,,314552,4276,,,,,,,11564,11564,322,0,,,,,,8681,,0,326116,4598,,,,,,0,326116,4598
"2020-09-24","MT","C",165,,0,,650,650,128,49,,,310276,4028,,,,,,,11242,11242,330,0,,,,,,8634,,0,321518,4358,,,,,,0,321518,4358
"2020-09-23","MT","C",165,,2,,601,601,124,17,,,306248,2939,,,,,,,10912,10912,212,0,,,,,,8510,,0,317160,3151,,,,,,0,317160,3151
"2020-09-22","MT","C",163,,3,,584,584,111,8,,,303309,2476,,,,,,,10700,10700,271,0,,,,,,7937,,0,314009,2747,,,,,,0,314009,2747
"2020-09-21","MT","C",160,,3,,576,576,108,6,,,300833,8319,,,,,,,10429,10429,130,0,,,,,,7876,,0,311262,8449,,,,,,0,311262,8449
"2020-09-20","MT","C",157,,1,,570,570,104,3,,,292514,1837,,,,,,,10299,10299,136,0,,,,,,7807,,0,302813,1973,,,,,,0,302813,1973
