"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","NE","A",519,,0,,2526,2526,305,27,,,457034,3746,,,,,,,51887,51887,743,0,,,,,,36091,,0,508921,4489,,,,,509233,4487,723250,7558
"2020-10-10","NE","A",519,,5,,2499,2499,299,18,,,453288,8880,,,,,,,51144,51144,1085,0,,,,,,36091,,0,504432,9965,,,,,504746,9966,715692,19440
"2020-10-09","NE","A",514,,7,,2481,2481,293,13,,,444408,3674,,,,,,,50059,50059,663,0,,,,,,35456,,0,494467,4337,,,,,494780,4337,696252,8563
"2020-10-08","NE","A",507,,0,,2468,2468,288,32,,,440734,3497,,,,,,,49396,49396,639,0,,,,,,35295,,0,490130,4136,,,,,490443,4137,687689,12674
"2020-10-07","NE","A",507,,4,,2436,2436,262,29,,,437237,4483,,,,,,,48757,48757,498,0,,,,,,35052,,0,485994,4981,,,,,486306,4978,675015,11417
"2020-10-06","NE","A",503,,2,,2407,2407,271,10,,,432754,3609,,,,,,,48259,48259,452,0,,,,,,34830,,0,481013,4061,,,,,481328,4062,663598,8067
"2020-10-05","NE","A",501,,4,,2397,2397,249,9,,,429145,3195,,,,,,,47807,47807,404,0,,,,,,34613,,0,476952,3599,,,,,477266,3600,655531,5663
"2020-10-04","NE","A",497,,4,,2388,2388,249,9,,,425950,2959,,,,,,,47403,47403,426,0,,,,,,34395,,0,473353,3385,,,,,473666,3385,649868,5236
"2020-10-03","NE","A",493,,0,,2379,2379,232,23,,,422991,4912,,,,,,,46977,46977,792,0,,,,,,34090,,0,469968,5704,,,,,470281,5705,644632,9945
"2020-10-02","NE","A",493,,15,,2356,2356,227,7,,,418079,4101,,,,,,,46185,46185,621,0,,,,,,33820,,0,464264,4722,,,,,464576,4731,634687,9733
"2020-10-01","NE","A",478,,0,,2349,2349,226,34,,,413978,3384,,,,,,,45564,45564,520,0,,,,,,33362,,0,459542,3904,,,,,459845,3902,624954,6602
"2020-09-30","NE","A",478,,6,,2315,2315,215,14,,,410594,2615,,,,,,,45044,45044,466,0,,,,,,33198,,0,455638,3081,,,,,455943,3081,618352,7272
"2020-09-29","NE","A",472,,2,,2301,2301,214,21,,,407979,3681,,,,,,,44578,44578,515,0,,,,,,33087,,0,452557,4196,,,,,452862,4196,611080,4238
"2020-09-28","NE","A",470,,1,,2280,2280,224,1,,,404298,2765,,,,,,,44063,44063,467,0,,,,,,32824,,0,448361,3232,,,,,448666,3232,606842,5306
"2020-09-27","NE","A",469,,1,,2279,2279,226,3,,,401533,4050,,,,,,,43596,43596,434,0,,,,,,32584,,0,445129,4484,,,,,445434,4487,601536,6249
"2020-09-26","NE","A",468,,6,,2276,2276,225,17,,,397483,2910,,,,,,,43162,43162,431,0,,,,,,32238,,0,440645,3341,,,,,440947,3344,595287,5078
"2020-09-25","NE","A",462,,0,,2259,2259,231,12,,,394573,2482,,,,,,,42731,42731,453,0,,,,,,31774,,0,437304,2935,,,,,437603,2934,590209,5113
"2020-09-24","NE","A",462,,1,,2247,2247,200,33,,,392091,2774,,,,,,,42278,42278,493,0,,,,,,31383,,0,434369,3267,,,,,434669,3268,585096,4956
"2020-09-23","NE","A",461,,9,,2214,2214,197,6,,,389317,2659,,,,,,,41785,41785,397,0,,,,,,31212,,0,431102,3056,,,,,431401,3060,580140,4477
"2020-09-22","NE","A",452,,10,,2208,2208,185,14,,,386658,1925,,,,,,,41388,41388,305,0,,,,,,31047,,0,428046,2230,,,,,428341,2231,575663,12777
"2020-09-21","NE","A",442,,0,,2194,2194,170,0,,,384733,2170,,,,,,,41083,41083,286,0,,,,,,30509,,0,425816,2456,,,,,426110,2457,562886,562886
"2020-09-20","NE","A",442,,0,,2194,2194,174,0,,,382563,2955,,,,,,,40797,40797,410,0,,,,,,30509,,0,423360,3365,,,,,423653,3362,,0
"2020-09-19","NE","A",442,,0,,2194,2194,185,13,,,379608,2954,,,,,,,40387,40387,466,0,,,,,,30509,,0,419995,3420,,,,,420291,3423,,0
"2020-09-18","NE","A",442,,3,,2181,2181,188,9,,,376654,3222,,,,,,,39921,39921,502,0,,,,,,30254,,0,416575,3724,,,,,416868,3395,,0
"2020-09-17","NE","A",439,,3,,2172,2172,176,5,,,373432,3441,,,,,,,39419,39419,449,0,,,,,,29966,,0,412851,3890,,,,,413473,3908,,0
"2020-09-16","NE","A",436,,1,,2167,2167,167,13,,,369991,1958,,,,,,,38970,38970,328,0,,,,,,29799,,0,408961,2286,,,,,409565,2295,,0
"2020-09-15","NE","A+",435,,1,,2154,2154,176,15,,,368033,2403,,,,,,,38642,38642,307,0,,,,,,29597,,0,406675,2710,,,,,407270,2724,,0
"2020-09-14","NE","A+",434,,0,,2139,2139,169,2,,,365630,3054,,,,,,,38335,38335,227,0,,,,,,29405,,0,403965,3281,,,,,404546,3293,,0
"2020-09-13","NE","A+",434,,0,,2137,2137,163,6,,,362576,3063,,,,,,,38108,38108,267,0,,,,,,29167,,0,400684,3330,,,,,401253,3349,,0
"2020-09-12","NE","A+",434,,4,,2131,2131,166,12,,,359513,3074,,,,,,,37841,37841,468,0,,,,,,28816,,0,397354,3542,,,,,397904,3562,,0
"2020-09-11","NE","A+",430,,9,,2119,2119,178,11,,,356439,3038,,,,,,,37373,37373,456,0,,,,,,28513,,0,393812,3494,,,,,394342,3510,,0
"2020-09-10","NE","A+",421,,15,,2108,2108,182,19,,,353401,4529,,,,,,,36917,36917,440,0,,,,,,28175,,0,390318,4969,,,,,390832,4980,,0
"2020-09-09","NE","A+",406,,2,,2089,2089,179,10,,,348872,6547,,,,,,,36477,36477,502,0,,,,,,28051,,0,385349,7049,,,,,385852,7059,,0
"2020-09-08","NE","A+",404,,0,,2079,2079,172,11,,,342325,750,,,,,,,35975,35975,89,0,,,,,,27921,,0,378300,839,,,,,378793,854,,0
"2020-09-07","NE","A+",404,,0,,2068,2068,175,3,,,341575,552,,,,,,,35886,35886,81,0,,,,,,27710,,0,377461,633,,,,,377939,649,,0
"2020-09-06","NE","A+",404,,0,,2065,2065,176,5,,,341023,1160,,,,,,,35805,35805,144,0,,,,,,27473,,0,376828,1304,,,,,377290,1317,,0
"2020-09-05","NE","A+",404,,0,,2060,2060,174,27,,,339863,1740,,,,,,,35661,35661,192,0,,,,,,26973,,0,375524,1932,,,,,375973,1938,,0
"2020-09-04","NE","A+",404,,5,,2033,2033,162,6,,,338123,4153,,,,,,,35469,35469,474,0,,,,,,26766,,0,373592,4627,,,,,374035,4644,,0
"2020-09-03","NE","A+",399,,0,,2027,2027,172,13,,,333970,2903,,,,,,,34995,34995,421,0,,,,,,26466,,0,368965,3324,,,,,369391,3335,,0
"2020-09-02","NE","A+",399,,2,,2014,2014,162,8,,,331067,2279,,,,,,,34574,34574,287,0,,,,,,26363,,0,365641,2566,,,,,366056,2439,,0
"2020-09-01","NE","A+",397,,5,,2006,2006,161,12,,,328788,1483,,,,,,,34287,34287,241,0,,,,,,26177,,0,363075,1724,,,,,363617,1739,,0
"2020-08-31","NE","A+",392,,0,,1994,1994,172,2,,,327305,3113,,,,,,,34046,34046,293,0,,,,,,25969,,0,361351,3406,,,,,361878,3410,,0
"2020-08-30","NE","A+",392,,0,,1992,1992,172,10,,,324192,2410,,,,,,,33753,33753,317,0,,,,,,25727,,0,357945,2727,,,,,358468,2737,,0
"2020-08-29","NE","A+",392,,1,,1982,1982,168,14,,,321782,2464,,,,,,,33436,33436,335,0,,,,,,25282,,0,355218,2799,,,,,355731,2809,,0
"2020-08-28","NE","A",391,,5,,1968,1968,174,14,,,319318,3470,,,,,,,33101,33101,374,0,,,,,,25009,,0,352419,3844,,,,,352922,3867,,0
