"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","NV","A+",1661,,2,,,,519,0,,133,652525,2981,,,,,64,,85779,85779,380,0,,,,,,2270,,0,738304,3361,,,,,736873,3478,1135445,7108
"2020-10-10","NV","A+",1659,,2,,,,519,0,,133,649544,3903,,,,,64,,85399,85399,806,0,,,,,,2270,,0,734943,4709,,,,,733395,4531,1128337,9254
"2020-10-09","NV","A+",1657,,8,,,,502,0,,127,645641,5270,,,,,63,,84593,84593,766,0,,,,,,2270,,0,730234,6036,,,,,728864,6356,1119083,17916
"2020-10-08","NV","A+",1649,,13,,,,498,0,,130,640371,3209,,,,,64,,83827,83827,480,0,,,,,,2261,,0,724198,3689,,,,,722508,3655,1101167,7189
"2020-10-07","NV","A+",1636,,7,,,,495,0,,137,637162,1346,,,,,67,,83347,83347,431,0,,,,,,2261,,0,720509,1777,,,,,718853,1414,1093978,1066
"2020-10-06","NV","A+",1629,,6,,,,485,0,,125,635816,1689,,,,,69,,82916,82916,479,0,,,,,,2242,,0,718732,2168,,,,,717439,1983,1092912,3855
"2020-10-05","NV","A+",1623,,0,,,,441,0,,114,634127,2838,,,,,64,,82437,82437,337,0,,,,,,2241,,0,716564,3175,,,,,715456,3252,1089057,6736
"2020-10-04","NV","A+",1623,,3,,,,442,0,,140,631289,2787,,,,,68,,82100,82100,392,0,,,,,,2231,,0,713389,3179,,,,,712204,3212,1082321,6505
"2020-10-03","NV","A+",1620,,11,,,,442,0,,140,628502,3049,,,,,68,,81708,81708,526,0,,,,,,2231,,0,710210,3575,,,,,708992,3480,1075816,7014
"2020-10-02","NV","A+",1609,,6,,,,463,0,,130,625453,4306,,,,,73,,81182,81182,772,0,,,,,,2231,,0,706635,5078,,,,,705512,5097,1068802,10560
"2020-10-01","NV","A+",1603,,3,,,,449,0,,125,621147,3031,,,,,63,,80410,80410,430,0,,,,,,2226,,0,701557,3461,,,,,700415,3418,1058242,5806
"2020-09-30","NV","A+",1600,,7,,,,452,0,,129,618116,1991,,,,,70,,79980,79980,385,0,,,,,,2220,,0,698096,2376,,,,,696997,2288,1052436,7102
"2020-09-29","NV","A+",1593,,8,,,,446,0,,136,616125,2643,,,,,69,,79595,79595,404,0,,,,,,2093,,0,695720,3047,,,,,694709,2878,1045334,4902
"2020-09-28","NV","A+",1585,,0,,,,451,0,,128,613482,3254,,,,,68,,79191,79191,463,0,,,,,,2080,,0,692673,3717,,,,,691831,3758,1040432,6913
"2020-09-27","NV","A+",1585,,3,,,,442,0,,125,610228,2905,,,,,64,,78728,78728,373,0,,,,,,2075,,0,688956,3278,,,,,688073,3277,1033519,7033
"2020-09-26","NV","A+",1582,,9,,,,442,0,,125,607323,3740,,,,,64,,78355,78355,602,0,,,,,,2075,,0,685678,4342,,,,,684796,4316,1026486,9153
"2020-09-25","NV","A+",1573,,9,,,,460,0,,130,603583,5292,,,,,62,,77753,77753,556,0,,,,,,2075,,0,681336,5848,,,,,680480,5998,1017333,13118
"2020-09-24","NV","A+",1564,,8,,,,468,0,,137,598291,3174,,,,,67,,77197,77197,390,0,,,,,,2062,,0,675488,3564,,,,,674482,3574,1004215,7908
"2020-09-23","NV","A+",1556,,10,,,,479,0,,134,595117,2341,,,,,69,,76807,76807,509,0,,,,,,2059,,0,671924,2850,,,,,670908,2644,996307,4347
"2020-09-22","NV","A+",1546,,15,,,,441,0,,140,592776,2020,,,,,75,,76298,76298,262,0,,,,,,2052,,0,669074,2282,,,,,668264,2202,991960,3941
"2020-09-21","NV","A+",1531,,0,,,,449,0,,130,590756,1376,,,,,81,,76036,76036,232,0,,,,,,2026,,0,666792,1608,,,,,666062,1583,988019,3352
"2020-09-20","NV","A+",1531,,3,,,,443,0,,127,589380,4113,,,,,89,,75804,75804,385,0,,,,,,2012,,0,665184,4498,,,,,664479,4507,984667,8780
"2020-09-19","NV","A+",1528,,4,,,,443,0,,127,585267,3762,,,,,89,,75419,75419,323,0,,,,,,2012,,0,660686,4085,,,,,659972,4112,975887,8047
"2020-09-18","NV","A+",1524,,18,,,,461,0,,136,581505,3517,,,,,85,,75096,75096,501,0,,,,,,2012,,0,656601,4018,,,,,655860,3960,967840,8001
"2020-09-17","NV","A+",1506,,12,,,,484,0,,150,577988,2703,,,,,98,,74595,74595,347,0,,,,,,1997,,0,652583,3050,,,,,651900,3086,959839,6684
"2020-09-16","NV","A+",1494,,12,,,,488,0,,150,575285,2789,,,,,97,,74248,74248,208,0,,,,,,1980,,0,649533,2997,,,,,648814,3011,953155,4971
"2020-09-15","NV","A+",1482,,26,,,,483,0,,154,572496,1439,,,,,98,,74040,74040,226,0,,,,,,1973,,0,646536,1665,,,,,645803,1468,948184,2538
"2020-09-14","NV","A+",1456,,4,,,,473,0,,158,571057,2519,,,,,99,,73814,73814,277,0,,,,,,1938,,0,644871,2796,,,,,644335,2803,945646,5781
"2020-09-13","NV","A+",1452,,3,,,,476,0,,165,568538,3856,,,,,102,,73537,73537,317,0,,,,,,1930,,0,642075,4173,,,,,641532,4224,939865,7891
"2020-09-12","NV","A+",1449,,10,,,,476,0,,165,564682,4206,,,,,102,,73220,73220,414,0,,,,,,1930,,0,637902,4620,,,,,637308,4640,931974,9494
"2020-09-11","NV","A+",1439,,10,,,,476,0,,165,560476,5703,,,,,102,,72806,72806,260,0,,,,,,1930,,0,633282,5963,,,,,632668,6078,922480,10076
"2020-09-10","NV","A+",1429,,17,,,,519,0,,175,554773,2157,,,,,112,,72546,72546,288,0,,,,,,1937,,0,627319,2445,,,,,626590,2438,912404,4953
"2020-09-09","NV","A+",1412,,19,,,,552,0,,164,552616,668,,,,,110,,72258,72258,154,0,,,,,,1925,,0,624874,822,,,,,624152,757,907451,1926
"2020-09-08","NV","A+",1393,,0,,,,538,0,,170,551948,1273,,,,,107,,72104,72104,137,0,,,,,,1920,,0,624052,1410,,,,,623395,1405,905525,2724
"2020-09-07","NV","A+",1393,,4,,,,597,0,,184,550675,2803,,,,,114,,71967,71967,357,0,,,,,,1853,,0,622642,3160,,,,,621990,3140,902801,6485
"2020-09-06","NV","A+",1389,,1,,,,597,0,,184,547872,5970,,,,,114,,71610,71610,508,0,,,,,,1853,,0,619482,6478,,,,,618850,6445,896316,10932
"2020-09-05","NV","A+",1388,,13,,,,597,0,,184,541902,3799,,,,,114,,71102,71102,390,0,,,,,,1853,,0,613004,4189,,,,,612405,4224,885384,10092
"2020-09-04","NV","A+",1375,,12,,,,611,0,,178,538103,3058,,,,,112,,70712,70712,489,0,,,,,,1853,,0,608815,3547,,,,,608181,3489,875292,7264
"2020-09-03","NV","A+",1363,,27,,,,631,0,,187,535045,2609,,,,,117,,70223,70223,351,0,,,,,,1817,,0,605268,2960,,,,,604692,2952,868028,5774
"2020-09-02","NV","A+",1336,,23,,,,675,0,,199,532436,1720,,,,,113,,69872,69872,239,0,,,,,,1817,,0,602308,1959,,,,,601740,1928,862254,3079
"2020-09-01","NV","A+",1313,,8,,,,643,0,,193,530716,2023,,,,,119,,69633,69633,405,0,,,,,,1798,,0,600349,2428,,,,,599812,2304,859175,4390
"2020-08-31","NV","A+",1305,,3,,,,664,0,,196,528693,1916,,,,,106,,69228,69228,320,0,,,,,,1773,,0,597921,2236,,,,,597508,2235,854785,4250
"2020-08-30","NV","A+",1302,,0,,,,675,0,,182,526777,2717,,,,,102,,68908,68908,447,0,,,,,,1725,,0,595685,3164,,,,,595273,3158,850535,6144
"2020-08-29","NV","A+",1302,,15,,,,675,0,,182,524060,3361,,,,,102,,68461,68461,609,0,,,,,,1725,,0,592521,3970,,,,,592115,3814,844391,7334
"2020-08-28","NV","A+",1287,,16,,,,707,0,,197,520699,3687,,,,,108,,67852,67852,632,0,,,,,,1725,,0,588551,4319,,,,,588301,4294,837057,8126
"2020-08-27","NV","A+",1271,,21,,,,727,0,,207,517012,2523,,,,,110,,67220,67220,554,0,,,,,,1718,,0,584232,3077,,,,,584007,3011,828931,5742
"2020-08-26","NV","A+",1250,,20,,,,761,0,,211,514489,1620,,,,,118,,66666,66666,253,0,,,,,,1705,,0,581155,1873,,,,,580996,1820,823189,3407
"2020-08-25","NV","A+",1230,,30,,,,772,0,,216,512869,2202,,,,,122,,66413,66413,403,0,,,,,,1672,,0,579282,2605,,,,,579176,2555,819782,4989
"2020-08-24","NV","A+",1200,,3,,,,771,0,,229,510667,2039,,,,,126,,66010,66010,409,0,,,,,,1611,,0,576677,2448,,,,,576621,2502,814793,5110
"2020-08-23","NV","A+",1197,,0,,,,825,0,,247,508628,3571,,,,,138,,65601,65601,532,0,,,,,,1599,,0,574229,4103,,,,,574119,4159,809683,7664
"2020-08-22","NV","A+",1197,,12,,,,825,0,,247,505057,3179,,,,,138,,65069,65069,636,0,,,,,,1599,,0,570126,3815,,,,,569960,3724,802019,6755
"2020-08-21","NV","A+",1185,,13,,,,807,0,,246,501878,4499,,,,,140,,64433,64433,849,0,,,,,,1599,,0,566311,5348,,,,,566236,5255,795264,8920
"2020-08-20","NV","A+",1172,,38,,,,874,0,,263,497379,3881,,,,,152,,63584,63584,556,0,,,,,,1567,,0,560963,4437,,,,,560981,4545,786344,17046
"2020-08-19","NV","A+",1134,,32,,,,867,0,,262,493498,2209,,,,,160,,63028,63028,389,0,,,,,,1540,,0,556526,2598,,,,,556436,2528,769298,6584
"2020-08-18","NV","A+",1102,,25,,,,903,0,,267,491289,1833,,,,,165,,62639,62639,672,0,,,,,,1518,,0,553928,2505,,,,,553908,2138,762714,3602
"2020-08-17","NV","A+",1077,,5,,,,869,0,,256,489456,3298,,,,,150,,61967,61967,662,0,,,,,,1498,,0,551423,3960,,,,,551770,4024,759112,7047
"2020-08-16","NV","A+",1072,,3,,,,941,0,,258,486158,3916,,,,,166,,61305,61305,697,0,,,,,,1423,,0,547463,4613,,,,,547746,9544,752065,8194
"2020-08-15","NV","A+",1069,,24,,,,941,0,,258,482242,3787,,,,,166,,60608,60608,859,0,,,,,,1423,,0,542850,4646,,,,,538202,0,743871,7980
"2020-08-14","NV","A+",1045,,15,,,,948,0,,260,478455,3961,,,,,166,,59749,59749,1099,0,,,,,,1423,,0,538204,5060,,,,,538202,4921,735891,8608
"2020-08-13","NV","A+",1030,,34,,,,982,0,,260,474494,5007,,,,,174,,58650,58650,602,0,,,,,,1393,,0,533144,5609,,,,,533281,5780,727283,9977
