"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","NH","B",455,,0,,750,750,21,0,238,,283359,0,,,,,,,9092,9092,0,0,,,,,,7945,,0,493109,0,32299,,31503,,292451,0,493109,0
"2020-10-10","NH","B",455,,6,,750,750,21,3,238,,283359,4609,,,,,,,9092,9092,214,0,,,,,,7945,,0,493109,10991,32299,,31503,,292451,4823,493109,10991
"2020-10-09","NH","B",449,,0,,747,747,14,0,238,,278750,0,,,,,,,8878,8878,0,0,,,,,,7898,,0,482118,0,32172,,31384,,287628,0,482118,0
"2020-10-08","NH","B",449,,1,,747,747,14,2,238,,278750,2422,,,,,,,8878,8878,78,0,,,,,,7898,,0,482118,5604,32172,,31384,,287628,2500,482118,5604
"2020-10-07","NH","B",448,,2,,745,745,18,2,236,,276328,1588,,,,,,,8800,8800,69,0,,,,,,7845,,0,476514,7122,32113,,31327,,285128,1657,476514,7122
"2020-10-06","NH","B",446,,2,,743,743,20,0,236,,274740,1761,,,,,,,8731,8731,51,0,,,,,,7785,,0,469392,3514,32059,,31302,,283471,812,469392,3514
"2020-10-05","NH","B",444,,1,,743,743,22,0,236,,272979,2012,,,,,,,8680,8680,35,0,,,,,,7746,,0,465878,0,32043,,31281,,282659,3095,465878,0
"2020-10-04","NH","B",443,,1,,743,743,23,0,236,,270967,0,,,,,,,8645,8645,48,0,,,,,,7710,,0,465878,4829,32043,,31231,,279564,0,465878,4829
"2020-10-03","NH","B",442,,0,,743,743,17,0,235,,270967,1632,,,,,,,8597,8597,63,0,,,,,,7655,,0,461049,5180,32000,,31231,,279564,1695,461049,5180
"2020-10-02","NH","B",442,,1,,743,743,20,5,234,,269335,1818,,,,,,,8534,8534,217,0,,,,,,7636,,0,455869,5055,31955,,31192,,277869,2035,455869,5055
"2020-10-01","NH","B",441,,2,,738,738,15,0,234,,267517,2070,,,,,,,8317,8317,51,0,,,,,,7534,,0,450814,5339,31913,,31156,,275834,2121,450814,5339
"2020-09-30","NH","B",439,,0,,738,738,14,0,234,,265447,3476,,,,,,,8266,8266,33,0,,,,,,7522,,0,445475,6503,31863,,31108,,273713,3509,445475,6503
"2020-09-29","NH","B",439,,0,,738,738,13,1,234,,261971,812,,,,,,,8233,8233,25,0,,,,,,7463,,0,438972,6576,31793,,31078,,270204,837,438972,6576
"2020-09-28","NH","B",439,,0,,737,737,16,1,233,,261159,1845,,,,,,,8208,8208,36,0,,,,,,7430,,0,432396,0,31777,,31046,,269367,1881,432396,0
"2020-09-27","NH","B",439,,0,,736,736,20,2,233,,259314,2057,,,,,,,8172,8172,51,0,,,,,,7403,,0,432396,9805,31777,,31030,,267486,2108,432396,9805
"2020-09-26","NH","B",439,,1,,734,734,18,2,232,,257257,18150,,,,,,,8121,8121,77,0,,,,,,7379,,0,422591,4902,31666,,30983,,265378,18227,422591,4902
"2020-09-25","NH","B",438,,0,,732,732,16,0,233,,239107,0,,,,,,,8044,8044,0,0,,,,,,7325,,0,417689,0,31620,,30901,,247151,0,417689,0
"2020-09-24","NH","B",438,,0,,732,732,16,4,233,,239107,2625,,,,,,,8044,8044,37,0,,,,,,7325,,0,417689,4298,31620,,30901,,247151,2662,417689,4298
