"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","NM","B",907,,5,,3704,3704,130,26,,,956930,9118,,,,,,,32722,32722,481,0,,,,,,18621,,0,989652,9599,,,,,,0,989652,9599
"2020-10-10","NM","B",902,,3,,3678,3678,133,26,,,947812,5623,,,,,,,32241,32241,485,0,,,,,,18335,,0,980053,6108,,,,,,0,980053,6108
"2020-10-09","NM","B",899,,3,,3652,3652,119,27,,,942189,8242,,,,,,,31756,31756,384,0,,,,,,18045,,0,973945,8626,,,,,,0,973945,8626
"2020-10-08","NM","B",896,,2,,3625,3625,109,16,,,933947,3960,,,,,,,31372,31372,425,0,,,,,,17766,,0,965319,4385,,,,,,0,965319,4385
"2020-10-07","NM","B",894,,0,,3609,3609,110,28,,,929987,6023,,,,,,,30947,30947,315,0,,,,,,17489,,0,960934,6338,,,,,,0,960934,6338
"2020-10-06","NM","C",894,,2,,3581,3581,97,20,,,923964,6496,,,,,,,30632,30632,155,0,,,,,,17330,,0,954596,6651,,,,,,0,954596,6651
"2020-10-05","NM","C",892,,2,,3561,3561,91,12,,,917468,6252,,,,,,,30477,30477,181,0,,,,,,17270,,0,947945,6433,,,,,,0,947945,6433
"2020-10-04","NM","C",890,,3,,3549,3549,95,15,,,911216,5815,,,,,,,30296,30296,296,0,,,,,,17210,,0,941512,6111,,,,,,0,941512,6111
"2020-10-03","NM","C",887,,5,,3534,3534,89,16,,,905401,6673,,,,,,,30000,30000,339,0,,,,,,17055,,0,935401,7012,,,,,,0,935401,7012
"2020-10-02","NM","C",882,,5,,3518,3518,86,23,,,898728,7154,,,,,,,29661,29661,226,0,,,,,,16926,,0,928389,7380,,,,,,0,928389,7380
"2020-10-01","NM","C",877,,2,,3495,3495,85,20,,,891574,5745,,,,,,,29435,29435,278,0,,,,,,16671,,0,921009,6023,,,,,,0,921009,6023
"2020-09-30","NM","C",875,,2,,3475,3475,80,12,,,885829,5309,,,,,,,29157,29157,172,0,,,,,,16565,,0,914986,5481,,,,,,0,914986,5481
"2020-09-29","NM","C",873,,3,,3463,3463,76,20,,,880520,4035,,,,,,,28985,28985,141,0,,,,,,16422,,0,909505,4176,,,,,,0,909505,4176
"2020-09-28","NM","C",870,,0,,3443,3443,66,8,,,876485,5240,,,,,,,28844,28844,152,0,,,,,,16301,,0,905329,5392,,,,,,0,905329,5392
"2020-09-27","NM","C",870,,5,,3435,3435,72,15,,,871245,6243,,,,,,,28692,28692,205,0,,,,,,16211,,0,899937,6448,,,,,,0,899937,6448
"2020-09-26","NM","C",865,,6,,3420,3420,75,18,,,865002,7853,,,,,,,28487,28487,263,0,,,,,,16020,,0,893489,8116,,,,,,0,893489,8116
"2020-09-25","NM","C",859,,2,,3402,3402,66,14,,,857149,6730,,,,,,,28224,28224,237,0,,,,,,15825,,0,885373,6967,,,,,,0,885373,6967
"2020-09-24","NM","C",857,,3,,3388,3388,72,17,,,850419,5878,,,,,,,27987,27987,197,0,,,,,,15669,,0,878406,6075,,,,,,0,878406,6075
