"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","ND","B",234,230,0,4,1076,1076,231,14,249,46,231771,1213,9655,,,,,,27265,27265,637,0,485,,,,,22500,685711,7514,685711,7514,10140,,,,259036,1850,712136,7862
"2020-10-10","ND","B",234,230,0,4,1062,1062,219,25,248,42,230558,1402,9655,,,,,,26628,26628,588,0,485,,,,,22123,678197,8158,678197,8158,10140,,,,257186,1990,704274,8653
"2020-10-09","ND","B",234,230,0,4,1037,1037,202,21,245,39,229156,1133,9655,,,,,,26040,26040,656,0,485,,,,,21755,670039,8833,670039,8833,10140,,,,255196,1789,695621,9157
"2020-10-08","ND","B",234,230,8,4,1016,1016,214,21,238,40,228023,1207,9655,,,,,,25384,25384,527,0,485,,,,,21242,661206,6558,661206,6558,10140,,,,253407,1734,686464,6900
"2020-10-07","ND","B",226,222,9,4,995,995,116,27,235,27,226816,1093,9639,,,,,,24857,24857,493,0,485,,,,,20847,654648,6242,654648,6242,10124,,,,251673,1586,679564,6561
"2020-10-06","ND","B",217,213,26,4,968,968,116,29,233,27,225723,933,9487,,,,,,24364,24364,502,0,471,,,,,20392,648406,5737,648406,5737,9958,,,,250087,1435,673003,6072
"2020-10-05","ND","B",191,188,0,3,939,939,112,14,226,24,224790,748,9487,,,,,,23862,23862,312,0,471,,,,,19892,642669,4349,642669,4349,9958,,,,248652,1060,666931,4647
"2020-10-04","ND","B",191,188,0,3,925,925,100,13,222,21,224042,1170,9487,,,,,,23550,23550,416,0,470,,,,,19497,638320,6021,638320,6021,9957,,,,247592,1586,662284,6310
"2020-10-03","ND","B",191,188,0,3,912,912,100,10,220,22,222872,1254,9287,,,,,,23134,23134,440,0,444,,,,,19079,632299,5849,632299,5849,9731,,,,246006,1694,655974,6089
"2020-10-02","ND","B",191,188,0,3,902,902,111,18,217,21,221618,936,9287,,,,,,22694,22694,476,0,444,,,,,18691,626450,7119,626450,7119,9731,,,,244312,1412,649885,7432
"2020-10-01","ND","B",191,188,0,3,884,884,106,25,214,22,220682,1036,9151,,,,,,22218,22218,372,0,427,,,,,18272,619331,5844,619331,5844,9578,,,,242900,1416,642453,6079
"2020-09-30","ND","B",191,188,6,3,859,859,89,11,210,18,219646,1199,9151,,,,,,21846,21846,445,0,427,,,,,17938,613487,5102,613487,5102,9578,,,,241484,1635,636374,5333
"2020-09-29","ND","B",185,182,8,3,848,848,105,20,204,16,218447,693,8951,,,,,,21401,21401,418,0,424,,,,,17511,608385,4463,608385,4463,9375,,,,239849,1112,631041,4752
"2020-09-28","ND","B",177,174,21,3,828,828,105,13,201,18,217754,860,8935,,,,,,20983,20983,259,0,422,,,,,17080,603922,3855,603922,3855,9357,,,,238737,1119,626289,3981
"2020-09-27","ND","B",156,153,0,3,815,815,96,6,201,18,216894,1045,8923,,,,,,20724,20724,344,0,421,,,,,16727,600067,5439,600067,5439,9344,,,,237618,1389,622308,5666
"2020-09-26","ND","B",156,153,0,3,809,809,104,20,201,22,215849,1100,8923,,,,,,20380,20380,495,0,421,,,,,16481,594628,7064,594628,7064,9344,,,,236229,1595,616642,7621
"2020-09-25","ND","B",156,153,0,3,789,789,89,12,200,25,214749,1087,8895,,,,,,19885,19885,434,0,417,,,,,16104,587564,5460,587564,5460,9312,,,,234634,1521,609021,5814
"2020-09-24","ND","B",156,153,0,3,777,777,89,14,194,26,213662,791,8847,,,,,,19451,19451,470,0,412,,,,,15757,582104,6625,582104,6625,9259,,,,233113,1261,603207,7026
"2020-09-23","ND","B",156,153,0,3,763,763,89,11,192,25,212871,1309,8847,,,,,,18981,18981,473,0,412,,,,,15476,575479,6939,575479,6939,9259,,,,231852,1782,596181,7430
"2020-09-22","ND","B",156,153,5,3,752,752,92,22,192,26,211562,295,8833,,,,,,18508,18508,264,0,407,,,,,15220,568540,2697,568540,2697,9240,,,,230070,559,588751,2781
"2020-09-21","ND","B",151,148,9,3,730,730,87,7,186,23,211267,970,8800,,,,,,18244,18244,286,0,403,,,,,14841,565843,3244,565843,3244,9203,,,,229511,1256,585970,3341
"2020-09-20","ND","B",142,139,0,3,723,723,81,7,185,22,210297,1402,8764,,,,,,17958,17958,351,0,400,,,,,14558,562599,5737,562599,5737,9164,,,,228255,1753,582629,5957
"2020-09-19","ND","B",142,139,0,3,716,716,78,11,184,22,208895,932,8764,,,,,,17607,17607,377,0,400,,,,,14319,556862,6538,556862,6538,9164,,,,226502,1309,576672,6759
"2020-09-18","ND","B",142,139,0,3,705,705,77,14,183,24,207963,1516,8764,,,,,,17230,17230,507,0,400,,,,,14060,550324,9699,550324,9699,9164,,,,225193,2023,569913,9990
"2020-09-17","ND","B",142,139,1,3,691,691,69,17,181,24,206447,723,8651,,,,,,16723,16723,390,0,377,,,,,13828,540625,6402,540625,6402,9028,,,,223170,1113,559923,6760
"2020-09-16","ND","B",141,138,6,3,674,674,62,17,176,20,205724,1143,8651,,,,,,16333,16333,269,0,377,,,,,13628,534223,5021,534223,5021,9028,,,,222057,1412,553163,5218
"2020-09-15","ND","A",135,132,1,3,657,657,62,11,171,18,204581,182,8651,,,,,,16064,16064,233,0,377,,,,,13328,529202,1667,529202,1667,9028,,,,220645,415,547945,1818
"2020-09-14","ND","A",134,131,1,3,646,646,65,3,171,19,204399,1370,8651,,,,,,15831,15831,254,0,377,,,,,12903,527535,3965,527535,3965,9028,,,,220230,1624,546127,4277
"2020-09-13","ND","A",133,130,0,3,643,643,62,9,170,18,203029,1599,8650,,,,,,15577,15577,426,0,376,,,,,12655,523570,8150,523570,8150,9026,,,,218606,2025,541850,8510
"2020-09-12","ND","A",133,130,0,3,634,634,56,4,169,18,201430,1038,8647,,,,,,15151,15151,467,0,373,,,,,12450,515420,9022,515420,9022,9020,,,,216581,1505,533340,9557
"2020-09-11","ND","A",133,130,2,3,630,630,64,6,169,22,200392,543,8611,,,,,,14684,14684,241,0,367,,,,,12177,506398,5474,506398,5474,8978,,,,215076,784,523783,5693
"2020-09-10","ND","A",131,128,2,3,624,624,62,13,165,21,199849,1000,8611,,,,,,14443,14443,333,0,367,,,,,11930,500924,6155,500924,6155,8978,,,,214292,1333,518090,6360
"2020-09-09","ND","A",129,125,0,4,611,611,53,7,163,18,198849,592,8559,,,,,,14110,14110,238,0,359,,,,,11733,494769,3027,494769,3027,8918,,,,212959,830,511730,3175
"2020-09-08","ND","A",129,125,4,4,604,604,63,2,162,19,198257,160,8559,,,,,,13872,13872,75,0,359,,,,,11452,491742,1374,491742,1374,8918,,,,212129,454,508555,1431
"2020-09-07","ND","A",125,121,0,4,602,602,68,4,162,19,198097,729,8554,,,,,,13797,13797,171,0,359,,,,,11080,490368,2082,490368,2082,8913,,,,211675,918,507124,2339
"2020-09-06","ND","A",125,121,0,4,598,598,64,2,161,18,197368,1203,8554,,,,,,13626,13626,299,0,359,,,,,10821,488286,4462,488286,4462,8913,,,,210757,1544,504785,4653
"2020-09-05","ND","A",125,121,0,4,596,596,67,6,159,18,196165,1382,8545,,,,,,13327,13327,356,0,359,,,,,10640,483824,7031,483824,7031,8904,,,,209213,1956,500132,7334
"2020-09-04","ND","A",125,121,1,4,590,590,67,7,158,17,194783,1513,8517,,,,,,12971,12971,342,0,355,,,,,10310,476793,6370,476793,6370,8872,,,,207257,2053,492798,6717
"2020-09-03","ND","A",124,120,2,4,583,583,51,8,156,16,193270,1440,8330,,,,,,12629,12629,359,0,348,,,,,10051,470423,6312,470423,6312,8678,,,,205204,1975,486081,6544
"2020-09-02","ND","A",122,118,0,4,575,575,66,11,153,16,191830,1412,8313,,,,,,12270,12270,266,0,342,,,,,9834,464111,5525,464111,5525,8655,,,,203229,1872,479537,5788
"2020-09-01","ND","A",122,118,4,4,564,564,62,10,152,15,190418,473,8278,,,,,,12004,12004,194,0,338,,,,,9610,458586,2396,458586,2396,8616,,,,201357,901,473749,2496
"2020-08-31","ND","A",118,114,0,4,554,554,68,0,149,17,189945,1682,8245,,,,,,11810,11810,114,0,335,,,,,9295,456190,1781,456190,1781,8580,,,,200456,734,471253,1920
"2020-08-30","ND","A",118,114,0,4,554,554,68,3,147,17,188263,0,8231,,,,,,11696,11696,221,0,334,,,,,9079,454409,3551,454409,3551,8565,,,,199722,1401,469333,3660
"2020-08-29","ND","A",118,114,0,4,551,551,65,1,147,17,188263,1377,8231,,,,,,11475,11475,373,0,334,,,,,9018,450858,7678,450858,7678,8565,,,,198321,1932,465673,7901
"2020-08-28","ND","A",118,114,0,4,550,550,70,16,144,17,186886,1127,8011,,,,,,11102,11102,312,0,318,,,,,8808,443180,7514,443180,7514,8329,,,,196389,1730,457772,7878
"2020-08-27","ND","A",118,114,1,4,534,534,61,9,142,17,185759,1108,8011,,,,,,10790,10790,333,0,318,,,,,8666,435666,6614,435666,6614,8329,,,,194659,1559,449894,6965
"2020-08-26","ND","A",117,113,2,4,525,525,53,6,142,17,184651,1281,8011,,,,,,10457,10457,234,0,318,,,,,8545,429052,4260,429052,4260,8329,,,,193100,1642,442929,4443
"2020-08-25","ND","B",115,111,3,4,519,519,50,14,140,16,183370,1352,7976,,,,,,10223,10223,234,0,314,,,,,8410,424792,3087,424792,3087,8290,,,,191458,1643,438486,3178
"2020-08-24","ND","B",112,108,0,4,505,505,51,4,141,16,182018,1009,7910,,,,,,9989,9989,126,0,308,,,,,8206,421705,2396,421705,2396,8218,,,,189815,1198,435308,2586
"2020-08-23","ND","B",112,108,0,4,501,501,52,2,141,17,181009,1707,7895,,,,,,9863,9863,139,0,308,,,,,8064,419309,4402,419309,4402,8203,,,,188617,1802,432722,4494
"2020-08-22","ND","B",112,108,0,4,499,499,53,8,140,16,179302,1764,7870,,,,,,9724,9724,256,0,305,,,,,7968,414907,6623,414907,6623,8175,,,,186815,2177,428228,6870
"2020-08-21","ND","B",112,108,0,4,491,491,54,13,139,15,177538,1993,7870,,,,,,9468,9468,231,0,305,,,,,7841,408284,6527,408284,6527,8175,,,,184638,1994,421358,6855
"2020-08-20","ND","B",112,108,2,4,478,478,45,0,136,15,175545,1987,7836,,,,,,9237,9237,274,0,300,,,,,7718,401757,7454,401757,7454,8136,,,,182644,2264,414503,7729
"2020-08-19","ND","C",110,106,1,4,478,478,49,9,136,15,173558,1412,7805,,,,,,8963,8963,188,0,300,,,,,7629,394303,4685,394303,4685,8105,,,,180380,1549,406774,4865
"2020-08-18","ND","C",109,105,4,4,469,469,47,8,,,172146,374,7767,,,,,,8775,8775,134,0,298,,,,,7485,389618,1784,389618,1784,8065,,,,178831,818,401909,1874
"2020-08-17","ND","C",105,101,0,4,461,461,55,2,,,171772,559,7734,,,,,,8641,8641,59,0,293,,,,,7343,387834,2603,387834,2603,8027,,,,178013,787,400035,2700
"2020-08-16","ND","C",105,101,0,4,459,459,54,2,,,171213,1512,7723,,,,,,8582,8582,143,0,293,,,,,7249,385231,5415,385231,5415,8016,,,,177226,1623,397335,5585
"2020-08-15","ND","C",105,101,0,4,457,457,55,2,,,169701,1420,7714,,,,,,8439,8439,123,0,293,,,,,7161,379816,6266,379816,6266,8007,,,,175603,1516,391750,6479
"2020-08-14","ND","C",105,101,0,4,455,455,65,10,,,168281,1412,7683,,,,,,8316,8316,152,0,292,,,,,7066,373550,5241,373550,5241,7975,,,,174087,1517,385271,5403
"2020-08-13","ND","C",105,101,1,4,445,445,59,5,,,166869,1820,7614,,,,,,8164,8164,200,0,282,,,,,6953,368309,6758,368309,6758,7896,,,,172570,1963,379868,7074
"2020-08-12","ND","C",104,100,2,4,440,440,58,10,,,165049,1076,7516,,,,,,7964,7964,87,0,277,,,,,6815,361551,4118,361551,4118,7793,,,,170607,1276,372794,4268
"2020-08-11","ND","C",102,98,1,4,430,430,55,13,,,163973,1847,7470,,,,,,7877,7877,171,0,275,,,,,6668,357433,5454,357433,5454,7745,,,,169331,1976,368526,5766
"2020-08-10","ND","C",101,97,3,4,417,417,48,2,,,162126,1050,7403,,,,,,7706,7706,117,0,272,,,,,6434,351979,4463,351979,4463,7675,,,,167355,1161,362760,4582
"2020-08-09","ND","C",98,94,0,4,415,415,47,1,,,161076,1217,7391,,,,,,7589,7589,91,0,272,,,,,6355,347516,5438,347516,5438,7663,,,,166194,1231,358178,5648
"2020-08-08","ND","C",98,94,0,4,414,414,49,6,,,159859,1485,7382,,,,,,7498,7498,180,0,272,,,,,6268,342078,5577,342078,5577,7654,,,,164963,1890,352530,5873
"2020-08-07","ND","C",98,94,0,4,408,408,48,8,,,158374,1832,7337,,,,,,7318,7318,149,0,272,,,,,6164,336501,5497,336501,5497,7609,,,,163073,2054,346657,5724
"2020-08-06","ND","C",98,94,2,4,400,400,46,6,,,156542,1585,7290,,,,,,7169,7169,122,0,271,,,,,5949,331004,5178,331004,5178,7561,,,,161019,1454,340933,5342
"2020-08-05","ND","C",96,92,0,4,394,394,42,5,,,154957,1420,7226,,,,,,7047,7047,122,0,268,,,,,5837,325826,5431,325826,5431,7494,,,,159565,1557,335591,5723
"2020-08-04","ND","C",96,92,1,4,389,389,51,10,,,153537,1571,7191,,,,,,6925,6925,149,0,266,,,,,5715,320395,4685,320395,4685,7457,,,,158008,1778,329868,4904
"2020-08-03","ND","C",95,91,0,4,379,379,46,8,,,151966,2383,7136,,,,,,6776,6776,127,0,263,,,,,5590,315710,4558,315710,4558,7399,,,,156230,1725,324964,4727
"2020-08-02","ND","C",95,91,0,4,371,371,45,0,,,149583,0,7112,,,,,,6649,6649,56,0,262,,,,,5396,311152,3828,311152,3828,7374,,,,154505,795,320237,3962
