"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,77,77,0,0,,,,,,29,,0,15198,0,,,,,15196,0,19835,0
"2020-10-10","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,77,77,2,0,,,,,,29,,0,15198,2,,,,,15196,0,19835,-874
"2020-10-09","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,75,75,0,0,,,,,,29,,0,15196,0,,,,,15196,0,20709,0
"2020-10-08","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,75,75,0,0,,,,,,29,,0,15196,0,,,,,15196,0,20709,0
"2020-10-07","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,75,75,0,0,,,,,,29,,0,15196,0,,,,,15196,0,20709,0
"2020-10-06","MP","D",2,2,0,,4,4,,0,,,15121,0,,,,,,,75,75,0,0,,,,,,29,,0,15196,0,,,,,15196,0,20709,0
"2020-10-05","MP","D",2,2,0,,4,4,,0,,,15121,9,,,,,,,75,75,2,0,,,,,,29,,0,15196,11,,,,,15196,14,20709,290
"2020-10-04","MP","D",2,2,0,,4,4,,0,,,15112,0,,,,,,,73,73,0,0,,,,,,29,,0,15185,0,,,,,15182,0,20419,0
"2020-10-03","MP","D",2,2,0,,4,4,,0,,,15112,0,,,,,,,73,73,0,0,,,,,,29,,0,15185,0,,,,,15182,0,20419,0
"2020-10-02","MP","D",2,2,0,,4,4,,0,,,15112,0,,,,,,,73,73,3,0,,,,,,29,,0,15185,3,,,,,15182,0,20419,0
"2020-10-01","MP","D",2,2,0,,4,4,,0,,,15112,0,,,,,,,70,70,0,0,,,,,,29,,0,15182,0,,,,,15182,0,20419,0
"2020-09-30","MP","D",2,2,0,,4,4,,0,,,15112,336,,,,,,,70,70,0,0,,,,,,29,,0,15182,336,,,,,15182,337,20419,584
"2020-09-29","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,70,70,0,0,,,,,,29,,0,14846,0,,,,,14845,0,19835,0
"2020-09-28","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,70,70,0,0,,,,,,29,,0,14846,0,,,,,14845,0,19835,0
"2020-09-27","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,70,70,1,0,,,,,,29,,0,14846,1,,,,,14845,0,19835,0
"2020-09-26","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,69,69,0,0,,,,,,29,,0,14845,0,,,,,14845,0,19835,0
"2020-09-25","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,69,69,0,0,,,,,,29,,0,14845,0,,,,,14845,0,19835,0
"2020-09-24","MP","D",2,2,0,,4,4,,0,,,14776,0,,,,,,,69,69,0,0,,,,,,29,,0,14845,0,,,,,14845,0,19835,0
"2020-09-23","MP","D",2,2,0,,4,4,,0,,,14776,460,,,,,,,69,69,0,0,,,,,,29,,0,14845,460,,,,,14845,470,19835,920
"2020-09-22","MP","D",2,2,0,,4,4,,0,,,14316,0,,,,,,,69,69,0,0,,,,,,29,,0,14385,0,,,,,14375,0,18915,0
