"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","OR","A+",599,,0,,2741,2741,212,0,,49,703971,4308,,,703971,,18,,37262,34685,327,0,,,,,,5870,,0,741233,4635,,,,,728830,0,,0
"2020-10-10","OR","A+",599,,2,,2741,2741,212,0,,49,699663,5518,,,699663,,18,,36935,34685,409,0,,,,,,5870,,0,736598,5927,,,,,728830,0,,0
"2020-10-09","OR","A+",597,,3,,2741,2741,212,14,,49,694145,5883,,,694145,,18,,36526,34685,410,0,,,,,,5870,,0,730671,6293,,,,,728830,6268,,0
"2020-10-08","OR","A+",594,,11,,2727,2727,197,22,,39,688262,5328,,,688262,,14,,36116,34300,482,0,,,,,,5870,,0,724378,5810,,,,,722562,5785,,0
"2020-10-07","OR","A+",583,,2,,2705,2705,197,25,,39,682934,4876,,,682934,,14,,35634,33843,294,0,,,,,,5870,,0,718568,5170,,,,,716777,5144,,0
"2020-10-06","OR","A+",581,,9,,2680,2680,178,23,,55,678058,4095,,,678058,,18,,35340,33575,291,0,,,,,,5870,,0,713398,4386,,,,,711633,4341,,0
"2020-10-05","OR","A+",572,,0,,2657,2657,184,39,,43,673963,3297,,,673963,,18,,35049,33329,279,0,,,,,,5826,,0,709012,3576,,,,,707292,11676,,0
"2020-10-04","OR","A+",572,,1,,2618,2618,176,0,,48,670666,3274,,,670666,,17,,34770,32486,259,0,,,,,,5752,,0,705436,3533,,,,,695616,0,,0
"2020-10-03","OR","A+",571,,8,,2618,2618,176,0,,48,667392,4262,,,667392,,17,,34511,32486,348,0,,,,,,5752,,0,701903,4610,,,,,695616,0,,0
"2020-10-02","OR","A+",563,,3,,2618,2618,176,5,,48,663130,5047,,,663130,,17,,34163,32486,301,0,,,,,,5738,,0,697293,5348,,,,,695616,5332,,0
"2020-10-01","OR","A+",560,,1,,2613,2613,179,15,,49,658083,5719,,,658083,,18,,33862,32201,353,0,,,,,,5738,,0,691945,6072,,,,,690284,6049,,0
"2020-09-30","OR","A+",559,,4,,2598,2598,170,40,,48,652364,6272,,,652364,,14,,33509,31871,218,0,,,,,,5720,,0,685873,6490,,,,,684235,6465,,0
"2020-09-29","OR","A+",555,,8,,2558,2558,173,20,,53,646092,4057,,,646092,,17,,33291,31678,297,0,,,,,,5538,,0,679383,4354,,,,,677770,4345,,0
"2020-09-28","OR","A+",547,,0,,2538,2538,191,42,,44,642035,3365,,,642035,,19,,32994,31390,174,0,,,,,,5490,,0,675029,3539,,,,,673425,12091,,0
"2020-09-27","OR","A+",547,,1,,2496,2496,199,0,,40,638670,2580,,,638670,,14,,32820,30742,239,0,,,,,,5490,,0,671490,2819,,,,,661334,0,,0
"2020-09-26","OR","A+",546,,4,,2496,2496,199,0,,40,636090,5498,,,636090,,14,,32581,30742,267,0,,,,,,5490,,0,668671,5765,,,,,661334,0,,0
"2020-09-25","OR","A+",542,,3,,2496,2496,199,28,,40,630592,11959,,,630592,,14,,32314,30742,449,0,,,,,,5490,,0,662906,12408,,,,,661334,12385,,0
"2020-09-24","OR","A+",539,,1,,2468,2468,187,30,,40,618633,4011,,,618633,,16,,31865,30316,362,0,,,,,,5484,,0,650498,4373,,,,,648949,4379,,0
"2020-09-23","OR","A+",538,,6,,2438,2438,188,19,,45,614622,3354,,,614622,,16,,31503,29948,190,0,,,,,,5475,,0,646125,3544,,,,,644570,3522,,0
"2020-09-22","OR","A+",532,,3,,2419,2419,182,24,,42,611268,3465,,,611268,,17,,31313,29780,318,0,,,,,,5431,,0,642581,3783,,,,,641048,3764,,0
"2020-09-21","OR","A+",529,,3,,2395,2395,169,39,,34,607803,2535,,,607803,,13,,30995,29481,194,0,,,,,,5431,,0,638798,2729,,,,,637284,9333,,0
"2020-09-20","OR","A+",526,,1,,2356,2356,145,0,,32,605268,1957,,,605268,,11,,30801,28871,202,0,,,,,,5391,,0,636069,2159,,,,,627951,0,,0
"2020-09-19","OR","A+",525,,4,,2356,2356,145,0,,32,603311,4231,,,603311,,11,,30599,28871,257,0,,,,,,5391,,0,633910,4488,,,,,627951,0,,0
"2020-09-18","OR","A+",521,,0,,2356,2356,145,15,,32,599080,3506,,,599080,,11,,30342,28871,492,0,,,,,,5376,,0,629422,3998,,,,,627951,3787,,0
"2020-09-17","OR","A+",521,,0,,2341,2341,144,22,,32,595574,4151,,,595574,,11,,29850,28590,0,0,,,,,,5376,,0,625424,4151,,,,,624164,4342,,0
"2020-09-16","OR","A+",521,,2,,2319,2319,172,27,,39,591423,3021,,,591423,,15,,29850,28399,188,0,,,,,,5365,,0,621273,3209,,,,,619822,3197,,0
"2020-09-15","OR","A+",519,,8,,2292,2292,155,13,,34,588402,3082,,,588402,,11,,29662,28223,178,0,,,,,,5353,,0,618064,3260,,,,,616625,3254,,0
"2020-09-14","OR","A+",511,,2,,2279,2279,135,44,,32,585320,2037,,,585320,,13,,29484,28051,147,0,,,,,,5310,,0,614804,2184,,,,,613371,9037,,0
"2020-09-13","OR","A+",509,,4,,2235,2235,161,0,,43,583283,2335,,,583283,,19,,29337,27460,181,0,,,,,,5310,,0,612620,2516,,,,,604334,0,,0
"2020-09-12","OR","A+",505,,6,,2235,2235,161,0,,43,580948,4074,,,580948,,19,,29156,27460,291,0,,,,,,5310,,0,610104,4365,,,,,604334,0,,0
"2020-09-11","OR","A+",499,,2,,2235,2235,161,13,,43,576874,8540,,,576874,,19,,28865,27460,211,0,,,,,,5310,,0,605739,8751,,,,,604334,8743,,0
"2020-09-10","OR","A+",497,,3,,2222,2222,162,7,,40,568334,2728,,,568334,,20,,28654,27257,183,0,,,,,,5291,,0,596988,2911,,,,,595591,2891,,0
"2020-09-09","OR","A+",494,,8,,2215,2215,147,9,,31,565606,2462,,,565606,,18,,28471,27094,116,0,,,,,,5277,,0,594077,2578,,,,,592700,2568,,0
"2020-09-08","OR","A+",486,,4,,2206,2206,153,45,,44,563144,3168,,,563144,,21,,28355,26988,165,0,,,,,,5252,,0,591499,3333,,,,,590132,14536,,0
"2020-09-07","OR","A+",482,,1,,2161,2161,147,0,,45,559976,2595,,,559976,,23,,28190,26268,146,0,,,,,,5198,,0,588166,2741,,,,,575596,0,,0
"2020-09-06","OR","A+",481,,1,,2161,2161,147,0,,45,557381,5130,,,557381,,23,,28044,26268,188,0,,,,,,5198,,0,585425,5318,,,,,575596,0,,0
"2020-09-05","OR","A+",480,,5,,2161,2161,147,0,,45,552251,2923,,,552251,,23,,27856,26268,255,0,,,,,,5198,,0,580107,3178,,,,,575596,0,,0
"2020-09-04","OR","A+",475,,5,,2161,2161,147,-14,,45,549328,5539,,,549328,,23,,27601,26268,265,0,,,,,,5198,,0,576929,5804,,,,,575596,5792,,0
"2020-09-03","OR","A+",470,,2,,2175,2175,133,8,,43,543789,4482,,,543789,,26,,27336,26015,261,0,,,,,,5144,,0,571125,4743,,,,,569804,4732,,0
"2020-09-02","OR","A+",468,,3,,2167,2167,139,5,,45,539307,4453,,,539307,,22,,27075,25765,129,0,,,,,,5144,,0,566382,4582,,,,,565072,4579,,0
"2020-09-01","OR","A+",465,,6,,2162,2162,132,13,,49,534854,4339,,,534854,,25,,26946,25639,233,0,,,,,,4938,,0,561800,4572,,,,,560493,4575,,0
"2020-08-31","OR","A+",459,,1,,2149,2149,136,41,,43,530515,3724,,,530515,,24,,26713,25403,159,0,,,,,,4884,,0,557228,3883,,,,,555918,13329,,0
"2020-08-30","OR","A+",458,,4,,2108,2108,166,0,,47,526791,4234,,,526791,,22,,26554,24776,261,0,,,,,,4884,,0,553345,4495,,,,,542589,0,,0
"2020-08-29","OR","A+",454,,7,,2108,2108,166,0,,47,522557,4744,,,522557,,22,,26293,24776,239,0,,,,,,4884,,0,548850,4983,,,,,542589,0,,0
"2020-08-28","OR","A+",447,,9,,2108,2108,166,15,,47,517813,4858,,,517813,,22,,26054,24776,293,0,,,,,,4859,,0,543867,5151,,,,,542589,5152,,0
"2020-08-27","OR","A+",438,,5,,2093,2093,171,30,,53,512955,5788,,,512955,,23,,25761,24482,190,0,,,,,,4789,,0,538716,5978,,,,,537437,5981,,0
"2020-08-26","OR","A+",433,,5,,2063,2063,140,25,,48,507167,4549,,,507167,,26,,25571,24289,180,0,,,,,,4747,,0,532738,4729,,,,,531456,4753,,0
"2020-08-25","OR","A+",428,,8,,2038,2038,154,10,,53,502618,4436,,,502618,,27,,25391,24085,236,0,,,,,,4747,,0,528009,4672,,,,,526703,4662,,0
"2020-08-24","OR","A+",420,,3,,2028,2028,143,44,,44,498182,3299,,,498182,,25,,25155,23859,218,0,,,,,,4634,,0,523337,3517,,,,,522041,11985,,0
"2020-08-23","OR","A+",417,,0,,1984,1984,173,0,,47,494883,3129,,,494883,,19,,24937,23156,227,0,,,,,,4589,,0,519820,3356,,,,,510056,0,,0
"2020-08-22","OR","A+",417,,3,,1984,1984,173,0,,47,491754,4854,,,491754,,19,,24710,23156,289,0,,,,,,4589,,0,516464,5143,,,,,510056,0,,0
"2020-08-21","OR","A+",414,,2,,1984,1984,173,5,,47,486900,4698,,,486900,,19,,24421,23156,256,0,,,,,,4566,,0,511321,4954,,,,,510056,4937,,0
"2020-08-20","OR","A+",412,,4,,1979,1979,175,21,,48,482202,4916,,,482202,,21,,24165,22917,295,0,,,,,,4566,,0,506367,5211,,,,,505119,5204,,0
"2020-08-19","OR","A+",408,,11,,1958,1958,203,29,,51,477286,4624,,,477286,,16,,23870,22629,194,0,,,,,,4468,,0,501156,4818,,,,,499915,4801,,0
"2020-08-18","OR","A+",397,,9,,1929,1929,214,16,,54,472662,4896,,,472662,,20,,23676,22452,225,0,,,,,,4468,,0,496338,5121,,,,,495114,5114,,0
"2020-08-17","OR","A+",388,,0,,1913,1913,206,50,,47,467766,2231,,,467766,,19,,23451,22234,189,0,,,,,,4419,,0,491217,2420,,,,,490000,18065,,0
"2020-08-16","OR","A+",388,,2,,1863,1863,224,0,,57,465535,3674,,,465535,,16,,23262,21441,244,0,,,,,,4355,,0,488797,3918,,,,,471935,0,,0
"2020-08-15","OR","A+",386,,1,,1863,1863,224,0,,57,461861,11367,,,461861,,16,,23018,21441,405,0,,,,,,4355,,0,484879,11772,,,,,471935,0,,0
"2020-08-14","OR","A+",385,,2,,1863,1863,224,10,,57,450494,5531,,,450494,,16,,22613,21441,313,0,,,,,,4355,,0,473107,5844,,,,,471935,5831,,0
"2020-08-13","OR","A+",383,,8,,1853,1853,232,8,,57,444963,4443,,,444963,,22,,22300,21141,278,0,,,,,,4282,,0,467263,4721,,,,,466104,4709,,0
"2020-08-12","OR","A+",375,,7,,1845,1845,213,32,,50,440520,5206,,,440520,,17,,22022,20875,248,0,,,,,,4282,,0,462542,5454,,,,,461395,5438,,0
"2020-08-11","OR","A+",368,,11,,1813,1813,234,15,,59,435314,6070,,,435314,,15,,21774,20643,286,0,,,,,,4226,,0,457088,6356,,,,,455957,6328,,0
"2020-08-10","OR","A+",357,,1,,1798,1798,214,40,,58,429244,3479,,,429244,,22,,21488,20385,216,0,,,,,,4226,,0,450732,3695,,,,,449629,13010,,0
"2020-08-09","OR","A+",356,,1,,1758,1758,204,0,,51,425765,8708,,,425765,,18,,21272,19562,262,0,,,,,,4111,,0,447037,8970,,,,,436619,0,,0
"2020-08-08","OR","A+",355,,7,,1758,1758,204,0,,51,417057,0,,,422358,,18,,21010,19562,374,0,,,,,,4111,,0,438067,374,,,,,436619,0,,0
"2020-08-07","OR","A+",348,,9,,1758,1758,204,15,,51,417057,5020,,,417057,,18,,20636,19562,411,0,,,,,,4111,,0,437693,5431,,,,,436619,5420,,0
"2020-08-06","OR","A+",339,,1,,1743,1743,230,17,,58,412037,5214,,,412037,,29,,20225,19162,246,0,,,,,,4065,,0,432262,5460,,,,,431199,5440,,0
"2020-08-05","OR","A+",338,,5,,1726,1726,228,38,,60,406823,6608,,,406823,,25,,19979,18936,280,0,,,,,,4037,,0,426802,6888,,,,,425759,6890,,0
"2020-08-04","OR","A+",333,,5,,1688,1688,219,33,,62,400215,2450,,,400215,,27,,19699,18654,333,0,,,,,,3960,,0,419914,2783,,,,,418869,2749,,0
"2020-08-03","OR","A+",328,,2,,1655,1655,215,48,,62,397765,3205,,,397765,,27,,19366,18355,269,0,,,,,,3960,,0,417131,3474,,,,,416120,12879,,0
"2020-08-02","OR","A+",326,,1,,1607,1607,208,0,,65,394560,3761,,,394560,,32,,19097,17540,280,0,,,,,,3872,,0,413657,4041,,,,,403241,0,,0
"2020-08-01","OR","A+",325,,3,,1607,1607,208,0,,65,390799,5098,,,390799,,32,,18817,17540,325,0,,,,,,3872,,0,409616,5423,,,,,403241,0,,0
"2020-07-31","OR","A+",322,,6,,1607,1607,208,20,,65,385701,5193,,,385701,,32,,18492,17540,361,0,,,,,,3872,,0,404193,5554,,,,,403241,5536,,0
"2020-07-30","OR","A+",316,,5,,1587,1587,229,19,,66,380508,4074,,,380508,,30,,18131,17197,410,0,,,,,,3835,,0,398639,4484,,,,,397705,4456,,0
"2020-07-29","OR","A+",311,,8,,1568,1568,235,31,,62,376434,6194,,,376434,,32,,17721,16815,305,0,,,,,,3736,,0,394155,6499,,,,,393249,6463,,0
"2020-07-28","OR","A+",303,,14,,1537,1537,230,23,,58,370240,4762,,,370240,,31,,17416,16546,328,0,,,,,,3736,,0,387656,5090,,,,,386786,5068,,0
"2020-07-27","OR","A+",289,,0,,1514,1514,237,40,,58,365478,3761,,,365478,,27,,17088,16240,330,0,,,,,,3684,,0,382566,4091,,,,,381718,15982,,0
"2020-07-26","OR","A+",289,,3,,1474,1474,233,0,,58,361717,4199,,,361717,,30,,16758,15273,266,0,,,,,,3541,,0,378475,4465,,,,,365736,0,,0
"2020-07-25","OR","A+",286,,4,,1474,1474,233,0,,58,357518,7055,,,357518,,30,,16492,15273,388,0,,,,,,3541,,0,374010,7443,,,,,365736,0,,0
"2020-07-24","OR","A+",282,,9,,1474,1474,233,9,,58,350463,7685,,,350463,,30,,16104,15273,391,0,,,,,,3541,,0,366567,8076,,,,,365736,8058,,0
"2020-07-23","OR","A+",273,,4,,1465,1465,225,32,,52,342778,5377,,,342778,,28,,15713,14900,320,0,,,,,,3509,,0,358491,5697,,,,,357678,5691,,0
"2020-07-22","OR","A+",269,,0,,1433,1433,231,27,,61,337401,7277,,,337401,,30,,15393,14586,254,0,,,,,,3381,,0,352794,7531,,,,,351987,7508,,0
"2020-07-21","OR","A+",269,,7,,1406,1406,237,19,,64,330124,4927,,,330124,,34,,15139,14355,292,0,,,,,,3381,,0,345263,5219,,,,,344479,5197,,0
"2020-07-20","OR","A+",262,,2,,1387,1387,233,60,,70,325197,4186,,,325197,,34,,14847,14085,268,0,,,,,,3338,,0,340044,4454,,,,,339282,15804,,0
"2020-07-19","OR","A+",260,,3,,1327,1327,242,0,,64,321011,4367,,,321011,,34,,14579,13085,430,0,,,,,,3225,,0,335590,4797,,,,,323478,0,,0
