"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","PR","B",730,551,2,179,,,324,0,,51,305972,0,,,303412,,34,,53671,26776,307,0,26895,,,,7002,24533,,0,359643,307,,,,,,0,310546,0
"2020-10-10","PR","B",728,548,8,180,,,347,0,,55,305972,0,,,303412,,31,,53364,26558,472,0,26806,,,,7002,24129,,0,359336,472,,,,,,0,310546,0
"2020-10-09","PR","B",720,541,5,179,,,354,0,,55,305972,0,,,303412,,29,,52892,26326,598,0,26566,,,,7002,23603,,0,358864,598,,,,,,0,310546,0
"2020-10-08","PR","B",715,536,10,179,,,315,0,,49,305972,0,,,303412,,27,,52294,26010,526,0,26284,,,,7002,22805,,0,358266,526,,,,,,0,310546,0
"2020-10-07","PR","B",705,528,9,177,,,325,0,,51,305972,0,,,303412,,36,,51768,25658,31,0,26110,,,,7002,22346,,0,357740,31,,,,,,0,310546,0
"2020-10-06","PR","C",696,519,1,177,,,322,0,,61,305972,0,,,303412,,33,,51737,25635,432,0,26102,,,,7002,,,0,357709,432,,,,,,0,310546,0
"2020-10-05","PR","C",695,518,9,177,,,321,0,,56,305972,0,,,303412,,41,,51305,25397,630,0,25908,,,,7002,,,0,357277,630,,,,,,0,310546,0
"2020-10-04","PR","C",686,510,5,176,,,319,0,,49,305972,0,,,303412,,41,,50675,25034,300,0,25641,,,,7002,,,0,356647,300,,,,,,0,310546,0
"2020-10-03","PR","C",681,508,8,173,,,348,0,,57,305972,0,,,303412,,31,,50375,24804,628,0,25571,,,,7002,,,0,356347,628,,,,,,0,310546,0
"2020-10-02","PR","C",673,500,8,173,,,339,0,,59,305972,0,,,303412,,38,,49747,24505,680,0,25242,,,,7002,,,0,355719,680,,,,,,0,310546,0
"2020-10-01","PR","C",665,492,4,173,,,316,0,,59,305972,0,,,303412,,38,,49067,24176,312,0,24891,,,,7002,,,0,355039,312,,,,,,0,310546,-105118
"2020-09-30","PR","C",661,489,7,172,,,327,0,,62,305972,0,,,395291,,39,,48755,24000,288,0,24755,,,,20103,,,0,354727,288,,,,,,0,415664,0
"2020-09-29","PR","C",654,483,6,171,,,353,0,,68,305972,0,,,395291,,33,,48467,23801,1045,0,24666,,,,20103,,,0,354439,1045,,,,,,0,415664,0
"2020-09-28","PR","C",648,477,4,171,,,339,0,,69,305972,0,,,395291,,38,,47422,23357,1118,0,24065,,,,20103,,,0,353394,1118,,,,,,0,415664,0
"2020-09-27","PR","C",644,473,2,171,,,349,0,,65,305972,0,,,395291,,38,,46304,22697,891,0,23607,,,,20103,,,0,352276,891,,,,,,0,415664,0
"2020-09-26","PR","C",642,471,7,171,,,342,0,,59,305972,0,,,395291,,33,,45413,22164,508,0,23249,,,,20103,,,0,351385,508,,,,,,0,415664,0
"2020-09-25","PR","C",635,464,8,171,,,376,0,,67,305972,0,,,395291,,28,,44905,21868,1063,0,23037,,,,20103,,,0,350877,1063,,,,,,0,415664,0
"2020-09-24","PR","C",627,456,10,171,,,364,0,,65,305972,0,,,395291,,33,,43842,21156,1182,0,22686,,,,20103,,,0,349814,1182,,,,,,0,415664,0
"2020-09-23","PR","C",617,447,4,170,,,376,0,,63,305972,0,,,395291,,36,,42660,20439,64,0,22221,,,,20103,,,0,348632,64,,,,,,0,415664,0
"2020-09-22","PR","C",613,443,4,170,,,369,0,,63,305972,0,,,395291,,42,,42596,20399,120,0,22197,,,,20103,,,0,348568,120,,,,,,0,415664,0
"2020-09-21","PR","C",609,439,1,170,,,386,0,,63,305972,0,,,395291,,41,,42476,20311,638,0,22165,,,,20103,,,0,348448,638,,,,,,0,415664,0
"2020-09-20","PR","C",608,438,3,170,,,384,0,,64,305972,0,,,395291,,43,,41838,20069,845,0,21769,,,,20103,,,0,347810,845,,,,,,0,415664,0
"2020-09-19","PR","C",605,435,6,170,,,403,0,,61,305972,0,,,395291,,39,,40993,19807,1309,0,21186,,,,20103,,,0,346965,1309,,,,,,0,415664,0
"2020-09-18","PR","C",599,430,11,169,,,435,0,,70,305972,0,,,395291,,41,,39684,19113,817,0,20571,,,,20103,,,0,345656,817,,,,,,0,415664,0
"2020-09-17","PR","C",588,420,18,168,,,444,0,,68,305972,0,,,395291,,41,,38867,18634,583,0,20233,,,,20103,,,0,344839,583,,,,,,0,415664,0
"2020-09-16","PR","C",570,403,19,167,,,434,0,,68,305972,0,,,395291,,40,,38284,18252,112,0,20032,,,,20103,,,0,344256,112,,,,,,0,415664,0
"2020-09-15","PR","C",551,385,9,166,,,408,0,,65,305972,0,,,395291,,44,,38172,18206,422,0,19966,,,,20103,,,0,344144,422,,,,,,0,415664,0
"2020-09-14","PR","C",542,376,3,166,,,414,0,,63,305972,0,,,395291,,37,,37750,17977,370,0,19773,,,,20103,,,0,343722,370,,,,,,0,415664,0
"2020-09-13","PR","C",539,373,4,166,,,396,0,,67,305972,0,,,395291,,50,,37380,17769,288,0,19611,,,,20103,,,0,343352,288,,,,,,0,415664,0
"2020-09-12","PR","C",535,370,12,165,,,420,0,,71,305972,0,,,395291,,54,,37092,17598,511,0,19494,,,,20103,,,0,343064,511,,,,,,0,415664,0
"2020-09-11","PR","C",523,359,11,164,,,401,0,,68,305972,0,,,395291,,52,,36581,17357,302,0,19224,,,,20103,,,0,342553,302,,,,,,0,415664,0
"2020-09-10","PR","C",512,349,12,163,,,421,0,,70,305972,0,,,395291,,57,,36279,17248,772,0,19031,,,,20103,,,0,342251,772,,,,,,0,415664,0
"2020-09-09","PR","C",500,337,18,163,,,400,0,,71,305972,0,,,395291,,56,,35507,16789,3,0,18718,,,,20103,,,0,341479,3,,,,,,0,415664,0
"2020-09-08","PR","C",482,319,5,163,,,380,0,,81,305972,0,,,395291,,66,,35504,16788,129,0,18716,,,,20103,,,0,341476,129,,,,,,0,415664,0
"2020-09-07","PR","C",477,317,0,160,,,372,0,,81,305972,0,,,395291,,72,,35375,16692,842,0,18683,,,,20103,,,0,341347,842,,,,,,0,415664,0
"2020-09-06","PR","C",477,317,13,160,,,377,0,,73,305972,0,,,395291,,67,,34533,16269,41,0,18264,,,,20103,,,0,340505,41,,,,,,0,415664,0
"2020-09-05","PR","C",464,309,9,155,,,369,0,,76,305972,0,,,395291,,67,,34492,16243,251,0,18249,,,,20103,,,0,340464,251,,,,,,0,415664,0
"2020-09-04","PR","C",455,302,7,153,,,382,0,,78,305972,0,,,395291,,60,,34241,16101,43,0,18140,,,,20103,,,0,340213,43,,,,,,0,415664,0
"2020-09-03","PR","C",448,296,5,152,,,349,0,,73,305972,0,,,395291,,57,,34198,16069,195,0,18129,,,,20103,,,0,340170,195,,,,,,0,415664,0
"2020-09-02","PR","C",443,293,8,150,,,373,0,,71,305972,0,,,395291,,53,,34003,15942,582,0,18061,,,,20103,,,0,339975,582,,,,,,0,415664,0
"2020-09-01","PR","B",435,288,1,147,,,392,0,,71,305972,0,,,395291,,51,,33421,15584,222,0,17837,,,,20103,,,0,339393,222,,,,,,0,415664,0
"2020-08-31","PR","B",434,287,0,147,,,383,0,,65,305972,0,,,395291,,50,,33199,15476,351,0,17723,,,,20103,,,0,339171,351,,,,,,0,415664,0
"2020-08-30","PR","B",434,287,6,147,,,365,0,,63,305972,0,,,395291,,46,,32848,15229,298,0,17619,,,,20103,,,0,338820,298,,,,,,0,415664,0
"2020-08-29","PR","B",428,283,4,145,,,365,0,,65,305972,0,,,395291,,44,,32550,14986,562,0,17564,,,,20103,,,0,338522,562,,,,,,0,415664,0
"2020-08-28","PR","B",424,280,12,144,,,409,0,,72,305972,0,,,395291,,51,,31988,14726,605,0,17262,,,,20103,,,0,337960,605,,,,,,0,415664,105118
"2020-08-27","PR","B",412,270,8,142,,,403,0,,74,305972,0,,,303412,,41,,31383,14469,639,0,16914,,,,7002,,,0,337355,639,,,,,,0,310546,0
"2020-08-26","PR","B",404,263,9,141,,,397,0,,62,305972,0,,,303412,,44,,30744,14010,24,0,16734,,,,7002,,,0,336716,24,,,,,,0,310546,0
"2020-08-25","PR","B",395,256,5,139,,,391,0,,67,305972,0,,,303412,,43,,30720,13992,102,0,16728,,,,7002,,,0,336692,102,,,,,,0,310546,0
"2020-08-24","PR","B",390,251,0,139,,,363,0,,71,305972,0,,,303412,,42,,30618,13922,722,0,16696,,,,7002,,,0,336590,722,,,,,,0,310546,0
"2020-08-23","PR","B",390,251,9,139,,,370,0,,66,305972,0,,,303412,,36,,29896,13477,319,0,16419,,,,7002,,,0,335868,319,,,,,,0,310546,0
"2020-08-22","PR","B",381,246,7,135,,,401,0,,67,305972,0,,,303412,,41,,29577,13282,731,0,16295,,,,7002,,,0,335549,731,,,,,,0,310546,0
"2020-08-21","PR","B",374,240,7,134,,,392,0,,65,305972,0,,,303412,,42,,28846,13014,703,0,15832,,,,7002,,,0,334818,703,,,,,,0,310546,0
"2020-08-20","PR","B",367,236,11,131,,,390,0,,57,305972,0,,,303412,,37,,28143,12576,209,0,15567,,,,7002,,,0,334115,209,,,,,,0,310546,0
"2020-08-19","PR","B",356,225,10,131,,,361,0,,58,305972,0,,,303412,,39,,27934,12452,221,0,15482,,,,7002,,,0,333906,221,,,,,,0,310546,0
"2020-08-18","PR","B",346,216,11,130,,,392,0,,62,305972,0,,,303412,,45,,27713,12371,953,0,15342,,,,7002,,,0,333685,953,,,,,,0,310546,0
"2020-08-17","PR","B",335,206,0,129,,,400,0,,55,305972,0,,,303412,,44,,26760,11723,754,0,15037,,,,7002,,,0,332732,754,,,,,,0,310546,0
"2020-08-16","PR","B",335,205,6,130,,,393,0,,64,305972,0,,,303412,,48,,26006,11251,311,0,14755,,,,7002,,,0,331978,311,,,,,,0,310546,0
"2020-08-15","PR","B",329,201,12,128,,,406,0,,66,305972,0,,,303412,,46,,25695,11069,567,0,14626,,,,7002,,,0,331667,567,,,,,,0,310546,0
"2020-08-14","PR","B",317,192,11,125,,,428,0,,70,305972,0,,,303412,,49,,25128,10730,682,0,14398,,,,7002,,,0,331100,682,,,,,,0,310546,0
"2020-08-13","PR","B",306,182,11,124,,,466,0,,80,305972,0,,,303412,,57,,24446,10279,372,0,14167,,,,7002,,,0,330418,372,,,,,,0,310546,0
"2020-08-12","PR","B",295,174,8,121,,,447,0,,75,305972,0,,,303412,,57,,24074,10169,671,0,13905,,,,7002,,,0,330046,671,,,,,,0,310546,0
"2020-08-11","PR","B",287,167,8,120,,,439,0,,80,305972,0,,,303412,,62,,23403,9605,582,0,13798,,,,7002,,,0,329375,582,,,,,,0,310546,0
"2020-08-10","PR","B",279,161,0,118,,,423,0,,77,305972,0,,,303412,,50,,22821,9319,700,0,13502,,,,7002,,,0,328793,700,,,,,,0,310546,0
"2020-08-09","PR","B",279,161,5,118,,,424,0,,79,305972,0,,,303412,,53,,22121,8934,697,0,13187,,,,7002,,,0,328093,697,,,,,,0,310546,0
"2020-08-08","PR","B",274,158,9,116,,,399,0,,77,305972,0,,,303412,,54,,21424,8573,738,0,12851,,,,7002,,,0,327396,738,,,,,,0,310546,0
