"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","TX","A",16557,,31,,,,3622,0,,1142,6095073,54502,,,,,,,792478,792478,2418,0,40234,14180,,,,703662,,0,6887551,56920,434254,158844,,,,0,6887551,56920
"2020-10-10","TX","A",16526,,94,,,,3628,0,,1137,6040571,80371,,,,,,,790060,790060,4230,0,39953,14025,,,,701583,,0,6830631,84601,432509,156973,,,,0,6830631,84601
"2020-10-09","TX","A",16432,,98,,,,3593,0,,1138,5960200,38888,,,,,,,785830,785830,4036,0,39452,13493,,,,698481,,0,6746030,42924,429145,148723,,,,0,6746030,42924
"2020-10-08","TX","A",16334,,104,,,,3556,0,,1098,5921312,34428,,,,,,,781794,781794,4238,0,39230,13363,,,,695194,,0,6703106,38666,427731,147268,,,,0,6703106,38666
"2020-10-07","TX","A",16230,,119,,,,3519,0,,1052,5886884,24071,,,,,,,777556,777556,4121,0,38678,13079,,,,692123,,0,6664440,28192,422880,145110,,,,0,6664440,28192
"2020-10-06","TX","A",16111,,78,,,,3394,0,,1080,5862813,60439,,,,,,,773435,773435,4132,0,38448,12908,,,,687277,,0,6636248,64571,421087,143766,,,,0,6636248,64571
"2020-10-05","TX","A",16033,,8,,,,3318,0,,1107,5802374,30383,,,,,,,769303,769303,3409,0,38354,12658,,,,683700,,0,6571677,33792,420372,136859,,,,0,6571677,33792
"2020-10-04","TX","A",16025,,33,,,,3192,0,,1071,5771991,62062,,,,,,,765894,765894,2884,0,38164,12466,,,,680083,,0,6537885,64946,419197,133809,,,,0,6537885,64946
"2020-10-03","TX","A",15992,,97,,,,3195,0,,1101,5709929,97191,,,,,,,763010,763010,7006,0,37871,12330,,,,677244,,0,6472939,104197,417575,130374,,,,0,6472939,104197
"2020-10-02","TX","A",15895,,72,,,,3227,0,,1091,5612738,82910,,,,,,,756004,756004,3503,0,37538,11659,,,,672144,,0,6368742,86413,415228,116610,,,,0,6368742,86413
"2020-10-01","TX","A",15823,,112,,,,3190,0,,1075,5529828,41638,,,,,,,752501,752501,3534,0,37224,10405,,,,668515,,0,6282329,45172,413627,103401,,,,0,6282329,45172
"2020-09-30","TX","A",15711,,107,,,,3344,0,,1076,5488190,30648,,,,,,,748967,748967,5683,0,37113,10266,,,,664883,,0,6237157,36331,412969,99412,,,,0,6237157,36331
"2020-09-29","TX","A",15604,,71,,,,3251,0,,1044,5457542,25530,,,,,,,743284,743284,3541,0,36957,10008,,,,661038,,0,6200826,29071,411712,96435,,,,0,6200826,29071
"2020-09-28","TX","A",15533,,11,,,,3201,0,,1056,5432012,150237,,,,,,,739743,739743,4611,0,36905,9937,,,,657407,,0,6171755,154848,411266,94906,,,,0,6171755,154848
"2020-09-27","TX","A",15522,,37,,,,3217,0,,1056,5281775,20400,,,,,,,735132,735132,1694,0,35953,9411,,,,652376,,0,6016907,22094,400882,82255,,,,0,6016907,22094
"2020-09-26","TX","A",15485,,121,,,,3209,0,,1056,5261375,76478,,,,,,,733438,733438,4886,0,35847,9297,,,,649580,,0,5994813,81364,399337,80294,,,,0,5994813,81364
"2020-09-25","TX","A",15364,,97,,,,3221,0,,1051,5184897,47983,,,,,,,728552,728552,4633,0,35656,9190,,,,646143,,0,5913449,52616,394584,78472,,,,0,5913449,52616
"2020-09-24","TX","A",15267,,138,,,,3204,0,,1051,5136914,115839,,,,,,,723919,723919,4320,0,35421,9120,,,,642169,,0,5860833,120159,391678,77981,,,,0,5860833,120159
"2020-09-23","TX","A",15129,,135,,,,3195,0,,1041,5021075,69550,,,,,,,719599,719599,3392,0,35217,9003,,,,618054,,0,5740674,72942,390538,76275,,,,0,5740674,72942
"2020-09-22","TX","A",14994,,77,,,,3207,0,,1065,4951525,27414,,,,,,,716207,716207,17820,0,35026,8712,,,,613896,,0,5667732,45234,389207,71209,,,,0,5667732,45234
"2020-09-21","TX","A",14917,,24,,,,3132,0,,1073,4924111,19157,,,,,,,698387,698387,9853,0,34843,7867,,,,611856,,0,5622498,29010,386966,64302,,,,0,5622498,29010
"2020-09-20","TX","A",14893,,45,,,,3081,0,,1057,4904954,27846,,,,,,,688534,688534,2466,0,34639,7793,,,,609210,,0,5593488,30312,385351,63908,,,,0,5593488,30312
"2020-09-19","TX","A",14848,,135,,,,3124,0,,1083,4877108,114548,,,,,,,686068,686068,3827,0,34415,7637,,,,605522,,0,5563176,118375,383876,62291,,,,0,5563176,118375
"2020-09-18","TX","A",14713,,123,,,,3172,0,,1107,4762560,96203,,,,,,,682241,682241,3422,0,34084,7439,,,,600662,,0,5444801,99625,381430,59051,,,,0,5444801,99625
"2020-09-17","TX","A",14590,,112,,,,3246,0,,1140,4666357,41509,,,,,,,678819,678819,4047,0,33718,7280,,,,594817,,0,5345176,45556,378541,56707,,,,0,5345176,45556
"2020-09-16","TX","A",14478,,135,,,,3249,0,,1139,4624848,46052,,,,,,,674772,674772,6026,0,33463,7131,,,,590837,,0,5299620,52078,377019,52679,,,,0,5299620,52078
"2020-09-15","TX","A+",14343,,132,,,,3311,0,,1151,4578796,28994,,,,,,,668746,668746,5301,0,33086,6915,,,,585912,,0,5247542,34295,373766,50658,,,,0,5247542,34295
"2020-09-14","TX","A+",14211,,21,,,,3391,0,,1165,4549802,-340903,,,,,,,663445,663445,4011,0,33050,6891,,,,581204,,0,5213247,-336892,373406,50387,,,,0,5213247,-336892
"2020-09-13","TX","A+",14190,,47,,,,3319,0,,1140,4890705,28653,,,,,,,659434,659434,1845,0,34286,6846,,,,577832,,0,5550139,30498,390318,49181,,,,0,5550139,30498
"2020-09-12","TX","A+",14143,,146,,,,3371,0,,1174,4862052,61367,,,,,,,657589,657589,4233,0,33571,6299,,,,573670,,0,5519641,65600,383596,44740,,,,0,5519641,65600
"2020-09-11","TX","A+",13997,,144,,,,3465,0,,1198,4800685,45237,,,,,,,653356,653356,3547,0,33010,6163,,,,568067,,0,5454041,48784,380352,43841,,,,0,5454041,48784
"2020-09-10","TX","A+",13853,,161,,,,3575,0,,1267,4755448,29107,,,,,,,649809,649809,4018,0,32735,6153,,,,564114,,0,5405257,33125,377901,43568,,,,0,5405257,33125
"2020-09-09","TX","A+",13692,,139,,,,3604,0,,1347,4726341,29006,,,,,,,645791,645791,4000,0,32352,5813,,,,558894,,0,5372132,33006,374319,41022,,,,0,5372132,33006
"2020-09-08","TX","A+",13553,,61,,,,3701,0,,1322,4697335,16706,,,,,,,641791,641791,1421,0,32328,5776,,,,553409,,0,5339126,18127,374045,40671,,,,0,5339126,18127
"2020-09-07","TX","A+",13492,,20,,,,3537,0,,1322,4680629,36360,,,,,,,640370,640370,2060,0,32006,5221,,,,543412,,0,5320999,38420,371102,35136,,,,0,5320999,38420
"2020-09-06","TX","A+",13472,,64,,,,3715,0,,1409,4644269,95636,,,,,,,638310,638310,2995,0,31773,5183,,,,543412,,0,5282579,98631,369645,34939,,,,0,5282579,98631
"2020-09-05","TX","A+",13408,,177,,,,3973,0,,1409,4548633,59709,,,,,,,635315,635315,4486,0,31521,5076,,,,538282,,0,5183948,64195,368062,34398,,,,0,5183948,64195
"2020-09-04","TX","A+",13231,,140,,,,3889,0,,1433,4488924,6768,,,,,,,630829,630829,5482,0,30982,4750,,,,532223,,0,5119753,12250,365953,32697,,,,0,5119753,12250
"2020-09-03","TX","A+",13091,,221,,,,4075,0,,1433,4482156,34961,,,,,,,625347,625347,3680,0,30524,3851,,,,527359,,0,5107503,38641,361848,27891,,,,0,5107503,38641
"2020-09-02","TX","A+",12870,,189,,,,4149,0,,1476,4447195,30974,,,,,,,621667,621667,4334,0,30213,3640,,,,522087,,0,5068862,35308,360236,26210,,,,0,5068862,35308
"2020-09-01","TX","A+",12681,,145,,,,4144,0,,1525,4416221,67637,,,,,,,617333,617333,4364,0,30159,3529,,,,514861,,0,5033554,72001,359593,25577,,,,0,5033554,72001
"2020-08-31","TX","A+",12536,,26,,,,4203,0,,1525,4348584,34226,,,,,,,612969,612969,2615,0,30025,3497,,,,507499,,0,4961553,36841,358718,25360,,,,0,4961553,36841
"2020-08-30","TX","A+",12510,,90,,,,4172,0,,1566,4314358,19916,,,,,,,610354,610354,3824,0,29723,3460,,,,499518,,0,4924712,23740,356857,25162,,,,0,4924712,23740
"2020-08-29","TX","A+",12420,,154,,,,4273,0,,1648,4294442,53848,,,,,,,606530,606530,4762,0,29635,3371,,,,492921,,0,4900972,58610,356229,24176,,,,0,4900972,58610
"2020-08-28","TX","A",12266,,196,,,,4422,0,,1636,4240594,44417,,,,,,,601768,601768,4031,0,29287,3336,,,,484880,,0,4842362,48448,353966,23724,,,,0,4842362,48448
