"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","VI","D",20,20,0,,,,,0,,,20620,186,,,,,,29,1325,,1,0,,,,,,1289,,0,21945,187,,,,,,0,21974,182
"2020-10-10","VI","D",20,20,0,,,,,0,,,20434,0,,,,,,34,1324,,0,0,,,,,,1286,,0,21758,0,,,,,,0,21792,0
"2020-10-09","VI","D",20,20,0,,,,,0,,,20434,68,,,,,,34,1324,,2,0,,,,,,1286,,0,21758,70,,,,,,0,21792,50
"2020-10-08","VI","D",20,20,0,,,,,0,,,20366,93,,,,,,54,1322,,1,0,,,,,,1286,,0,21688,94,,,,,,0,21742,112
"2020-10-07","VI","D",20,20,0,,,,,0,,,20273,118,,,,,,36,1321,,-1,0,,,,,,1286,,0,21594,117,,,,,,0,21630,123
"2020-10-06","VI","D",20,20,0,,,,,0,,,20155,0,,,,,,30,1322,,0,0,,,,,,1283,,0,21477,0,,,,,,0,21507,0
"2020-10-05","VI","D",20,20,0,,,,,0,,,20155,243,,,,,,30,1322,,-5,0,,,,,,1283,,0,21477,238,,,,,,0,21507,238
"2020-10-04","VI","D",20,20,0,,,,,0,,,19912,227,,,,,,30,1327,,1,0,,,,,,1265,,0,21239,228,,,,,,0,21269,246
"2020-10-03","VI","F",20,20,0,,,,,0,,,19685,0,,,,,,12,1326,,0,0,,,,,,1256,,0,21011,0,,,,,,0,21023,0
"2020-10-02","VI","F",20,20,0,,,,,0,,,19685,237,,,,,,12,1326,,3,0,,,,,,1256,,0,21011,240,,,,,,0,21023,246
"2020-10-01","VI","D",20,20,0,,,,,0,,,19448,205,,,,,,6,1323,,5,0,,,,,,1254,,0,20771,210,,,,,,0,20777,195
"2020-09-30","VI","D",20,20,0,,,,,0,,,19243,188,,,,,,21,1318,,0,0,,,,,,1254,,0,20561,188,,,,,,0,20582,200
"2020-09-29","VI","D",20,20,1,,,,,0,,,19055,212,,,,,,9,1318,,1,0,,,,,,1243,,0,20373,213,,,,,,0,20382,215
"2020-09-28","VI","D",19,19,0,,,,,0,,,18843,0,,,,,,7,1317,,0,0,,,,,,1217,,0,20160,0,,,,,,0,20167,0
"2020-09-27","VI","D",19,19,0,,,,,0,,,18843,167,,,,,,7,1317,,21,0,,,,,,1217,,0,20160,188,,,,,,0,20167,187
"2020-09-26","VI","D",19,19,0,,,,,0,,,18676,0,,,,,,8,1296,,0,0,,,,,,1209,,0,19972,0,,,,,,0,19980,0
"2020-09-25","VI","D",19,19,0,,,,,0,,,18676,142,,,,,,8,1296,,6,0,,,,,,1209,,0,19972,148,,,,,,0,19980,145
"2020-09-24","VI","D",19,19,0,,,,,0,,,18534,194,,,,,,11,1290,,12,0,,,,,,1208,,0,19824,206,,,,,,0,19835,210
"2020-09-23","VI","D",19,19,0,,,,,0,,,18340,152,,,,,,7,1278,,2,0,,,,,,1198,,0,19618,154,,,,,,0,19625,146
"2020-09-22","VI","D",19,19,0,,,,,0,,,18188,145,,,,,,15,1276,,7,0,,,,,,1195,,0,19464,152,,,,,,0,19479,165
"2020-09-21","VI","D",19,19,0,,,,,0,,,18043,0,,,,,,2,1269,,0,0,,,,,,1186,,0,19312,0,,,,,,0,19314,0
"2020-09-20","VI","D",19,19,0,,,,,0,,,18043,331,,,,,,2,1269,,27,0,,,,,,1186,,0,19312,358,,,,,,0,19314,334
"2020-09-19","VI","D",19,19,0,,,,,0,,,17712,0,,,,,,26,1242,,0,0,,,,,,1174,,0,18954,0,,,,,,0,18980,0
"2020-09-18","VI","D",19,19,0,,,,,0,,,17712,171,,,,,,26,1242,,4,0,,,,,,1174,,0,18954,175,,,,,,0,18980,180
"2020-09-17","VI","D",19,19,0,,,,,0,,,17541,101,,,,,,21,1238,,6,0,,,,,,1172,,0,18779,107,,,,,,0,18800,118
"2020-09-16","VI","D",19,19,0,,,,,0,,,17440,120,,,,,,10,1232,,7,0,,,,,,1170,,0,18672,127,,,,,,0,18682,120
"2020-09-15","VI","C",19,19,0,,,,,0,,,17320,190,,,,,,17,1225,,4,0,,,,,,1159,,0,18545,194,,,,,,0,18562,208
"2020-09-14","VI","C",19,19,0,,,,,0,,,17130,7,,,,,,3,1221,,1,0,,,,,,1144,,0,18351,8,,,,,,0,18354,8
"2020-09-13","VI","C",19,19,0,,,,,0,,,17123,111,,,,,,3,1220,,9,0,,,,,,1144,,0,18343,120,,,,,,0,18346,118
"2020-09-12","VI","C",19,19,1,,,,,0,,,17012,163,,,,,,5,1211,,10,0,,,,,,1143,,0,18223,173,,,,,,0,18228,162
"2020-09-11","VI","C",18,18,0,,,,,0,,,16849,181,,,,,,16,1201,,4,0,,,,,,1124,,0,18050,185,,,,,,0,18066,179
"2020-09-10","VI","C",18,18,0,,,,,0,,,16668,415,,,,,,22,1197,,6,0,,,,,,1119,,0,17865,421,,,,,,0,17887,428
"2020-09-09","VI","C",18,18,0,,,,,0,,,16253,0,,,,,,15,1191,,0,0,,,,,,1070,,0,17444,0,,,,,,0,17459,0
"2020-09-08","VI","C",18,18,1,,,,,0,,,16253,23,,,,,,15,1191,,1,0,,,,,,1070,,0,17444,24,,,,,,0,17459,24
"2020-09-07","VI","C",17,17,0,,,,,0,,,16230,86,,,,,,15,1190,,9,0,,,,,,1069,,0,17420,95,,,,,,0,17435,95
"2020-09-06","VI","C",17,17,1,,,,,0,,,16144,100,,,,,,15,1181,,14,0,,,,,,1069,,0,17325,114,,,,,,0,17340,109
"2020-09-05","VI","C",16,16,0,,,,,0,,,16044,254,,,,,,20,1167,,17,0,,,,,,1061,,0,17211,271,,,,,,0,17231,260
"2020-09-04","VI","C",16,16,1,,,,,0,,,15790,141,,,,,,31,1150,,6,0,,,,,,1050,,0,16940,147,,,,,,0,16971,161
"2020-09-03","VI","C",15,15,0,,,,,0,,,15649,306,,,,,,17,1144,,1,0,,,,,,1010,,0,16793,307,,,,,,0,16810,305
"2020-09-02","VI","C",15,15,0,,,,,0,,,15343,95,,,,,,19,1143,,4,0,,,,,,998,,0,16486,99,,,,,,0,16505,108
"2020-09-01","VI","C",15,15,1,,,,,0,,,15248,148,,,,,,10,1139,,5,0,,,,,,950,,0,16387,153,,,,,,0,16397,147
"2020-08-31","VI","C",14,14,0,,,,,0,,,15100,123,,,,,,16,1134,,5,0,,,,,,898,,0,16234,128,,,,,,0,16250,128
"2020-08-30","VI","C",14,14,0,,,,,0,,,14977,263,,,,,,16,1129,,11,0,,,,,,893,,0,16106,274,,,,,,0,16122,204
"2020-08-29","VI","C",14,14,0,,,,,0,,,14714,410,,,,,,86,1118,,43,0,,,,,,891,,0,15832,453,,,,,,0,15918,449
"2020-08-28","VI","C",14,14,0,,,,,0,,,14304,160,,,,,,90,1075,,23,0,,,,,,864,,0,15379,183,,,,,,0,15469,200
"2020-08-27","VI","C",14,14,0,,,,,0,,,14144,209,,,,,,73,1052,,22,0,,,,,,824,,0,15196,231,,,,,,0,15269,237
"2020-08-26","VI","C",14,14,2,,,,,0,,,13935,322,,,,,,67,1030,,32,0,,,,,,801,,0,14965,354,,,,,,0,15032,365
"2020-08-25","VI","C",12,12,1,,,,,0,,,13613,155,,,,,,56,998,,14,0,,,,,,754,,0,14611,169,,,,,,0,14667,130
"2020-08-24","VI","C",11,11,1,,,,,0,,,13458,100,,,,,,95,984,,24,0,,,,,,712,,0,14442,124,,,,,,0,14537,118
"2020-08-23","VI","C",10,10,0,,,,,0,,,13358,0,,,,,,101,960,,0,0,,,,,,655,,0,14318,0,,,,,,0,14419,0
"2020-08-22","VI","C",10,10,0,,,,,0,,,13358,463,,,,,,101,960,,28,0,,,,,,655,,0,14318,491,,,,,,0,14419,504
"2020-08-21","VI","C",10,10,0,,,,,0,,,12895,222,,,,,,88,932,,63,0,,,,,,649,,0,13827,285,,,,,,0,13915,352
"2020-08-20","VI","C",10,10,1,,,,,0,,,12673,156,,,,,,21,869,,41,0,,,,,,623,,0,13542,197,,,,,,0,13563,203
"2020-08-19","VI","C",9,9,0,,,,,0,,,12517,649,,,,,,15,828,,32,0,,,,,,584,,0,13345,681,,,,,,0,13360,664
"2020-08-18","VI","C",9,9,0,,,,,0,,,11868,210,,,,,,32,796,,36,0,,,,,,533,,0,12664,246,,,,,,0,12696,267
"2020-08-17","VI","C",9,9,0,,,,,0,,,11658,228,,,,,,11,760,,19,0,,,,,,525,,0,12418,247,,,,,,0,12429,240
"2020-08-16","VI","C",9,9,0,,,,,0,,,11430,47,,,,,,18,741,,7,0,,,,,,523,,0,12171,54,,,,,,0,12189,56
"2020-08-15","VI","C",9,9,0,,,,,0,,,11383,88,,,,,,16,734,,30,0,,,,,,519,,0,12117,118,,,,,,0,12133,115
"2020-08-14","VI","C",9,9,0,,,,,0,,,11295,327,,,,,,19,704,,22,0,,,,,,502,,0,11999,349,,,,,,0,12018,358
"2020-08-13","VI","C",9,9,0,,,,,0,,,10968,190,,,,,,10,682,,43,0,,,,,,476,,0,11650,233,,,,,,0,11660,216
"2020-08-12","VI","C",9,9,0,,,,,0,,,10778,291,,,,,,27,639,,63,0,,,,,,468,,0,11417,354,,,,,,0,11444,355
"2020-08-11","VI","C",9,9,0,,,,,0,,,10487,130,,,,,,26,576,,29,0,,,,,,439,,0,11063,159,,,,,,0,11089,184
"2020-08-10","VI","C",9,9,0,,,,,0,,,10357,25,,,,,,1,547,,0,0,,,,,,410,,0,10904,25,,,,,,0,10905,5
"2020-08-09","VI","C",9,9,0,,,,,0,,,10332,241,,,,,,21,547,,19,0,,,,,,404,,0,10879,260,,,,,,0,10900,257
"2020-08-08","VI","C",9,9,0,,,,,0,,,10091,114,,,,,,24,528,,6,0,,,,,,404,,0,10619,120,,,,,,0,10643,123
"2020-08-07","VI","C",9,9,0,,,,,0,,,9977,103,,,,,,21,522,,21,0,,,,,,398,,0,10499,124,,,,,,0,10520,133
"2020-08-06","VI","C",9,9,1,,,,,0,,,9874,252,,,,,,12,501,,20,0,,,,,,384,,0,10375,272,,,,,,0,10387,258
"2020-08-05","VI","C",8,8,0,,,,,0,,,9622,310,,,,,,26,481,,18,0,,,,,,374,,0,10103,328,,,,,,0,10129,328
"2020-08-04","VI","C",8,8,0,,,,,0,,,9312,315,,,,,,26,463,,24,0,,,,,,364,,0,9775,339,,,,,,0,9801,358
"2020-08-03","VI","C",8,8,0,,,,,0,,,8997,129,,,,,,7,439,,18,0,,,,,,354,,0,9436,147,,,,,,0,9443,97
"2020-08-02","VI","C",8,8,0,,,,,0,,,8868,0,,,,,,57,421,,0,0,,,,,,341,,0,9289,0,,,,,,0,9346,0
"2020-08-01","VI","C",8,8,0,,,,,0,,,8868,93,,,,,,57,421,,15,0,,,,,,341,,0,9289,108,,,,,,0,9346,153
"2020-07-31","VI","C",8,8,0,,,,,0,,,8775,356,,,,,,12,406,,21,0,,,,,,338,,0,9181,377,,,,,,0,9193,360
"2020-07-30","VI","C",8,8,0,,,,,0,,,8419,0,,,,,,29,385,,0,0,,,,,,296,,0,8804,0,,,,,,0,8833,0
"2020-07-29","VI","C",8,8,1,,,,,0,,,8419,124,,,,,,29,385,,10,0,,,,,,296,,0,8804,134,,,,,,0,8833,126
"2020-07-28","VI","C",7,7,0,,,,,0,,,8295,262,,,,,,37,375,,11,0,,,,,,292,,0,8670,273,,,,,,0,8707,297
"2020-07-27","VI","C",7,7,0,,,,,0,,,8033,42,,,,,,13,364,,3,0,,,,,,250,,0,8397,45,,,,,,0,8410,38
"2020-07-26","VI","C",7,7,0,,,,,0,,,7991,90,,,,,,20,361,,9,0,,,,,,238,,0,8352,99,,,,,,0,8372,99
"2020-07-25","VI","C",7,7,0,,,,,0,,,7901,401,,,,,,20,352,,16,0,,,,,,236,,0,8253,417,,,,,,0,8273,383
"2020-07-24","VI","C",7,7,0,,,,,0,,,7500,0,,,,,,54,336,,0,0,,,,,,182,,0,7836,0,,,,,,0,7890,0
"2020-07-23","VI","C",7,7,0,,,,,0,,,7500,354,,,,,,54,336,,16,0,,,,,,182,,0,7836,370,,,,,,0,7890,333
"2020-07-22","VI","C",7,7,1,,,,,0,,,7146,293,,,,,,91,320,,12,0,,,,,,172,,0,7466,305,,,,,,0,7557,278
"2020-07-21","VI","C",6,6,0,,,,,0,,,6853,236,,,,,,118,308,,4,0,,,,,,158,,0,7161,240,,,,,,0,7279,307
"2020-07-20","VI","C",6,6,0,,,,,0,,,6617,30,,,,,,51,304,,7,0,,,,,,135,,0,6921,37,,,,,,0,6972,34
"2020-07-19","VI","C",6,6,0,,,,,0,,,6587,348,,,,,,54,297,,14,0,,,,,,135,,0,6884,362,,,,,,0,6938,284
"2020-07-18","VI","C",6,6,0,,,,,0,,,6239,449,,,,,,132,283,,20,0,,,,,,133,,0,6522,469,,,,,,0,6654,489
"2020-07-17","VI","C",6,6,0,,,,,0,,,5790,754,,,,,,112,263,,14,0,,,,,,126,,0,6053,768,,,,,,0,6165,712
"2020-07-16","VI","C",6,6,0,,,,,0,,,5036,399,,,,,,168,249,,6,0,,,,,,120,,0,5285,405,,,,,,0,5453,374
"2020-07-15","VI","C",6,6,0,,,,,0,,,4637,553,,,,,,199,243,,37,0,,,,,,112,,0,4880,590,,,,,,0,5079,783
"2020-07-14","VI","C",6,6,0,,,,,0,,,4084,0,,,,,,6,206,,0,0,,,,,,96,,0,4290,0,,,,,,0,4296,0
"2020-07-13","VI","C",6,6,0,,,,,0,,,4084,176,,,,,,6,206,,25,0,,,,,,96,,0,4290,201,,,,,,0,4296,201
"2020-07-12","VI","C",6,6,0,,,,,0,,,3908,268,,,,,,6,181,,14,0,,,,,,93,,0,4089,282,,,,,,0,4095,230
"2020-07-11","VI","C",6,6,0,,,,,0,,,3640,167,,,,,,58,167,,14,0,,,,,,92,,0,3807,181,,,,,,0,3865,186
"2020-07-10","VI","C",6,6,0,,,,,0,,,3473,103,,,,,,53,153,,9,0,,,,,,87,,0,3626,112,,,,,,0,3679,69
"2020-07-09","VI","C",6,6,0,,,,,0,,,3370,97,,,,,,96,144,,22,0,,,,,,81,,0,3514,119,,,,,,0,3610,157
"2020-07-08","VI","C",6,6,0,,,,,0,,,3273,90,,,,,,58,122,,6,0,,,,,,80,,0,3395,96,,,,,,0,3453,99
"2020-07-07","VI","C",6,6,0,,,,,0,,,3183,65,,,,,,55,116,,4,0,,,,,,79,,0,3299,69,,,,,,0,3354,123
"2020-07-06","VI","C",6,6,0,,,,,0,,,3118,58,,,,,,1,112,,1,0,,,,,,79,,0,3230,59,,,,,,0,3231,58
"2020-07-05","VI","C",6,6,0,,,,,0,,,3060,0,,,,,,2,111,,0,0,,,,,,76,,0,3171,0,,,,,,0,3173,0
"2020-07-04","VI","C",6,6,0,,,,,0,,,3060,97,,,,,,2,111,,13,0,,,,,,76,,0,3171,110,,,,,,0,3173,9
"2020-07-03","VI","C",6,6,0,,,,,0,,,2963,39,,,,,,103,98,,6,0,,,,,,75,,0,3061,45,,,,,,0,3164,109
"2020-07-02","VI","C",6,6,0,,,,,0,,,2924,48,,,,,,39,92,,2,0,,,,,,75,,0,3016,50,,,,,,0,3055,83
"2020-07-01","VI","C",6,6,0,,,,,0,,,2876,57,,,,,,6,90,,6,0,,,,,,73,,0,2966,63,,,,,,0,2972,65
"2020-06-30","VI","C",6,6,0,,,,,0,,,2819,73,,,,,,4,84,,3,0,,,,,,73,,0,2903,76,,,,,,0,2907,49
"2020-06-29","VI","C",6,6,0,,,,,0,,,2746,0,,,,,,31,81,,0,0,,,,,,71,,0,2827,0,,,,,,0,2858,0
"2020-06-28","VI","C",6,6,0,,,,,0,,,2746,0,,,,,,31,81,,0,0,,,,,,71,,0,2827,0,,,,,,0,2858,0
"2020-06-27","VI","C",6,6,0,,,,,0,,,2746,41,,,,,,31,81,,0,0,,,,,,71,,0,2827,41,,,,,,0,2858,60
"2020-06-26","VI","C",6,6,0,,,,,0,,,2705,51,,,,,,12,81,,1,0,,,,,,67,,0,2786,52,,,,,,0,2798,43
"2020-06-25","VI","C",6,6,0,,,,,0,,,2654,61,,,,,,21,80,,2,0,,,,,,64,,0,2734,63,,,,,,0,2755,49
"2020-06-24","VI","C",6,6,0,,,,,0,,,2593,49,,,,,,35,78,,2,0,,,,,,64,,0,2671,51,,,,,,0,2706,53
"2020-06-23","VI","C",6,6,0,,,,,0,,,2544,42,,,,,,33,76,,0,0,,,,,,64,,0,2620,42,,,,,,0,2653,60
"2020-06-22","VI","C",6,6,0,,,,,0,,,2502,0,,,,,,15,76,,0,0,,,,,,64,,0,2578,0,,,,,,0,2593,6
"2020-06-21","VI","C",6,6,0,,,,,0,,,2502,10,,,,,,9,76,,2,0,,,,,,64,,0,2578,12,,,,,,0,2587,1
"2020-06-20","VI","C",6,6,0,,,,,0,,,2492,42,,,,,,20,74,,0,0,,,,,,64,,0,2566,42,,,,,,0,2586,51
"2020-06-19","VI","C",6,6,0,,,,,0,,,2450,96,,,,,,11,74,,1,0,,,,,,64,,0,2524,97,,,,,,0,2535,95
