"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","UT","A+",517,,7,,4306,4306,274,31,969,99,832727,4477,,,,385,,,85844,85844,1200,0,,2845,,2698,,63307,,0,918571,5677,,47745,,24623,918571,5677,1211868,8423
"2020-10-10","UT","A+",510,,5,,4275,4275,246,55,968,89,828250,10492,,,,385,,,84644,84644,1354,0,,2833,,2687,,62401,,0,912894,11846,,47303,,24447,912894,11846,1203445,17951
"2020-10-09","UT","A+",505,,4,,4220,4220,261,53,957,86,817758,7683,,,,380,,,83290,83290,1343,0,,2727,,2589,,61326,,0,901048,9026,,45157,,23582,901048,9026,1185494,14332
"2020-10-08","UT","A+",501,,5,,4167,4167,251,54,947,86,810075,9081,,,,376,,,81947,81947,1501,0,,2650,,2514,,60220,,0,892022,10582,,43435,,22869,892022,10582,1171162,16587
"2020-10-07","UT","A+",496,,8,,4113,4113,233,55,941,87,800994,4832,,,,371,,,80446,80446,1007,0,,2507,,2371,,59289,,0,881440,5839,,40491,,21669,881440,5839,1154575,9559
"2020-10-06","UT","A+",488,,6,,4058,4058,245,39,937,79,796162,8705,,,,370,,,79439,79439,716,0,,2371,,2242,,58534,,0,875601,9421,,38427,,20689,875601,9421,1145016,13325
"2020-10-05","UT","A+",482,,4,,4019,4019,222,39,928,74,787457,4181,,,,366,,,78723,78723,1105,0,,2330,,2202,,57965,,0,866180,5286,,37827,,20437,866180,5286,1131691,8384
"2020-10-04","UT","A+",478,,2,,3980,3980,220,24,923,69,783276,6821,,,,366,,,77618,77618,1393,0,,2271,,2148,,57392,,0,860894,8214,,34150,,18335,860894,8214,1123307,12706
"2020-10-03","UT","A+",476,,2,,3956,3956,217,40,921,65,776455,6029,,,,366,,,76225,76225,1068,0,,2247,,2116,,56751,,0,852680,7097,,30700,,16629,852680,7097,1110601,11268
"2020-10-02","UT","A+",474,,15,,3916,3916,258,34,920,73,770426,8258,,,,365,,,75157,75157,1107,0,,2225,,2106,,56167,,0,845583,9365,,29880,,16355,845583,9365,1099333,14265
