"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","VT","B",58,58,0,,,,0,0,,,170958,1636,,,,,,,1868,1868,11,0,,,,,,1659,,0,172826,1647,,,,,172826,1647,,0
"2020-10-10","VT","B",58,58,0,,,,0,0,,,169322,729,,,,,,,1857,1857,11,0,,,,,,1651,,0,171179,740,,,,,171179,740,,0
"2020-10-09","VT","B",58,58,0,,,,0,0,,,168593,1029,,,,,,,1846,1846,8,0,,,,,,1646,,0,170439,1037,,,,,170439,1037,,0
"2020-10-08","VT","B",58,58,0,,,,1,0,,,167564,1370,,,,,,,1838,1838,11,0,,,,,,1638,,0,169402,1381,,,,,169402,1381,,0
"2020-10-07","VT","B",58,58,0,,,,1,0,,,166194,574,,,,,,,1827,1827,6,0,,,,,,1635,,0,168021,580,,,,,168021,580,,0
"2020-10-06","VT","B",58,58,0,,,,1,0,,,165620,-69,,,,,,,1821,1821,4,0,,,,,,1632,,0,167441,-65,,,,,167441,-65,,0
"2020-10-05","VT","B",58,58,0,,,,1,0,,,165689,954,,,,,,,1817,1817,32,0,,,,,,1625,,0,167506,986,,,,,167506,986,,0
"2020-10-04","VT","B",58,58,0,,,,0,0,,,164735,727,,,,,,,1785,1785,7,0,,,,,,1622,,0,166520,734,,,,,166520,734,,0
"2020-10-03","VT","B",58,58,0,,,,0,0,,,164008,917,,,,,,,1778,1778,10,0,,,,,,1616,,0,165786,927,,,,,165786,927,,0
"2020-10-02","VT","B",58,58,0,,,,1,0,,,163091,1002,,,,,,,1768,1768,13,0,,,,,,1611,,0,164859,1015,,,,,164859,1015,,0
"2020-10-01","VT","B",58,58,0,,,,3,0,,,162089,1114,,,,,,,1755,1755,3,0,,,,,,1609,,0,163844,1117,,,,,163844,1117,,0
"2020-09-30","VT","B",58,58,0,,,,3,0,,,160975,-23,,,,,,,1752,1752,3,0,,,,,,1606,,0,162727,-20,,,,,162727,-20,,0
"2020-09-29","VT","B",58,58,0,,,,5,0,,,160998,818,,,,,,,1749,1749,4,0,,,,,,1601,,0,162747,822,,,,,162747,822,,0
"2020-09-28","VT","B",58,58,0,,,,3,0,,,160180,932,,,,,,,1745,1745,3,0,,,,,,1590,,0,161925,935,,,,,161925,935,,0
"2020-09-27","VT","B",58,58,0,,,,2,0,,,159248,711,,,,,,,1742,1742,3,0,,,,,,1584,,0,160990,714,,,,,160990,714,,0
"2020-09-26","VT","B",58,58,0,,,,1,0,,,158537,989,,,,,,,1739,1739,8,0,,,,,,1580,,0,160276,997,,,,,160276,997,,0
"2020-09-25","VT","B",58,58,0,,,,2,0,,,157548,1083,,,,,,,1731,1731,7,0,,,,,,1576,,0,159279,1090,,,,,159279,1090,,0
"2020-09-24","VT","B",58,58,0,,,,3,0,,,156465,924,,,,,,,1724,1724,2,0,,,,,,1566,,0,158189,926,,,,,158189,926,,0
"2020-09-23","VT","B",58,58,0,,,,2,0,,,155541,-79,,,,,,,1722,1722,1,0,,,,,,1565,,0,157263,-78,,,,,157263,-78,,0
"2020-09-22","VT","B",58,58,0,,,,1,0,,,155620,600,,,,,,,1721,1721,2,0,,,,,,1557,,0,157341,602,,,,,157341,602,,0
"2020-09-21","VT","B",58,58,0,,,,3,0,,,155020,840,,,,,,,1719,1719,4,0,,,,,,1557,,0,156739,844,,,,,156739,844,,0
"2020-09-20","VT","B",58,58,0,,,,2,0,,,154180,1090,,,,,,,1715,1715,5,0,,,,,,1548,,0,155895,1095,,,,,155895,1095,,0
"2020-09-19","VT","B",58,58,0,,,,3,0,,,153090,697,,,,,,,1710,1710,4,0,,,,,,1541,,0,154800,701,,,,,154800,701,,0
"2020-09-18","VT","B",58,58,0,,,,6,0,,,152393,903,,,,,,,1706,1706,1,0,,,,,,1536,,0,154099,904,,,,,154099,904,,0
"2020-09-17","VT","B",58,58,0,,,,2,0,,,151490,1128,,,,,,,1705,1705,3,0,,,,,,1533,,0,153195,1131,,,,,153195,1131,,0
"2020-09-16","VT","B",58,58,0,,,,6,0,,,150362,472,,,,,,,1702,1702,0,0,,,,,,1530,,0,152064,472,,,,,152064,472,,0
"2020-09-15","VT","B",58,58,0,,,,7,0,,,149890,108,,,,,,,1702,1702,6,0,,,,,,1524,,0,151592,114,,,,,151592,114,,0
"2020-09-14","VT","B",58,58,0,,,,3,0,,,149782,793,,,,,,,1696,1696,12,0,,,,,,1509,,0,151478,805,,,,,151478,805,,0
"2020-09-13","VT","B",58,58,0,,,,1,0,,,148989,1005,,,,,,,1684,1684,7,0,,,,,,1505,,0,150673,1012,,,,,150673,1012,,0
"2020-09-12","VT","B",58,58,0,,,,4,0,,,147984,1077,,,,,,,1677,1677,9,0,,,,,,1496,,0,149661,1086,,,,,149661,1086,,0
"2020-09-11","VT","B",58,58,0,,,,4,0,,,146907,1262,,,,,,,1668,1668,7,0,,,,,,1493,,0,148575,1269,,,,,148575,1269,,0
"2020-09-10","VT","B",58,58,0,,,,5,0,,,145645,131,,,,,,,1661,1661,5,0,,,,,,1480,,0,147306,136,,,,,147306,136,,0
"2020-09-09","VT","B",58,58,0,,,,5,0,,,145514,386,,,,,,,1656,1656,2,0,,,,,,1468,,0,147170,388,,,,,147170,388,,0
"2020-09-08","VT","B",58,58,0,,,,4,0,,,145128,786,,,,,,,1654,1654,3,0,,,,,,1465,,0,146782,789,,,,,146782,789,,0
"2020-09-07","VT","B",58,58,0,,,,2,0,,,144342,1927,,,,,,,1651,1651,3,0,,,,,,1465,,0,145993,1930,,,,,145993,1930,,0
"2020-09-06","VT","B",58,58,0,,,,4,0,,,142415,974,,,,,,,1648,1648,1,0,,,,,,1456,,0,144063,975,,,,,144063,975,,0
"2020-09-05","VT","B",58,58,0,,,,4,0,,,141441,885,,,,,,,1647,1647,5,0,,,,,,1451,,0,143088,890,,,,,143088,890,,0
"2020-09-04","VT","B",58,58,0,,,,2,0,,,140556,1312,,,,,,,1642,1642,5,0,,,,,,1441,,0,142198,1317,,,,,142198,1317,,0
"2020-09-03","VT","B",58,58,0,,,,3,0,,,139244,1785,,,,,,,1637,1637,0,0,,,,,,1436,,0,140881,1785,,,,,140881,1785,,0
"2020-09-02","VT","B",58,58,0,,,,2,0,,,137459,648,,,,,,,1637,1637,2,0,,,,,,1433,,0,139096,650,,,,,139096,650,,0
"2020-09-01","VT","B",58,58,0,,,,6,0,,,136811,2714,,,,,,,1635,1635,11,0,,,,,,1432,,0,138446,2725,,,,,138446,2725,,0
"2020-08-31","VT","B",58,58,0,,,,8,0,,,134097,2438,,,,,,,1624,1624,8,0,,,,,,1425,,0,135721,2446,,,,,135721,2446,,0
"2020-08-30","VT","B",58,58,0,,,,13,0,,,131659,3084,,,,,,,1616,1616,11,0,,,,,,1421,,0,133275,3095,,,,,133275,3095,,0
"2020-08-29","VT","B",58,58,0,,,,10,0,,,128575,3409,,,,,,,1605,1605,16,0,,,,,,1413,,0,130180,3425,,,,,130180,3425,,0
"2020-08-28","VT","B",58,58,0,,,,11,0,,,125166,1921,,,,,,,1589,1589,3,0,,,,,,1400,,0,126755,1924,,,,,126755,1924,,0
"2020-08-27","VT","B",58,58,0,,,,12,0,,,123245,1981,,,,,,,1586,1586,9,0,,,,,,1396,,0,124831,1990,,,,,124831,1990,,0
"2020-08-26","VT","B",58,58,0,,,,14,0,,,121264,758,,,,,,,1577,1577,5,0,,,,,,1388,,0,122841,763,,,,,122841,763,,0
"2020-08-25","VT","B",58,58,0,,,,13,0,,,120506,682,,,,,,,1572,1572,6,0,,,,,,1386,,0,122078,688,,,,,122078,688,,0
"2020-08-24","VT","B",58,58,0,,,,11,0,,,119824,1338,,,,,,,1566,1566,9,0,,,,,,1380,,0,121390,1347,,,,,121390,1347,,0
"2020-08-23","VT","B",58,58,0,,,,13,0,,,118486,1435,,,,,,,1557,1557,4,0,,,,,,1371,,0,120043,1439,,,,,120043,1439,,0
"2020-08-22","VT","B",58,58,0,,,,15,0,,,117051,1594,,,,,,,1553,1553,12,0,,,,,,1366,,0,118604,1606,,,,,118604,1606,,0
