"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","VA","A+",3358,3120,4,238,19416,19416,924,26,,201,2107189,17918,,,,,98,296,158716,149631,811,0,,,,,176851,18492,2256820,18616,2256820,18616,,,,,,0,,0
"2020-10-10","VA","A+",3354,3116,10,238,19390,19390,943,91,,208,2089271,17689,,,,,97,301,157905,148933,1256,0,,,,,176851,18447,2238204,18694,2238204,18694,,,,,,0,,0
"2020-10-09","VA","A+",3344,3110,16,234,19299,19299,963,88,,205,2071582,28747,,,,,87,312,156649,147928,1114,0,,,,,176851,18336,2219510,29718,2219510,29718,,,,,,0,,0
"2020-10-08","VA","A+",3328,3097,25,231,19211,19211,933,19,,196,2042835,17984,,,,,89,310,155535,146957,1844,0,,,,,175080,18278,2189792,19479,2189792,19479,,,,,,0,,0
"2020-10-07","VA","A+",3303,3088,12,215,19192,19192,1003,154,,228,2024851,15670,,,,,109,362,153691,145462,509,0,,,,,174072,18189,2170313,16145,2170313,16145,,,,,,0,,0
"2020-10-06","VA","A+",3291,3077,15,214,19038,19038,926,220,,219,2009181,13629,,,,,104,319,153182,144987,625,0,,,,,173202,18112,2154168,14177,2154168,14177,,,,,,0,,0
"2020-10-05","VA","A+",3276,3063,3,213,18818,18818,925,93,,213,1995552,24597,,,,,101,329,152557,144439,687,0,,,,,172487,17893,2139991,26113,2139991,26113,,,,,,0,,0
"2020-10-04","VA","A+",3273,3060,3,213,18725,18725,877,9,,197,1970955,0,,,,,98,282,151870,143883,1067,0,,,,,171249,17848,2113878,0,2113878,0,,,,,,0,,0
"2020-10-03","VA","A+",3270,3057,20,213,18716,18716,906,74,,191,1970955,18444,,,,,103,306,150803,142923,1116,0,,,,,171249,17810,2113878,19517,2113878,19517,,,,,,0,,0
"2020-10-02","VA","A+",3250,3037,22,213,18642,18642,890,16,,201,1952511,19265,,,,,108,300,149687,141850,966,0,,,,,169995,17752,2094361,20125,2094361,20125,,,,,,0,,0
"2020-10-01","VA","A+",3228,3015,20,213,18626,18626,913,85,,210,1933246,23872,,,,,107,326,148721,140990,450,0,,,,,169007,17713,2074236,24248,2074236,24248,,,,,,0,,0
"2020-09-30","VA","A+",3208,2995,21,213,18541,18541,908,7,,190,1909374,9825,,,,,104,314,148271,140614,755,0,,,,,167677,17633,2049988,10478,2049988,10478,,,,,,0,,0
"2020-09-29","VA","A+",3187,2976,15,211,18534,18534,958,161,,202,1899549,11525,,,,,113,360,147516,139961,923,0,,,,,167223,17576,2039510,12342,2039510,12342,,,,,,0,,0
"2020-09-28","VA","A+",3172,2962,13,210,18373,18373,890,62,,193,1888024,23629,,,,,103,288,146593,139144,449,0,,,,,166501,17483,2027168,24039,2027168,24039,,,,,,0,,0
"2020-09-27","VA","A+",3159,2951,15,208,18311,18311,868,132,,198,1864395,9224,,,,,103,265,146144,138734,736,0,,,,,165374,17443,2003129,9785,2003129,9785,,,,,,0,,0
"2020-09-26","VA","A+",3144,2937,8,207,18179,18179,924,29,,202,1855171,18955,,,,,111,310,145408,138173,975,0,,,,,165048,17255,1993344,19845,1993344,19845,,,,,,0,,0
"2020-09-25","VA","A+",3136,2930,23,206,18150,18150,965,69,,221,1836216,19699,,,,,117,348,144433,137283,941,0,,,,,163973,17185,1973499,20534,1973499,20534,,,,,,0,,0
"2020-09-24","VA","A+",3113,2907,24,206,18081,18081,982,127,,219,1816517,29537,,,,,112,358,143492,136448,902,0,,,,,163164,17099,1952965,30359,1952965,30359,,,,,,0,,0
"2020-09-23","VA","A+",3089,2882,29,207,17954,17954,916,35,,215,1786980,10501,,,,,113,298,142590,135626,580,0,,,,,161672,17038,1922606,11026,1922606,11026,,,,,,0,,0
"2020-09-22","VA","A+",3060,2853,39,207,17919,17919,940,21,,213,1776479,12143,,,,,113,308,142010,135101,872,0,,,,,161087,16979,1911580,12943,1911580,12943,,,,,,0,,0
"2020-09-21","VA","A+",3021,2816,6,205,17898,17898,995,79,,217,1764336,16030,,,,,106,343,141138,134301,627,0,,,,,160412,16903,1898637,16609,1898637,16609,,,,,,0,,0
"2020-09-20","VA","A+",3015,2811,25,204,17819,17819,939,11,,263,1748306,14606,,,,,126,308,140511,133722,856,0,,,,,159604,16880,1882028,15362,1882028,15362,,,,,,0,,0
"2020-09-19","VA","A+",2990,2787,41,203,17808,17808,960,71,,219,1733700,34167,,,,,108,299,139655,132966,953,0,,,,,158898,16848,1866666,35043,1866666,35043,,,,,,0,,0
"2020-09-18","VA","A+",2949,2755,29,194,17737,17737,945,71,,212,1699533,8481,,,,,102,297,138702,132090,1242,0,,,,,157605,16762,1831623,9611,1831623,9611,,,,,,0,,0
"2020-09-17","VA","A+",2920,2734,36,186,17666,17666,995,103,,225,1691052,21164,,,,,109,326,137460,130960,1101,0,,,,,156565,16671,1822012,22161,1822012,22161,,,,,,0,,0
"2020-09-16","VA","A+",2884,2711,45,173,17563,17563,1027,99,,212,1669888,13594,,,,,103,349,136359,129963,845,0,,,,,155402,16536,1799851,14298,1799851,14298,,,,,,0,,0
"2020-09-15","VA","A+",2839,2691,96,148,17464,17464,1015,97,,228,1656294,11536,,,,,104,329,135514,129259,943,0,,,,,154395,16449,1785553,12395,1785553,12395,,,,,,0,,0
"2020-09-14","VA","A+",2743,2607,19,136,17367,17367,1006,45,,220,1644758,12334,,,,,110,308,134571,128400,757,0,,,,,153493,16361,1773158,13062,1773158,13062,,,,,,0,,0
"2020-09-13","VA","A+",2724,2591,2,133,17322,17322,1012,51,,232,1632424,15254,,,,,119,304,133814,127672,874,0,,,,,152703,16310,1760096,16076,1760096,16076,,,,,,0,,0
"2020-09-12","VA","A+",2722,2589,11,133,17271,17271,995,8,,228,1617170,14763,,,,,113,272,132940,126850,1300,0,,,,,151825,16276,1744020,15910,1744020,15910,,,,,,0,,0
"2020-09-11","VA","A+",2711,2578,3,133,17263,17263,1120,106,,249,1602407,16470,,,,,120,340,131640,125703,1115,0,,,,,150703,16143,1728110,17554,1728110,17554,,,,,,0,,0
"2020-09-10","VA","A+",2708,2575,11,133,17157,17157,1096,118,,255,1585937,15222,,,,,134,333,130525,124619,1236,0,,,,,149486,16061,1710556,16353,1710556,16353,,,,,,0,,0
"2020-09-09","VA","A+",2697,2564,11,133,17039,17039,1072,208,,252,1570715,9378,,,,,121,272,129289,123488,882,0,,,,,148183,15967,1694203,10155,1694203,10155,,,,,,0,,0
"2020-09-08","VA","A+",2686,2553,2,133,16831,16831,1051,28,,240,1561337,6810,,,,,118,283,128407,122711,836,0,,,,,147187,15770,1684048,7602,1684048,7602,,,,,,0,,0
"2020-09-07","VA","A+",2684,2551,6,133,16803,16803,1061,37,,249,1554527,11369,,,,,119,294,127571,121919,645,0,,,,,146610,15742,1676446,11971,1676446,11971,,,,,,0,,0
"2020-09-06","VA","A+",2678,2545,1,133,16766,16766,1083,32,,232,1543158,11329,,,,,119,268,126926,121317,1199,0,,,,,145825,15683,1664475,12455,1664475,12455,,,,,,0,,0
"2020-09-05","VA","A+",2677,2544,15,133,16734,16734,1098,141,,243,1531829,16780,,,,,121,285,125727,120191,948,0,,,,,144891,15636,1652020,17712,1652020,17712,,,,,,0,,0
"2020-09-04","VA","A+",2662,2529,10,133,16593,16593,1101,68,,244,1515049,14186,,,,,128,273,124779,119259,1111,0,,,,,143477,15492,1634308,15255,1634308,15255,,,,,,0,,0
"2020-09-03","VA","A+",2652,2519,11,133,16525,16525,1130,92,,257,1500863,12714,,,,,123,330,123668,118190,1126,0,,,,,142173,15395,1619053,13763,1619053,13763,,,,,,0,,0
