"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","WA","B",2190,2190,0,,7786,7786,262,24,,,1968403,23017,,,,,27,,93035,93035,475,0,,,,,,,2061438,23492,2061438,23492,,,,,,0,,0
"2020-10-10","WA","B",2190,2190,7,,7762,7762,264,29,,,1945386,20833,,,,,30,,92560,92560,642,0,,,,,,,2037946,21475,2037946,21475,,,,,,0,,0
"2020-10-09","WA","B",2183,2183,6,,7733,7733,245,30,,,1924553,28284,,,,,29,,91918,91918,710,0,,,,,,,2016471,28994,2016471,28994,,,,,,0,,0
"2020-10-08","WA","B",2177,2177,12,,7703,7703,256,30,,,1896269,25865,,,,,30,,91208,91208,545,0,,,,,,,1987477,26410,1987477,26410,,,,,,0,,0
"2020-10-07","WA","B",2165,2165,7,,7673,7673,253,51,,,1870404,9273,,,,,31,,90663,90663,387,0,,,,,,,1961067,9660,1961067,9660,,,,,,0,,0
"2020-10-06","WA","B",2158,2158,16,,7622,7622,253,-6,,,1861131,15106,,,,,31,,90276,90276,402,0,,,,,,,1951407,15508,1951407,15508,,,,,,0,,0
"2020-10-05","WA","B",2142,2142,0,,7628,7628,260,17,,,1846025,12488,,,,,29,,89874,89874,455,0,,,,,,,1935899,12943,1935899,12943,,,,,,0,,0
"2020-10-04","WA","B",2142,2142,-1,,7611,7611,252,25,,,1833537,16588,,,,,26,,89419,89419,609,0,,,,,,,1922956,17197,1922956,17197,,,,,,0,,0
"2020-10-03","WA","B",2143,2143,11,,7586,7586,263,13,,,1816949,20361,,,,,40,,88810,88810,694,0,,,,,,,1905759,21685,1905759,21685,,,,,,0,,0
"2020-10-02","WA","B",2132,2132,6,,7573,7573,263,40,,,1796588,16021,,,,,33,,88116,88116,594,0,,,,,,,1884074,15985,1884074,15985,,,,,,0,,0
"2020-10-01","WA","B",2126,2126,2,,7533,7533,268,50,,,1780567,13210,,,,,32,,87522,87522,480,0,,,,,,,1868089,13690,1868089,13690,,,,,,0,,0
"2020-09-30","WA","B",2124,2124,24,,7483,7483,278,6,,,1767357,5532,,,,,26,,87042,87042,404,0,,,,,,,1854399,5936,1854399,5936,,,,,,0,,0
"2020-09-29","WA","B",2100,2100,0,,7477,7477,278,22,,,1761825,10888,,,,,43,,86638,86638,369,0,,,,,,,1848463,11257,1848463,11257,,,,,,0,,0
"2020-09-28","WA","B",2100,2100,0,,7455,7455,268,24,,,1750937,16144,,,,,25,,86269,86269,439,0,,,,,,,1837206,16583,1837206,16583,,,,,,0,,0
"2020-09-27","WA","B",2100,2100,0,,7431,7431,259,19,,,1734793,18998,,,,,31,,85830,85830,604,0,,,,,,,1820623,19602,1820623,19602,,,,,,0,,0
"2020-09-26","WA","B",2100,2100,20,,7412,7412,264,55,,,1715795,16754,,,,,28,,85226,85226,988,0,,,,,,,1801021,17742,1801021,17742,,,,,,0,,0
"2020-09-25","WA","B",2080,2080,-1,,7357,7357,269,8,,,1699041,39447,,,,,27,,84238,84238,536,0,,,,,,,1783279,39983,1783279,39983,,,,,,0,,0
"2020-09-24","WA","B",2081,2081,11,,7349,7349,262,35,,,1659594,1888,,,,,27,,83702,83702,509,0,,,,,,,1743296,2397,1743296,2397,,,,,,0,,0
"2020-09-23","WA","B",2070,2070,0,,7314,7314,277,0,,,1657706,0,,,,,32,,83193,83193,0,0,,,,,,,1740899,0,1740899,0,,,,,,0,,0
"2020-09-22","WA","B",2070,2070,33,,7314,7314,277,52,,,1657706,3698,,,,,32,,83193,83193,645,0,,,,,,,1740899,4343,1740899,4343,,,,,,0,,0
"2020-09-21","WA","B",2037,2037,0,,7262,7262,266,14,,,1654008,13167,,,,,21,,82548,82548,349,0,,,,,,,1736556,13516,1736556,13516,,,,,,0,,0
"2020-09-20","WA","B",2037,2037,0,,7248,7248,262,33,,,1640841,17773,,,,,26,,82199,82199,597,0,,,,,,,1723040,18370,1723040,18370,,,,,,0,,0
"2020-09-19","WA","B",2037,2037,0,,7215,7215,248,0,,,1623068,0,,,,,34,,81602,81602,0,0,,,,,,,1704670,0,1704670,0,,,,,,0,,0
"2020-09-18","WA","B",2037,2037,6,,7215,7215,248,19,,,1623068,13219,,,,,34,,81602,81602,404,0,,,,,,,1704670,13623,1704670,13623,,,,,,0,,0
"2020-09-17","WA","B",2031,2031,11,,7196,7196,248,34,,,1609849,13959,,,,,36,,81198,81198,386,0,,,,,,,1691047,14345,1691047,14345,,,,,,0,,0
"2020-09-16","WA","B",2020,2020,5,,7162,7162,248,35,,,1595890,10640,,,,,29,,80812,80812,347,0,,,,,,,1676702,10987,1676702,10987,,,,,,0,,0
"2020-09-15","WA","B",2015,2015,9,,7127,7127,262,29,,,1585250,11421,,,,,28,,80465,80465,327,0,,,,,,,1665715,11748,1665715,11748,,,,,,0,,0
"2020-09-14","WA","B",2006,2006,15,,7098,7098,247,17,,,1573829,9070,,,,,26,,80138,80138,312,0,,,,,,,1653967,9382,1653967,9382,,,,,,0,,0
"2020-09-13","WA","B",1991,1991,0,,7081,7081,254,33,,,1564759,13073,,,,,29,,79826,79826,350,0,,,,,,,1644585,13423,1644585,13423,,,,,,0,,0
"2020-09-12","WA","B",1991,1991,0,,7048,7048,269,30,,,1551686,15949,,,,,19,,79476,79476,465,0,,,,,,,1631162,16414,1631162,16414,,,,,,0,,0
"2020-09-11","WA","B",1991,1991,6,,7018,7018,269,25,,,1535737,16217,,,,,19,,79011,79011,544,0,,,,,,,1614748,16761,1614748,16761,,,,,,0,,0
"2020-09-10","WA","B",1985,1985,7,,6993,6993,284,27,,,1519520,13626,,,,,29,,78467,78467,458,0,,,,,,,1597987,14084,1597987,14084,,,,,,0,,0
"2020-09-09","WA","B",1978,1978,25,,6966,6966,290,106,,,1505894,20076,,,,,34,,78009,78009,774,0,,,,,,,1583903,20850,1583903,20850,,,,,,0,,0
"2020-09-08","WA","B",1953,1953,0,,6860,6860,277,0,,,1485818,0,,,,,37,,77235,77235,0,0,,,,,,,1563053,0,1563053,0,,,,,,0,,0
"2020-09-07","WA","B",1953,1953,0,,6860,6860,277,18,,,1485818,12177,,,,,37,,77235,77235,399,0,,,,,,,1563053,12576,1563053,12576,,,,,,0,,0
"2020-09-06","WA","B",1953,1953,0,,6842,6842,282,-6,,,1473641,15886,,,,,34,,76836,76836,501,0,,,,,,,1550477,16387,1550477,16387,,,,,,0,,0
"2020-09-05","WA","B",1953,1953,8,,6848,6848,293,14,,,1457755,15522,,,,,48,,76335,76335,479,0,,,,,,,1534090,16001,1534090,16001,,,,,,0,,0
"2020-09-04","WA","B",1945,1945,10,,6834,6834,309,39,,,1442233,21257,,,,,50,,75856,75856,479,0,,,,,,,1518089,21736,1518089,21736,,,,,,0,,0
"2020-09-03","WA","B",1935,1935,4,,6795,6795,311,8,,,1420976,15876,,,,,65,,75377,75377,438,0,,,,,,,1496353,16314,1496353,16314,,,,,,0,,0
"2020-09-02","WA","B",1931,1931,16,,6787,6787,328,24,,,1405100,6490,,,,,48,,74939,74939,304,0,,,,,,,1480039,6794,1480039,6794,,,,,,0,,0
"2020-09-01","WA","B",1915,1915,10,,6763,6763,331,23,,,1398610,11576,,,,,49,,74635,74635,315,0,,,,,,,1473245,11891,1473245,11891,,,,,,0,,0
"2020-08-31","WA","B",1905,1905,0,,6740,6740,340,0,,,1387034,0,,,,,51,,74320,74320,0,0,,,,,,,1461354,0,1461354,0,,,,,,0,,0
"2020-08-30","WA","B",1905,1905,0,,6740,6740,340,61,,,1387034,36564,,,,,51,,74320,74320,1019,0,,,,,,,1461354,37583,1461354,37583,,,,,,0,,0
"2020-08-29","WA","B",1905,1905,15,,6679,6679,346,5,,,1350470,15009,,,,,46,,73301,73301,598,0,,,,,,,1423771,15607,1423771,15607,,,,,,0,,0
"2020-08-28","WA","B",1890,1890,10,,6674,6674,347,34,,,1335461,16313,,,,,45,,72703,72703,542,0,,,,,,,1408164,16855,1408164,16855,,,,,,0,,0
"2020-08-27","WA","B",1880,1880,4,,6640,6640,351,45,,,1319148,10749,,,,,37,,72161,72161,456,0,,,,,,,1391309,11205,1391309,11205,,,,,,0,,0
"2020-08-26","WA","B",1876,1876,9,,6595,6595,358,53,,,1308399,30,,,,,47,,71705,71705,24,0,,,,,,,1380104,54,1380104,54,,,,,,0,,0
"2020-08-25","WA","B",1867,1867,4,,6542,6542,354,12,,,1308369,0,,,,,37,,71681,71681,0,0,,,,,,,1380050,0,1380050,0,,,,,,0,,0
"2020-08-24","WA","B",1863,1863,6,,6530,6530,373,30,,,1308369,992,,,,,36,,71681,71681,22,0,,,,,,,1380050,1014,1380050,1014,,,,,,0,,0
