"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","WV","B",382,378,1,4,,,173,0,,58,615814,5721,,,,,30,,18128,17519,215,0,,,,,,13167,,0,633942,5936,18003,,,,,0,633333,5930
"2020-10-10","WV","B",381,377,5,4,,,173,0,,60,610093,10177,,,,,27,,17913,17310,206,0,,,,,,13086,,0,628006,10383,17917,,,,,0,627403,10358
"2020-10-09","WV","B",376,372,6,4,,,164,0,,57,599916,7581,,,,,25,,17707,17129,382,0,,,,,,12896,,0,617623,7963,17794,,,,,0,617045,7934
"2020-10-08","WV","B",370,365,1,5,,,168,0,,59,592335,6129,,,,,29,,17325,16776,186,0,,,,,,12699,,0,609660,6315,17730,,,,,0,609111,6309
"2020-10-07","WV","B",369,364,5,5,,,168,0,,62,586206,3589,,,,,28,,17139,16596,203,0,,,,,,12443,,0,603345,3792,17671,,,,,0,602802,3762
"2020-10-06","WV","B",364,359,3,5,,,168,0,,65,582617,2828,,,,,35,,16936,16423,194,0,,,,,,12242,,0,599553,3022,17644,,,,,0,599040,3000
"2020-10-05","WV","B",361,353,3,5,,,165,0,,60,579789,6338,,,,,28,,16742,16251,114,0,,,,,,12051,,0,596531,6452,17545,,,,,0,596040,6457
"2020-10-04","WV","B",358,353,1,5,,,173,0,,64,573451,7214,,,,,30,,16628,16132,160,0,,,,,,11982,,0,590079,7374,17515,,,,,0,589583,7375
"2020-10-03","WV","B",357,352,2,5,,,171,0,,57,566237,6045,,,,,32,,16468,15971,161,0,,,,,,11938,,0,582705,6206,17483,,,,,0,582208,6182
"2020-10-02","WV","B",355,351,1,4,,,164,0,,54,560192,9628,,,,,32,,16307,15834,283,0,,,,,,11799,,0,576499,9911,17444,,,,,0,576026,9903
"2020-10-01","WV","B",354,349,4,5,,,173,0,,57,550564,4844,,,,,34,,16024,15559,176,0,,,,,,11602,,0,566588,5020,17407,,,,,0,566123,5010
"2020-09-30","WV","B",350,347,5,3,,,169,0,,55,545720,3099,,,,,27,,15848,15393,156,0,,,,,,11507,,0,561568,3255,17346,,,,,0,561113,3244
"2020-09-29","WV","C",345,342,8,3,,,172,0,,53,542621,4863,,,,,29,,15692,15248,180,0,,,,,,11333,,0,558313,5043,17327,,,,,0,557869,5025
"2020-09-28","WV","C",337,334,3,3,,,168,0,,51,537758,3383,,,,,29,,15512,15086,164,0,,,,,,11188,,0,553270,3547,17259,,,,,0,552844,3534
"2020-09-27","WV","C",334,331,2,3,,,169,0,,53,534375,7242,,,,,26,,15348,14935,190,0,,,,,,11160,,0,549723,7432,17254,,,,,0,549310,7427
"2020-09-26","WV","C",332,329,2,3,,,174,0,,56,527133,6692,,,,,31,,15158,14750,205,0,,,,,,11121,,0,542291,6897,17205,,,,,0,541883,6865
"2020-09-25","WV","C",330,327,5,3,,,177,0,,59,520441,6122,,,,,31,,14953,14577,247,0,,,,,,10968,,0,535394,6369,17164,,,,,0,535018,6360
"2020-09-24","WV","C",325,323,6,2,,,173,0,,57,514319,3243,,,,,30,,14706,14339,202,0,,,,,,10831,,0,529025,3445,17097,,,,,0,528658,3422
"2020-09-23","WV","C",319,317,2,2,,,163,0,,61,511076,2791,,,,,31,,14504,14160,120,0,,,,,,10721,,0,525580,2911,17036,,,,,0,525236,2907
"2020-09-22","WV","C",317,315,5,2,,,164,0,,58,508285,2940,,,,,28,,14384,14044,213,0,,,,,,10524,,0,522669,3153,17008,,,,,0,522329,3154
"2020-09-21","WV","C",312,310,2,2,,,162,0,,58,505345,5095,,,,,28,,14171,13830,117,0,,,,,,10317,,0,519516,5212,16991,,,,,0,519175,5208
"2020-09-20","WV","C",310,308,2,2,,,167,0,,55,500250,4638,,,,,29,,14054,13717,180,0,,,,,,10227,,0,514304,4818,16948,,,,,0,513967,4813
"2020-09-19","WV","C",308,306,11,2,,,169,0,,58,495612,6162,,,,,32,,13874,13542,191,0,,,,,,10155,,0,509486,6353,16842,,,,,0,509154,6351
"2020-09-18","WV","C",297,295,3,2,,,175,0,,63,489450,4597,,,,,40,,13683,13353,253,0,,,,,,10011,,0,503133,4850,16737,,,,,0,502803,4841
"2020-09-17","WV","C",294,292,4,2,,,170,0,,58,484853,4166,,,,,32,,13430,13109,234,0,,,,,,9804,,0,498283,4400,16614,,,,,0,497962,4394
"2020-09-16","WV","C",290,288,10,2,,,156,0,,61,480687,3017,,,,,30,,13196,12881,220,0,,,,,,9670,,0,493883,3237,16483,,,,,0,493568,3226
"2020-09-15","WV","C",280,278,5,2,,,155,0,,59,477670,2475,,,,,26,,12976,12672,156,0,,,,,,9536,,0,490646,2631,16394,,,,,0,490342,2628
"2020-09-14","WV","C",275,273,9,2,,,151,0,,58,475195,4130,,,,,24,,12820,12519,121,0,,,,,,9361,,0,488015,4251,16360,,,,,0,487714,4246
"2020-09-13","WV","C",266,264,1,2,,,147,0,,58,471065,4710,,,,,26,,12699,12403,178,0,,,,,,9290,,0,483764,4888,16321,,,,,0,483468,4888
"2020-09-12","WV","C",265,263,2,2,,,145,0,,59,466355,6738,,,,,26,,12521,12225,347,0,,,,,,9225,,0,478876,7085,16292,,,,,0,478580,7063
"2020-09-11","WV","C",263,261,6,2,,,147,0,,56,459617,3844,,,,,20,,12174,11900,157,0,,,,,,9062,,0,471791,4001,16244,,,,,0,471517,3991
"2020-09-10","WV","C",257,255,3,2,,,141,0,,51,455773,3651,,,,,21,,12017,11753,209,0,,,,,,8904,,0,467790,3860,16206,,,,,0,467526,3840
"2020-09-09","WV","C",254,252,4,2,,,147,0,,55,452122,1023,,,,,27,,11808,11564,147,0,,,,,,8748,,0,463930,1170,16142,,,,,0,463686,1139
"2020-09-08","WV","C",250,248,3,2,,,152,0,,57,451099,909,,,,,26,,11661,11448,86,0,,,,,,8626,,0,462760,995,16139,,,,,0,462547,989
"2020-09-07","WV","C",247,245,1,2,,,149,0,,55,450190,3224,,,,,25,,11575,11368,163,0,,,,,,8581,,0,461765,3387,16139,,,,,0,461558,3378
"2020-09-06","WV","C",246,244,3,2,,,149,0,,51,446966,4774,,,,,22,,11412,11214,123,0,,,,,,8556,,0,458378,4897,16295,,,,,0,458180,4895
"2020-09-05","WV","C",243,241,0,2,,,154,0,,49,442192,4318,,,,,21,,11289,11093,252,0,,,,,,8516,,0,453481,4570,16201,,,,,0,453285,4565
"2020-09-04","WV","C",243,241,6,2,,,152,0,,46,437874,3625,,,,,23,,11037,10846,192,0,,,,,,8450,,0,448911,3817,16127,,,,,0,448720,3818
"2020-09-03","WV","C",237,235,7,2,,,145,0,,44,434249,3306,,,,,24,,10845,10653,203,0,,,,,,8342,,0,445094,3509,16073,,,,,0,444902,3506
