"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","WI","A+",1475,1465,7,10,8398,8398,872,79,1271,229,1537877,7571,,,,,,217,158315,150236,2713,0,,,,,,119747,,0,1696192,10284,,,,,1688113,10247,,0
"2020-10-10","WI","A+",1468,1458,17,10,8319,8319,870,120,1270,232,1530306,11644,,,,,,208,155602,147560,2971,0,,,,,,117865,,0,1685908,14615,,,,,1677866,14386,,0
"2020-10-09","WI","A+",1451,1440,16,11,8199,8199,876,138,1261,229,1518662,11834,,,,,,300,152631,144818,3164,0,,,,,,115826,,0,1671293,14998,,,,,1663480,14822,,0
"2020-10-08","WI","A+",1435,1424,9,11,8061,8061,907,110,1253,228,1506828,13524,,,,,,282,149467,141830,3274,0,,,,,,113596,,0,1656295,16798,,,,,1648658,16656,,0
"2020-10-07","WI","A+",1426,1415,16,11,7951,7951,873,141,1233,219,1493304,11188,,,,,,259,146193,138698,2463,0,,,,,,111765,,0,1639497,13651,,,,,1632002,13507,,0
"2020-10-06","WI","A+",1410,1399,18,11,7810,7810,853,108,1225,261,1482116,9539,,,,,,262,143730,136379,2075,0,,,,,,110110,,0,1625846,11614,,,,,1618495,11559,,0
"2020-10-05","WI","A+",1392,1381,4,11,7702,7702,782,56,1212,209,1472577,6864,,,,,,204,141655,134359,1727,0,,,,,,108371,,0,1614232,8591,,,,,1606936,8560,,0
"2020-10-04","WI","A+",1388,1377,5,11,7646,7646,714,58,1205,194,1465713,8950,,,,,,188,139928,132663,1926,0,,,,,,107004,,0,1605641,10876,,,,,1598376,10815,,0
"2020-10-03","WI","A+",1383,1372,20,11,7588,7588,692,82,1202,200,1456763,11192,,,,,,176,138002,130798,3054,0,,,,,,105373,,0,1594765,14246,,,,,1587561,14084,,0
"2020-10-02","WI","A+",1363,1353,5,10,7506,7506,663,97,1196,181,1445571,10850,,,,,,192,134948,127906,2825,0,,,,,,103530,,0,1580519,13675,,,,,1573477,13595,,0
