"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-11","WY","B",54,,0,,323,323,54,0,,,103176,0,,,182188,,,,7611,6476,156,0,,,,,6217,5877,,0,110787,156,,,,,109402,0,188406,0
"2020-10-10","WY","B",54,,0,,323,323,54,6,,,103176,0,,,182188,,,,7455,6338,120,0,,,,,6217,5807,,0,110631,120,,,,,109402,0,188406,0
"2020-10-09","WY","B",54,,0,,317,317,54,4,,,103176,1326,,,182188,,,,7335,6226,243,0,,,,,6217,5732,,0,110511,1569,,,,,109402,1521,188406,6653
"2020-10-08","WY","B",54,,1,,313,313,56,8,,,101850,904,,,175755,,,,7092,6031,193,0,,,,,5997,5603,,0,108942,1097,,,,,107881,1069,181753,2929
"2020-10-07","WY","B",53,,0,,305,305,47,1,,,100946,1034,,,173101,,,,6899,5866,129,0,,,,,5722,5504,,0,107845,1163,,,,,106812,1149,178824,2225
"2020-10-06","WY","B",53,,0,,304,304,44,10,,,99912,379,,,170947,,,,6770,5751,141,0,,,,,5651,5418,,0,106682,520,,,,,105663,470,176599,929
"2020-10-05","WY","B",53,,0,,294,294,36,12,,,99533,2469,,,170048,,,,6629,5660,125,0,,,,,5621,5272,,0,106162,2594,,,,,105193,2840,175670,10428
"2020-10-04","WY","B",53,,0,,282,282,32,1,,,97064,0,,,160119,,,,6504,5546,139,0,,,,,5122,5160,,0,103568,139,,,,,102353,0,165242,0
"2020-10-03","WY","B",53,,0,,281,281,32,1,,,97064,0,,,160119,,,,6365,5415,151,0,,,,,5122,5083,,0,103429,151,,,,,102353,0,165242,0
"2020-10-02","WY","B",53,,0,,280,280,32,6,,,97064,1852,,,160119,,,,6214,5289,131,0,,,,,5122,4989,,0,103278,1983,,,,,102353,2095,165242,1454
"2020-10-01","WY","B",53,,3,,274,274,27,2,,,95212,0,,,158710,,,,6083,5170,135,0,,,,,5077,4853,,0,101295,135,,,,,100258,0,163788,2371
"2020-09-30","WY","B",50,,0,,272,272,24,5,,,95212,490,,,156413,,,,5948,5046,127,0,,,,,5003,4791,,0,101160,617,,,,,100258,588,161417,1288
"2020-09-29","WY","B",50,,0,,267,267,22,3,,,94722,360,,,155165,,,,5821,4948,67,0,,,,,4963,4702,,0,100543,427,,,,,99670,411,160129,919
"2020-09-28","WY","B",50,,0,,264,264,22,2,,,94362,1956,,,154433,,,,5754,4897,121,0,,,,,4776,4613,,0,100116,2077,,,,,99259,2268,159210,4128
"2020-09-27","WY","B",50,,0,,262,262,22,4,,,92406,0,,,150584,,,,5633,4780,168,0,,,,,4497,4519,,0,98039,168,,,,,96991,0,155082,0
"2020-09-26","WY","B",50,,0,,258,258,22,2,,,92406,0,,,150584,,,,5465,4618,45,0,,,,,4497,4479,,0,97871,45,,,,,96991,0,155082,0
"2020-09-25","WY","B",50,,0,,256,256,22,1,,,92406,1071,,,150584,,,,5420,4585,115,0,,,,,4497,4450,,0,97826,1186,,,,,96991,1168,155082,2236
"2020-09-24","WY","B",50,,0,,255,255,19,2,,,91335,1511,,,148413,,,,5305,4488,136,0,,,,,4432,4364,,0,96640,1647,,,,,95823,1768,152846,3786
"2020-09-23","WY","B",50,,1,,253,253,21,0,,,89824,0,,,144737,,,,5169,4368,153,0,,,,,4322,4277,,0,94993,153,,,,,94055,0,149060,0
"2020-09-22","WY","B",49,,0,,253,253,21,6,,,89824,637,,,144737,,,,5016,4231,72,0,,,,,4322,4230,,0,94840,709,,,,,94055,679,149060,3829
"2020-09-21","WY","B",49,,0,,247,247,23,4,,,89187,1627,,,141019,,,,4944,4189,73,0,,,,,4211,4172,,0,94131,1700,,,,,93376,1807,145231,3436
"2020-09-20","WY","B",49,,0,,243,243,16,1,,,87560,0,,,137682,,,,4871,4124,91,0,,,,,4112,4111,,0,92431,91,,,,,91569,0,141795,0
"2020-09-19","WY","B",49,,0,,242,242,16,2,,,87560,0,,,137682,,,,4780,4039,33,0,,,,,4112,4092,,0,92340,33,,,,,91569,0,141795,0
"2020-09-18","WY","B",49,,0,,240,240,16,4,,,87560,760,,,137682,,,,4747,4009,95,0,,,,,4112,4044,,0,92307,855,,,,,91569,833,141795,1764
"2020-09-17","WY","B",49,,3,,236,236,16,1,,,86800,1397,,,136110,,,,4652,3936,86,0,,,,,3920,4000,,0,91452,1483,,,,,90736,1467,140031,3100
"2020-09-16","WY","B",46,,0,,235,235,16,5,,,85403,96,,,133096,,,,4566,3866,128,0,,,,,3834,3971,,0,89969,224,,,,,89269,200,136931,1455
"2020-09-15","WY","B",46,,0,,230,230,16,0,,,85307,693,,,131682,,,,4438,3762,46,0,,,,,3793,3925,,0,89745,739,,,,,89069,732,135476,2393
"2020-09-14","WY","B",46,,4,,230,230,13,2,,,84614,2523,,,129356,,,,4392,3723,46,0,,,,,3726,3884,,0,89006,2569,,,,,88337,2641,133083,6752
"2020-09-13","WY","B",42,,0,,228,228,12,-59,,,82091,0,,,122667,,,,4346,3679,49,0,,,,,3663,3768,,0,86437,49,,,,,85696,0,126331,0
"2020-09-12","WY","B",42,,0,,287,287,12,60,,,82091,0,,,122667,,,,4297,3635,33,0,,,,,3663,3740,,0,86388,33,,,,,85696,0,126331,0
"2020-09-11","WY","B",42,,0,,227,227,12,3,,,82091,991,,,122667,,,,4264,3605,65,0,,,,,3663,3724,,0,86355,1056,,,,,85696,1037,126331,1613
"2020-09-10","WY","B",42,,0,,224,224,12,3,,,81100,416,,,121101,,,,4199,3559,48,0,,,,,3616,3553,,0,85299,464,,,,,84659,455,124718,629
"2020-09-09","WY","B",42,,0,,221,221,12,2,,,80684,3318,,,120490,,,,4151,3520,48,0,,,,,3598,3484,,0,84835,3366,,,,,84204,3355,124089,6175
"2020-09-08","WY","A",42,,0,,219,219,17,0,,,77366,3054,,,114612,,,,4103,3483,71,0,,,,,3301,3451,,0,81469,3125,,,,,80849,3164,117914,6523
"2020-09-07","WY","A",42,,0,,219,219,15,0,,,74312,0,,,108160,,,,4032,3425,0,0,,,,,3230,3416,,0,78344,0,,,,,77685,0,111391,0
"2020-09-06","WY","A",42,,0,,219,219,15,-4,,,74312,0,,,108160,,,,4032,3425,26,0,,,,,3230,3416,,0,78344,26,,,,,77685,0,111391,0
